ts,symbol,tf,price,ema,rsi,signal,dry_run
1762826844,XAUZ25.sim,H4,4139.080000,4038.636681,74.37,+1.0,1
1762826844,US30Z25.sim,H4,47466.150000,47315.869919,57.61,+0.0,1
1762826844,US100Z25.sim,H1,25725.510000,25504.144075,67.98,+1.0,1
1762826844,US500Z25.sim,H4,6858.130000,6820.077238,59.39,+0.0,1
1762826844,USOILZ25.sim,H4,59.856000,60.105472,47.19,+0.0,1
1762826844,BTCX25.sim,H4,106127.500000,106000.608922,55.71,+0.0,1
1762826849,XAUZ25.sim,H4,4139.140000,4038.639034,74.39,+1.0,1
1762826849,US30Z25.sim,H4,47468.050000,47315.944429,57.70,+0.0,1
1762826849,US100Z25.sim,H1,25726.110000,25504.167604,68.07,+1.0,1
1762826849,US500Z25.sim,H4,6858.350000,6820.085866,59.44,+0.0,1
1762826849,USOILZ25.sim,H4,59.856000,60.105472,47.19,+0.0,1
1762826849,BTCX25.sim,H4,106122.500000,106000.412843,55.68,+0.0,1
1762826854,XAUZ25.sim,H4,4139.220000,4038.642171,74.42,+1.0,1
1762826854,US30Z25.sim,H4,47467.300000,47315.915017,57.67,+0.0,1
1762826854,US100Z25.sim,H1,25725.310000,25504.136232,67.96,+1.0,1
1762826854,US500Z25.sim,H4,6858.230000,6820.081160,59.42,+0.0,1
1762826854,USOILZ25.sim,H4,59.856000,60.105472,47.19,+0.0,1
1762826854,BTCX25.sim,H4,106067.500000,105998.255981,55.39,+0.0,1
1762826859,XAUZ25.sim,H4,4138.920000,4038.630406,74.31,+1.0,1
1762826859,US30Z25.sim,H4,47466.650000,47315.889527,57.64,+0.0,1
1762826859,US100Z25.sim,H1,25725.060000,25504.126428,67.92,+1.0,1
1762826859,US500Z25.sim,H4,6858.100000,6820.076062,59.39,+0.0,1
1762826859,USOILZ25.sim,H4,59.856000,60.105472,47.19,+0.0,1
1762826859,BTCX25.sim,H4,106022.500000,105996.491275,55.16,+0.0,1
1762826864,XAUZ25.sim,H4,4139.320000,4038.646093,74.46,+1.0,1
1762826864,US30Z25.sim,H4,47466.550000,47315.885605,57.63,+0.0,1
1762826864,US100Z25.sim,H1,25724.610000,25504.108781,67.86,+1.0,1
1762826864,US500Z25.sim,H4,6858.000000,6820.072140,59.36,+0.0,1
1762826864,USOILZ25.sim,H4,59.856000,60.105472,47.19,+0.0,1
1762826864,BTCX25.sim,H4,106032.500000,105996.883432,55.21,+0.0,1
1762827220,XAUZ25.sim,H4,4140.120000,4038.677465,74.76,+1.0,1
1762827220,US30Z25.sim,H4,47482.400000,47316.507174,58.20,+0.0,1
1762827220,US100Z25.sim,H1,25738.390000,25504.649173,69.86,+1.0,1
1762827220,US500Z25.sim,H4,6860.730000,6820.179199,60.00,+0.0,1
1762827220,USOILZ25.sim,H4,59.948000,60.109079,48.60,+0.0,1
1762827220,BTCX25.sim,H4,106442.500000,106012.961863,57.36,+0.0,1
1762827225,XAUZ25.sim,H4,4139.880000,4038.668053,74.67,+1.0,1
1762827225,US30Z25.sim,H4,47480.150000,47316.418939,58.12,+0.0,1
1762827225,US100Z25.sim,H1,25734.440000,25504.494271,69.27,+1.0,1
1762827225,US500Z25.sim,H4,6860.080000,6820.153709,59.85,+0.0,1
1762827225,USOILZ25.sim,H4,59.944000,60.108923,48.54,+0.0,1
1762827225,BTCX25.sim,H4,106422.500000,106012.177549,57.27,+0.0,1
1762827378,XAUZ25.sim,H4,4139.460000,4038.651583,74.51,+1.0,1
1762827378,US30Z25.sim,H4,47487.050000,47316.689527,58.35,+0.0,1
1762827378,US100Z25.sim,H1,25733.690000,25504.464859,69.16,+1.0,1
1762827378,US500Z25.sim,H4,6859.980000,6820.149787,59.82,+0.0,1
1762827378,USOILZ25.sim,H4,59.965000,60.109746,48.86,+0.0,1
1762827378,BTCX25.sim,H4,106430.000000,106012.471667,57.30,+0.0,1
1762827387,XAUZ25.sim,H4,4139.560000,4038.655504,74.55,+1.0,0
1762828338,XAUZ25.sim,H4,4135.460000,4038.494720,73.04,+1.0,0
1762828338,US30Z25.sim,H4,47472.150000,47316.105213,57.85,+0.0,0
1762828338,US100Z25.sim,H1,25723.310000,25504.057800,67.67,+1.0,0
1762828338,US500Z25.sim,H4,6857.580000,6820.055670,59.27,+0.0,0
1762828338,USOILZ25.sim,H4,59.917000,60.107864,48.12,+0.0,0
1762828338,BTCX25.sim,H4,106900.000000,106030.903039,59.15,+0.0,0
1762828349,XAUZ25.sim,H4,4136.700000,4038.543348,73.49,+1.0,0
1762828349,US30Z25.sim,H4,47475.050000,47316.218939,57.95,+0.0,0
1762828349,US100Z25.sim,H1,25725.560000,25504.146036,67.99,+1.0,0
1762828349,US500Z25.sim,H4,6858.080000,6820.075278,59.38,+0.0,0
1762828349,USOILZ25.sim,H4,59.921000,60.108021,48.18,+0.0,0
1762828349,BTCX25.sim,H4,106952.500000,106032.961863,59.35,+0.0,0
1762828354,XAUZ25.sim,H4,4136.500000,4038.535504,73.41,+1.0,0
1762828354,US30Z25.sim,H4,47474.550000,47316.199331,57.93,+0.0,0
1762828354,US100Z25.sim,H1,25725.190000,25504.131526,67.94,+1.0,0
1762828354,US500Z25.sim,H4,6858.050000,6820.074101,59.37,+0.0,0
1762828354,USOILZ25.sim,H4,59.921000,60.108021,48.18,+0.0,0
1762828354,BTCX25.sim,H4,106962.500000,106033.354020,59.38,+0.0,0
1762828451,XAUZ25.sim,H4,4137.700000,4038.582563,73.85,+1.0,0
1762828451,US30Z25.sim,H4,47485.000000,47316.609135,58.28,+0.0,0
1762828451,US100Z25.sim,H1,25734.010000,25504.477408,69.21,+1.0,0
1762828451,US500Z25.sim,H4,6859.730000,6820.139984,59.77,+0.0,0
1762828451,USOILZ25.sim,H4,59.944000,60.108923,48.54,+0.0,0
1762828451,BTCX25.sim,H4,106972.500000,106033.746177,59.42,+0.0,0
1762828456,XAUZ25.sim,H4,4137.460000,4038.573151,73.76,+1.0,0
1762828456,US30Z25.sim,H4,47484.500000,47316.589527,58.27,+0.0,0
1762828456,US100Z25.sim,H1,25732.940000,25504.435447,69.05,+1.0,0
1762828456,US500Z25.sim,H4,6859.580000,6820.134101,59.73,+0.0,0
1762828456,USOILZ25.sim,H4,59.942000,60.108844,48.51,+0.0,0
1762828456,BTCX25.sim,H4,106945.000000,106032.667745,59.32,+0.0,0
1762828570,XAUZ25.sim,H4,4137.180000,4038.562171,73.66,+1.0,0
1762828570,US30Z25.sim,H4,47496.700000,47317.067958,58.67,+0.0,0
1762828570,US100Z25.sim,H1,25747.340000,25505.000153,70.71,+1.0,0
1762828570,US500Z25.sim,H4,6862.380000,6820.243905,60.26,+1.0,0
1762828570,USOILZ25.sim,H4,59.937000,60.108648,48.43,+0.0,0
1762828570,BTCX25.sim,H4,107355.000000,106048.746177,60.79,+1.0,0
1762828718,XAUZ25.sim,H4,4136.440000,4038.533151,73.39,+1.0,0
1762828718,US30Z25.sim,H4,47497.400000,47317.095409,58.69,+0.0,0
1762828718,US100Z25.sim,H1,25745.440000,25504.925643,70.59,+1.0,0
1762828718,US500Z25.sim,H4,6862.280000,6820.239984,60.24,+1.0,0
1762828718,USOILZ25.sim,H4,59.926000,60.108217,48.26,+0.0,0
1762828718,BTCX25.sim,H4,107240.000000,106044.236373,60.39,+1.0,0
1762828723,XAUZ25.sim,H4,4136.440000,4038.533151,73.39,+1.0,0
1762828723,US30Z25.sim,H4,47498.250000,47317.128743,58.72,+0.0,0
1762828723,US100Z25.sim,H1,25747.260000,25504.997016,70.70,+1.0,0
1762828723,US500Z25.sim,H4,6862.580000,6820.251748,60.29,+1.0,0
1762828723,USOILZ25.sim,H4,59.927000,60.108256,48.27,+0.0,0
1762828723,BTCX25.sim,H4,107225.000000,106043.648137,60.34,+1.0,0
1762828728,XAUZ25.sim,H4,4136.440000,4038.533151,73.39,+1.0,0
1762828728,US30Z25.sim,H4,47497.750000,47317.109135,58.70,+0.0,0
1762828728,US100Z25.sim,H1,25746.940000,25504.984467,70.68,+1.0,0
1762828728,US500Z25.sim,H4,6862.530000,6820.249787,60.28,+1.0,0
1762828728,USOILZ25.sim,H4,59.927000,60.108256,48.27,+0.0,0
1762828728,BTCX25.sim,H4,107195.000000,106042.471667,60.23,+1.0,0
1762828734,XAUZ25.sim,H4,4136.620000,4038.540210,73.46,+1.0,0
1762828734,US30Z25.sim,H4,47498.050000,47317.120900,58.71,+0.0,0
1762828734,US100Z25.sim,H1,25747.190000,25504.994271,70.70,+1.0,0
1762828734,US500Z25.sim,H4,6862.550000,6820.250572,60.28,+1.0,0
1762828734,USOILZ25.sim,H4,59.927000,60.108256,48.27,+0.0,0
1762828734,BTCX25.sim,H4,107255.000000,106044.824608,60.44,+1.0,0
1762828831,XAUZ25.sim,H4,4138.880000,4038.628838,74.29,+1.0,0
1762828831,US30Z25.sim,H4,47498.600000,47317.142468,58.73,+0.0,0
1762828831,US100Z25.sim,H1,25749.240000,25505.074663,70.83,+1.0,0
1762828831,US500Z25.sim,H4,6862.880000,6820.263513,60.33,+1.0,0
1762828831,USOILZ25.sim,H4,59.930000,60.108374,48.32,+0.0,0
1762828831,BTCX25.sim,H4,107120.000000,106039.530490,59.96,+0.0,0
1762828836,XAUZ25.sim,H4,4139.080000,4038.636681,74.37,+1.0,0
1762828836,US30Z25.sim,H4,47497.600000,47317.103252,58.69,+0.0,0
1762828836,US100Z25.sim,H1,25747.640000,25505.011918,70.73,+1.0,0
1762828836,US500Z25.sim,H4,6862.680000,6820.255670,60.30,+1.0,0
1762828836,USOILZ25.sim,H4,59.929000,60.108334,48.30,+0.0,0
1762828836,BTCX25.sim,H4,107112.500000,106039.236373,59.93,+0.0,0
1762828841,XAUZ25.sim,H4,4139.440000,4038.650799,74.50,+1.0,0
1762828841,US30Z25.sim,H4,47498.600000,47317.142468,58.73,+0.0,0
1762828841,US100Z25.sim,H1,25748.790000,25505.057016,70.80,+1.0,0
1762828841,US500Z25.sim,H4,6862.830000,6820.261552,60.33,+1.0,0
1762828841,USOILZ25.sim,H4,59.929000,60.108334,48.30,+0.0,0
1762828841,BTCX25.sim,H4,107115.000000,106039.334412,59.94,+0.0,0
1762829113,XAUZ25.sim,H4,4144.240000,4038.839034,75.76,+1.0,0
1762829113,US30Z25.sim,H4,47484.800000,47316.601292,58.28,+0.0,0
1762829113,US100Z25.sim,H1,25738.860000,25504.667604,69.93,+1.0,0
1762829113,US500Z25.sim,H4,6860.630000,6820.175278,59.98,+0.0,0
1762829113,USOILZ25.sim,H4,59.907000,60.107472,47.96,+0.0,0
1762829113,BTCX25.sim,H4,107100.000000,106038.746177,59.89,+0.0,0
1762829119,XAUZ25.sim,H4,4144.320000,4038.842171,75.77,+1.0,0
1762829119,US30Z25.sim,H4,47484.400000,47316.585605,58.26,+0.0,0
1762829119,US100Z25.sim,H1,25738.940000,25504.670742,69.94,+1.0,0
1762829119,US500Z25.sim,H4,6860.700000,6820.178023,59.99,+0.0,0
1762829119,USOILZ25.sim,H4,59.910000,60.107589,48.01,+0.0,0
1762829119,BTCX25.sim,H4,107102.500000,106038.844216,59.90,+0.0,0
1762829124,XAUZ25.sim,H4,4144.100000,4038.833544,75.74,+1.0,0
1762829124,US30Z25.sim,H4,47484.900000,47316.605213,58.28,+0.0,0
1762829124,US100Z25.sim,H1,25740.190000,25504.719761,70.13,+1.0,0
1762829124,US500Z25.sim,H4,6860.930000,6820.187042,60.03,+1.0,0
1762829124,USOILZ25.sim,H4,59.908000,60.107511,47.98,+0.0,0
1762829124,BTCX25.sim,H4,107087.500000,106038.255981,59.84,+0.0,0
1762829267,XAUZ25.sim,H4,4143.820000,4038.822563,75.70,+1.0,0
1762829267,US30Z25.sim,H4,47485.700000,47316.636586,58.31,+0.0,0
1762829267,US100Z25.sim,H1,25743.990000,25504.868781,70.50,+1.0,0
1762829267,US500Z25.sim,H4,6861.600000,6820.213317,60.13,+1.0,0
1762829267,USOILZ25.sim,H4,59.925000,60.108178,48.24,+0.0,0
1762829267,BTCX25.sim,H4,107130.000000,106039.922647,60.00,+0.0,0
1762829273,XAUZ25.sim,H4,4144.060000,4038.831975,75.73,+1.0,0
1762829273,US30Z25.sim,H4,47485.250000,47316.618939,58.29,+0.0,0
1762829273,US100Z25.sim,H1,25744.190000,25504.876624,70.51,+1.0,0
1762829273,US500Z25.sim,H4,6861.550000,6820.211356,60.13,+1.0,0
1762829273,USOILZ25.sim,H4,59.925000,60.108178,48.24,+0.0,0
1762829273,BTCX25.sim,H4,107097.500000,106038.648137,59.88,+0.0,0
1762829278,XAUZ25.sim,H4,4144.080000,4038.832759,75.74,+1.0,0
1762829278,US30Z25.sim,H4,47485.400000,47316.624821,58.30,+0.0,0
1762829278,US100Z25.sim,H1,25744.190000,25504.876624,70.51,+1.0,0
1762829278,US500Z25.sim,H4,6861.550000,6820.211356,60.13,+1.0,0
1762829278,USOILZ25.sim,H4,59.925000,60.108178,48.24,+0.0,0
1762829278,BTCX25.sim,H4,107047.500000,106036.687353,59.70,+0.0,0
1762829344,XAUZ25.sim,H4,4143.280000,4038.801387,75.64,+1.0,0
1762829344,US30Z25.sim,H4,47483.400000,47316.546390,58.23,+0.0,0
1762829344,US100Z25.sim,H1,25741.060000,25504.753879,70.26,+1.0,0
1762829344,US500Z25.sim,H4,6861.100000,6820.193709,60.06,+1.0,0
1762829344,USOILZ25.sim,H4,59.920000,60.107981,48.16,+0.0,0
1762829344,BTCX25.sim,H4,106902.500000,106031.001079,59.16,+0.0,0
