time,open,high,low,close,tick_volume,spread,real_volume
2025-08-22 15:00:00,112865.000000,112905.000000,112805.000000,112865.000000,111,6000,0
2025-08-22 15:30:00,112865.000000,113505.000000,112475.000000,113125.000000,1247,4000,0
2025-08-22 16:00:00,113145.000000,113325.000000,112865.000000,113065.000000,762,6000,0
2025-08-22 16:30:00,113065.000000,113480.000000,112685.000000,113210.000000,1956,6000,0
2025-08-22 17:00:00,113210.000000,116665.000000,113210.000000,116065.000000,5280,7500,0
2025-08-22 17:30:00,116025.000000,117035.000000,116025.000000,116685.000000,3383,6000,0
2025-08-22 18:00:00,116685.000000,117945.000000,116685.000000,117645.000000,2386,6000,0
2025-08-22 18:30:00,117645.000000,118265.000000,117245.000000,117265.000000,1728,6000,0
2025-08-22 19:00:00,117285.000000,117665.000000,116985.000000,117245.000000,2020,6000,0
2025-08-22 19:30:00,117245.000000,117405.000000,116985.000000,117045.000000,1401,6000,0
2025-08-22 20:00:00,117025.000000,117885.000000,117025.000000,117805.000000,2041,6000,0
2025-08-22 20:30:00,117785.000000,117925.000000,117385.000000,117925.000000,1071,6000,0
2025-08-22 21:00:00,117945.000000,118325.000000,117705.000000,117765.000000,1363,6000,0
2025-08-22 21:30:00,117765.000000,118065.000000,117605.000000,117685.000000,580,4000,0
2025-08-22 22:00:00,117665.000000,117825.000000,117585.000000,117605.000000,626,6000,0
2025-08-22 22:30:00,117625.000000,117685.000000,117385.000000,117605.000000,760,4500,0
2025-08-22 23:00:00,117575.000000,118065.000000,117505.000000,118025.000000,534,4000,0
2025-08-22 23:30:00,118040.000000,118085.000000,117765.000000,117845.000000,491,7500,0
2025-08-25 01:00:00,114065.000000,114065.000000,113480.000000,113485.000000,1460,7000,0
2025-08-25 01:30:00,113485.000000,114320.000000,113450.000000,114265.000000,1136,6000,0
2025-08-25 02:00:00,114275.000000,114455.000000,114135.000000,114455.000000,1375,7000,0
2025-08-25 02:30:00,114455.000000,114500.000000,114170.000000,114305.000000,1250,6000,0
2025-08-25 03:00:00,114325.000000,114325.000000,113810.000000,113845.000000,1530,6000,0
2025-08-25 03:30:00,113845.000000,113855.000000,112910.000000,113420.000000,2115,7000,0
2025-08-25 04:00:00,113375.000000,113945.000000,113375.000000,113785.000000,1785,7000,0
2025-08-25 04:30:00,113765.000000,113885.000000,113480.000000,113855.000000,843,7500,0
2025-08-25 05:00:00,113840.000000,114405.000000,113825.000000,114225.000000,1084,6000,0
2025-08-25 05:30:00,114245.000000,114305.000000,114065.000000,114170.000000,723,7000,0
2025-08-25 06:00:00,114170.000000,114470.000000,114095.000000,114145.000000,842,6000,0
2025-08-25 06:30:00,114145.000000,114275.000000,113675.000000,113715.000000,892,6000,0
2025-08-25 07:00:00,113715.000000,113865.000000,113480.000000,113510.000000,1611,6000,0
2025-08-25 07:30:00,113510.000000,113660.000000,113405.000000,113540.000000,932,7000,0
2025-08-25 08:00:00,113555.000000,113655.000000,113285.000000,113315.000000,699,7000,0
2025-08-25 08:30:00,113330.000000,113450.000000,113125.000000,113125.000000,855,7500,0
2025-08-25 09:00:00,113125.000000,113270.000000,113000.000000,113045.000000,953,7500,0
2025-08-25 09:30:00,113060.000000,113120.000000,112505.000000,112705.000000,946,6000,0
2025-08-25 10:00:00,112705.000000,112965.000000,112585.000000,112725.000000,994,4000,0
2025-08-25 10:30:00,112705.000000,112765.000000,112100.000000,112295.000000,1916,6000,0
2025-08-25 11:00:00,112235.000000,112610.000000,111785.000000,112490.000000,1912,4500,0
2025-08-25 11:30:00,112505.000000,112675.000000,112205.000000,112220.000000,1151,4000,0
2025-08-25 12:00:00,112220.000000,112485.000000,112085.000000,112265.000000,767,4000,0
2025-08-25 12:30:00,112275.000000,112625.000000,112155.000000,112550.000000,731,6000,0
2025-08-25 13:00:00,112550.000000,112610.000000,111845.000000,112010.000000,1130,6000,0
2025-08-25 13:30:00,112010.000000,112190.000000,111715.000000,111765.000000,1652,5000,0
2025-08-25 14:00:00,111775.000000,111945.000000,111715.000000,111845.000000,931,4500,0
2025-08-25 14:30:00,111845.000000,112070.000000,111710.000000,112010.000000,1201,4500,0
2025-08-25 15:00:00,112010.000000,112490.000000,111825.000000,112490.000000,1188,4000,0
2025-08-25 15:30:00,112475.000000,112490.000000,112085.000000,112370.000000,1050,4500,0
2025-08-25 16:00:00,112355.000000,112550.000000,112100.000000,112460.000000,1131,4500,0
2025-08-25 16:30:00,112460.000000,112505.000000,111305.000000,112285.000000,3668,4500,0
2025-08-25 17:00:00,112285.000000,113045.000000,112055.000000,112760.000000,1962,6000,0
2025-08-25 17:30:00,112745.000000,113150.000000,112670.000000,113075.000000,1619,6000,0
2025-08-25 18:00:00,113090.000000,113425.000000,112655.000000,113295.000000,1257,6000,0
2025-08-25 18:30:00,113305.000000,113375.000000,112940.000000,113015.000000,1341,6000,0
2025-08-25 19:00:00,113045.000000,113795.000000,112850.000000,113475.000000,1535,6000,0
2025-08-25 19:30:00,113475.000000,113695.000000,113345.000000,113365.000000,1340,6000,0
2025-08-25 20:00:00,113365.000000,113655.000000,113015.000000,113565.000000,1828,6000,0
2025-08-25 20:30:00,113565.000000,113635.000000,113105.000000,113275.000000,1265,5000,0
2025-08-25 21:00:00,113285.000000,113485.000000,113115.000000,113420.000000,1185,4000,0
2025-08-25 21:30:00,113420.000000,113435.000000,113115.000000,113240.000000,1288,4000,0
2025-08-25 22:00:00,113240.000000,113285.000000,112550.000000,112790.000000,1201,4000,0
2025-08-25 22:30:00,112775.000000,112805.000000,111505.000000,111580.000000,2261,4000,0
2025-08-25 23:00:00,111575.000000,111890.000000,110825.000000,111325.000000,3867,4000,0
2025-08-25 23:30:00,111335.000000,111365.000000,110225.000000,110585.000000,2846,6000,0
2025-08-26 01:00:00,110765.000000,111215.000000,110705.000000,111205.000000,285,7000,0
2025-08-26 01:30:00,111225.000000,111415.000000,110915.000000,110955.000000,782,5000,0
2025-08-26 02:00:00,110945.000000,110965.000000,110585.000000,110750.000000,751,5000,0
2025-08-26 02:30:00,110735.000000,111080.000000,110690.000000,110945.000000,726,4500,0
2025-08-26 03:00:00,110945.000000,110955.000000,110240.000000,110510.000000,1841,4500,0
2025-08-26 03:30:00,110495.000000,110750.000000,109705.000000,109905.000000,2632,6000,0
2025-08-26 04:00:00,109915.000000,110645.000000,109475.000000,110570.000000,1690,6000,0
2025-08-26 04:30:00,110585.000000,110750.000000,110345.000000,110685.000000,619,7500,0
2025-08-26 05:00:00,110685.000000,110885.000000,110450.000000,110615.000000,715,6000,0
2025-08-26 05:30:00,110615.000000,110675.000000,110285.000000,110510.000000,889,4500,0
2025-08-26 06:00:00,110510.000000,110720.000000,110180.000000,110570.000000,771,6000,0
2025-08-26 06:30:00,110555.000000,110735.000000,110555.000000,110690.000000,440,6000,0
2025-08-26 07:00:00,110705.000000,111005.000000,110675.000000,110985.000000,594,6000,0
2025-08-26 07:30:00,110985.000000,111065.000000,110745.000000,110930.000000,513,6000,0
2025-08-26 08:00:00,110930.000000,111095.000000,110915.000000,110985.000000,508,5000,0
2025-08-26 08:30:00,110965.000000,111225.000000,110885.000000,111015.000000,659,5000,0
2025-08-26 09:00:00,111015.000000,111175.000000,110665.000000,110780.000000,1068,4500,0
2025-08-26 09:30:00,110795.000000,110915.000000,110705.000000,110795.000000,713,4500,0
2025-08-26 10:00:00,110780.000000,110840.000000,110540.000000,110765.000000,785,6000,0
2025-08-26 10:30:00,110750.000000,111355.000000,110720.000000,111075.000000,971,6000,0
2025-08-26 11:00:00,111075.000000,111275.000000,110795.000000,110885.000000,913,5000,0
2025-08-26 11:30:00,110875.000000,111205.000000,110810.000000,110870.000000,536,4500,0
2025-08-26 12:00:00,110885.000000,111215.000000,110885.000000,111115.000000,485,5500,0
2025-08-26 12:30:00,111125.000000,111165.000000,110810.000000,110945.000000,775,4000,0
2025-08-26 13:00:00,110960.000000,111235.000000,110835.000000,111145.000000,728,4500,0
2025-08-26 13:30:00,111165.000000,111215.000000,110900.000000,110995.000000,813,4000,0
2025-08-26 14:00:00,111005.000000,111015.000000,110585.000000,110665.000000,772,4000,0
2025-08-26 14:30:00,110645.000000,110655.000000,110335.000000,110645.000000,796,4000,0
2025-08-26 15:00:00,110675.000000,110690.000000,110360.000000,110445.000000,611,4500,0
2025-08-26 15:30:00,110445.000000,111595.000000,110410.000000,110975.000000,2219,5500,0
2025-08-26 16:00:00,110975.000000,111045.000000,110525.000000,110600.000000,1123,5000,0
2025-08-26 16:30:00,110585.000000,111025.000000,110105.000000,110765.000000,3094,5000,0
2025-08-26 17:00:00,110765.000000,111325.000000,110515.000000,110935.000000,2679,4500,0
2025-08-26 17:30:00,110935.000000,111255.000000,110875.000000,111090.000000,2087,5000,0
2025-08-26 18:00:00,111085.000000,111335.000000,110745.000000,110835.000000,1897,4500,0
2025-08-26 18:30:00,110835.000000,110845.000000,110295.000000,110415.000000,1315,4500,0
2025-08-26 19:00:00,110415.000000,110555.000000,110195.000000,110505.000000,1144,4500,0
2025-08-26 19:30:00,110495.000000,110925.000000,110335.000000,110905.000000,1178,4000,0
2025-08-26 20:00:00,110905.000000,110965.000000,110505.000000,110615.000000,1225,4000,0
2025-08-26 20:30:00,110630.000000,110775.000000,110325.000000,110775.000000,1100,4000,0
2025-08-26 21:00:00,110775.000000,111315.000000,110735.000000,111305.000000,983,4000,0
2025-08-26 21:30:00,111315.000000,111805.000000,111185.000000,111495.000000,1396,4000,0
2025-08-26 22:00:00,111485.000000,111965.000000,111275.000000,111905.000000,1379,4000,0
2025-08-26 22:30:00,111885.000000,111950.000000,111595.000000,111880.000000,1236,4000,0
2025-08-26 23:00:00,111880.000000,112155.000000,111665.000000,112120.000000,1029,4000,0
2025-08-26 23:30:00,112120.000000,112135.000000,111890.000000,112095.000000,696,6000,0
2025-08-27 01:00:00,112465.000000,112805.000000,112405.000000,112455.000000,753,4000,0
2025-08-27 01:30:00,112435.000000,112775.000000,112355.000000,112730.000000,588,4000,0
2025-08-27 02:00:00,112730.000000,113150.000000,112685.000000,112745.000000,838,4500,0
2025-08-27 02:30:00,112745.000000,112760.000000,112505.000000,112535.000000,535,4500,0
2025-08-27 03:00:00,112545.000000,112595.000000,112375.000000,112425.000000,542,4500,0
2025-08-27 03:30:00,112435.000000,112615.000000,112070.000000,112085.000000,665,4000,0
2025-08-27 04:00:00,112095.000000,112235.000000,111945.000000,112015.000000,824,4000,0
2025-08-27 04:30:00,112025.000000,112130.000000,111875.000000,112065.000000,850,3500,0
2025-08-27 05:00:00,112075.000000,112295.000000,111885.000000,112115.000000,917,4500,0
2025-08-27 05:30:00,112115.000000,112245.000000,111860.000000,111875.000000,740,5000,0
2025-08-27 06:00:00,111895.000000,111985.000000,111685.000000,111715.000000,728,4000,0
2025-08-27 06:30:00,111735.000000,112475.000000,111725.000000,112190.000000,986,4500,0
2025-08-27 07:00:00,112185.000000,112490.000000,112155.000000,112215.000000,979,5000,0
2025-08-27 07:30:00,112205.000000,112445.000000,112185.000000,112315.000000,536,4500,0
2025-08-27 08:00:00,112325.000000,112445.000000,112065.000000,112115.000000,749,4000,0
