symbol,selected,m1_bars_now,last_close,path,trade_mode,visible
EURNOK.sim,Y,50,11.712400,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 3\EURNOK.sim,4,True
EURUSD.sim,Y,50,1.155350,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 1\EURUSD.sim,4,True
USDJPY.sim,Y,50,146.970000,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\USDJPY.sim,4,True
GBPUSD.sim,Y,50,1.348430,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\GBPUSD.sim,4,True
AUDUSD.sim,Y,50,0.653090,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 1\AUDUSD.sim,4,True
EURJPY.sim,Y,50,178.315000,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\EURJPY.sim,4,True
GBPJPY.sim,Y,50,203.139000,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\GBPJPY.sim,4,True
EURGBP.sim,Y,50,0.877760,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\EURGBP.sim,4,True
USDCAD.sim,Y,50,1.403100,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 1\USDCAD.sim,4,True
USDCHF.sim,Y,50,0.805360,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 1\USDCHF.sim,4,True
NZDUSD.sim,Y,50,0.563870,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 1\NZDUSD.sim,4,True
AUDCAD.sim,Y,50,0.916290,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 1\AUDCAD.sim,4,True
USDZAR.sim,Y,50,17.149400,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 3\USDZAR.sim,4,True
USDSGD.sim,Y,50,1.303100,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\USDSGD.sim,4,True
USDSEK.sim,Y,50,9.517320,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 1\USDSEK.sim,4,True
USDPLN.sim,Y,50,3.665400,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\USDPLN.sim,4,True
USDNOK.sim,Y,50,9.909760,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 3\USDNOK.sim,4,True
USDMXN.sim,Y,50,18.392200,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 4\USDMXN.sim,4,True
USDHUF.sim,Y,50,332.006000,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\USDHUF.sim,4,True
USDCZK.sim,Y,50,21.016500,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\USDCZK.sim,4,True
USDCNH.sim,Y,50,7.123790,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\USDCNH.sim,4,True
AUDCHF.sim,Y,50,0.525940,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 1\AUDCHF.sim,4,True
AUDJPY.sim,Y,50,100.796000,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\AUDJPY.sim,4,True
AUDNZD.sim,Y,50,1.158170,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\AUDNZD.sim,4,True
CADCHF.sim,Y,50,0.573960,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 1\CADCHF.sim,4,True
CADJPY.sim,Y,50,109.999000,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\CADJPY.sim,4,True
CHFJPY.sim,Y,50,191.634000,OANDA Simulation Trading\Simulation Trading - Spot FX - Tier 2\CHFJPY.sim,4,True
