ts,ticket,symbol,side,volume,entry,close,realized_quote,realized_ccy,reason
1763429940.1712606,32902259,US30Z25.sim,SELL,1.0,48445.15,48445.15,-1.9,-1.9,ai.close.flip
1763429940.1775873,32902263,US500Z25.sim,BUY,1.0,6883.87,6883.87,-2.6,-2.6,ai.close.flip
1763429940.1822553,32902266,BTCX25.sim,BUY,1.0,102515.0,102515.0,-3.75,-3.75,ai.close.flip
1763429940.1885452,32902270,US30Z25.sim,BUY,1.0,48447.95,48447.95,-1.3,-1.3,ai.close.flip
1763429940.1951652,32902272,US30Z25.sim,SELL,1.0,48445.4,48445.4,-1.08,-1.08,ai.close.flip
1763429940.2014923,32902274,US500Z25.sim,SELL,1.0,6883.38,6883.38,-2.45,-2.45,ai.close.flip
1763429940.2069821,32902276,US500Z25.sim,BUY,1.0,6883.92,6883.92,-2.7,-2.7,ai.close.flip
1763429940.212285,32902278,BTCX25.sim,SELL,1.0,102467.5,102467.5,-2.0,-2.0,ai.close.flip
1763429940.2168674,32902280,BTCX25.sim,BUY,1.0,102507.5,102507.5,-4.0,-4.0,ai.close.flip
1763429940.2225416,32902282,US30Z25.sim,BUY,1.0,48447.1,48447.1,-0.85,-0.85,ai.close.flip
1763429940.226731,32902284,US30Z25.sim,SELL,1.0,48445.05,48445.05,-1.1,-1.1,ai.close.flip
1763429940.231161,32902286,US500Z25.sim,SELL,1.0,6883.33,6883.33,-2.95,-2.95,ai.close.flip
1763429940.2365499,32902288,BTCX25.sim,SELL,1.0,102467.5,102467.5,-4.0,-4.0,ai.close.flip
1763429940.2417455,32902290,BTCX25.sim,BUY,1.0,102507.5,102507.5,-4.0,-4.0,ai.close.flip
1763429940.2468941,32902292,US30Z25.sim,BUY,1.0,48446.1,48446.1,-0.53,-0.53,ai.close.flip
1763429940.251676,32902294,US30Z25.sim,SELL,1.0,48442.75,48442.75,-1.6800000000000002,-1.6800000000000002,ai.close.flip
1763429940.2563202,32902296,BTCX25.sim,SELL,1.0,102455.0,102455.0,-5.0,-5.0,ai.close.flip
1763429940.2603707,32902298,BTCX25.sim,BUY,1.0,102497.5,102497.5,-4.0,-4.0,ai.close.flip
1763429940.263976,32902300,US30Z25.sim,BUY,1.0,48446.45,48446.45,-1.78,-1.78,ai.close.flip
1763429940.2678878,32902302,US30Z25.sim,SELL,1.0,48443.4,48443.4,-1.1,-1.1,ai.close.flip
1763429940.2729437,32902304,US500Z25.sim,BUY,1.0,6883.42,6883.42,-0.95,-0.95,ai.close.flip
1763429940.2778597,32902306,BTCX25.sim,SELL,1.0,102447.5,102447.5,-5.5,-5.5,ai.close.flip
