"experiment_id","symbol","timeframe","horizon","start","end","indicator_set","indicator_desc","ema_fast","ema_slow","rsi_period","rsi_buy","rsi_sell","adx_min","atr_period","sl_mult","tp_mult","trail","session_start","session_end","notes"
"E0001","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","BASE_RSI14_EMA50","EMA50 trend + RSI14(30/70) gate","20","50","14","30","70",,"14","1.5","2","none","09:30","16:00",""
"E0002","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","BASE_RSI14_EMA50","EMA50 trend + RSI14(30/70) gate","20","50","14","30","70",,"14","1.5","2","none","09:30","16:00",""
"E0003","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","BASE_RSI14_EMA50","EMA50 trend + RSI14(30/70) gate","20","50","14","30","70",,"14","2","2","none","09:30","16:00",""
"E0004","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","BASE_RSI14_EMA50","EMA50 trend + RSI14(30/70) gate","20","50","14","30","70",,"14","2","2","none","09:30","16:00",""
"E0005","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","BASE_RSI14_EMA50","EMA50 trend + RSI14(30/70) gate","20","50","14","30","70",,"14","1.5",,"atr1.0","09:30","16:00",""
"E0006","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","BASE_RSI14_EMA50","EMA50 trend + RSI14(30/70) gate","20","50","14","30","70",,"14","1.5",,"atr1.0","09:30","16:00",""
"E0007","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","CROSS_EMA20_50_RSI14","EMA20/50 cross + RSI14(35/65)","20","50","14","35","65",,"14","1.5","2","none","09:30","16:00",""
"E0008","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","CROSS_EMA20_50_RSI14","EMA20/50 cross + RSI14(35/65)","20","50","14","35","65",,"14","1.5","2","none","09:30","16:00",""
"E0009","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","CROSS_EMA20_50_RSI14","EMA20/50 cross + RSI14(35/65)","20","50","14","35","65",,"14","2","2","none","09:30","16:00",""
"E0010","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","CROSS_EMA20_50_RSI14","EMA20/50 cross + RSI14(35/65)","20","50","14","35","65",,"14","2","2","none","09:30","16:00",""
"E0011","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","CROSS_EMA20_50_RSI14","EMA20/50 cross + RSI14(35/65)","20","50","14","35","65",,"14","1.5",,"atr1.0","09:30","16:00",""
"E0012","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","CROSS_EMA20_50_RSI14","EMA20/50 cross + RSI14(35/65)","20","50","14","35","65",,"14","1.5",,"atr1.0","09:30","16:00",""
"E0013","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","RSI21_ONLY","RSI21 band only",,,"21","30","70",,"14","1.5","2","none","09:30","16:00",""
"E0014","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","RSI21_ONLY","RSI21 band only",,,"21","30","70",,"14","1.5","2","none","09:30","16:00",""
"E0015","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","RSI21_ONLY","RSI21 band only",,,"21","30","70",,"14","2","2","none","09:30","16:00",""
"E0016","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","RSI21_ONLY","RSI21 band only",,,"21","30","70",,"14","2","2","none","09:30","16:00",""
"E0017","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","RSI21_ONLY","RSI21 band only",,,"21","30","70",,"14","1.5",,"atr1.0","09:30","16:00",""
