"experiment_id","symbol","timeframe","horizon","start","end","indicator_set","atr_period","sl_mult","tp_mult","trail","sizing","atr_risk_pct","fixed_lot","commission_per_side","spread_points","slippage_points","max_positions","cooldown_bars","notes"
"E0001","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","14","1.5","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0002","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","14","1.5","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0003","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","14","2","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0004","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","14","2","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0005","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","14","1.5",,"atr1.0","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0006","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","14","1.5",,"atr1.0","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0007","US30Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","14","1.5","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0008","US30Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","14","1.5","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0009","US30Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","14","2","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0010","US30Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","14","2","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0011","US30Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","14","1.5",,"atr1.0","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0012","US30Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","14","1.5",,"atr1.0","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0013","US30Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","14","1.5","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0014","US30Z25.sim","H4","3y","2022-11-10","2025-11-10","N/A","14","1.5","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0015","US30Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","14","2","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0016","US30Z25.sim","H4","3y","2022-11-10","2025-11-10","N/A","14","2","2","none","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0017","US30Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","14","1.5",,"atr1.0","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0018","US30Z25.sim","H4","3y","2022-11-10","2025-11-10","N/A","14","1.5",,"atr1.0","ATR_RISK","0.5",,"0","12","8","1","0",""
"E0019","US100Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","14","1.5","2","none","ATR_RISK","0.5",,"0","20","12","1","0",""
"E0020","US100Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","14","1.5","2","none","ATR_RISK","0.5",,"0","20","12","1","0",""
"E0021","US100Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","14","2","2","none","ATR_RISK","0.5",,"0","20","12","1","0",""
