"experiment_id","symbol","timeframe","horizon","start","end","indicator_set","atr_period","sl_mult","tp_mult","trail","sizing","atr_risk_pct","fixed_lot","commission_per_side","spread_points","slippage_points","max_positions","cooldown_bars","notes"
"S446ee48cf1500f6a","BTCX25.sim","M30","5y","2020-11-10","2025-11-10","N/A","16","1.5","3.23","none","ATR_RISK","0.26",,"0","96","43","1","0",""
"Sf068f2ad0fea8947","US100Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","16","1.26","2.82","none","ATR_RISK","0.24",,"0","12","31","2","0",""
"Sce00f486d57be18b","US30Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","20","2.45","1.72","none","ATR_RISK","0.38",,"0","17","22","1","0",""
"S896f433e2bb3da54","BTCX25.sim","H4","5y","2020-11-10","2025-11-10","N/A","11","1.25",,"atr1.0","FIXED_LOT",,"0.33","0","31","45","2","0",""
"S736de6bd308069dc","XAUZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","17","2.13",,"atr1.0","ATR_RISK","0.74",,"0","42","21","1","0",""
"S9e505e166ffd43b2","US100Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","10","2.04",,"atr1.0","FIXED_LOT",,"0.25","0","25","25","1","10",""
"S1308ed8f7338e43b","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","17","1.26","3.8","none","ATR_RISK","0.44",,"0","18","6","1","0",""
"S2c854aa4e913d4f5","US500Z25.sim","H4","3y","2022-11-10","2025-11-10","N/A","14","1.74","2.84","none","FIXED_LOT",,"0.06","0","8","8","1","5",""
"S27a6cd55d2f51aba","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","13","2.6",,"atr1.0","ATR_RISK","0.29",,"0","17","16","2","5",""
"Scea78697f3ca78dd","BTCX25.sim","H4","5y","2020-11-10","2025-11-10","N/A","16","2.98","1.27","none","ATR_RISK","0.94",,"0","22","42","1","0",""
"S8702e3a5bfcc40e3","US100Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","11","2.99",,"atr1.0","ATR_RISK","0.39",,"0","20","33","2","0",""
"Scc390f9ad99c7f9f","US30Z25.sim","H4","3y","2022-11-10","2025-11-10","N/A","12","2.87","1.98","none","ATR_RISK","0.67",,"0","18","9","1","0",""
"S918898d9eec04fdc","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","21","2.61",,"atr1.0","FIXED_LOT",,"0.13","0","11","17","1","5",""
"S7a441528865b59fa","US30Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","20","2","3.9","none","ATR_RISK","0.59",,"0","24","22","1","0",""
"S195f9b43b6634cfe","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","18","1.93","2.32","none","ATR_RISK","0.92",,"0","25","23","1","0",""
"Sc081bc2a7bce3f95","XAUZ25.sim","H1","3y","2022-11-10","2025-11-10","N/A","19","2.55","2.15","none","ATR_RISK","0.82",,"0","22","55","1","0",""
"S4091e88bff8f5961","US100Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","17","1.35","3.45","none","FIXED_LOT",,"0.4","0","39","39","1","10",""
"Sd3ce0c1bce6f15e3","USOILZ25.sim","M30","3y","2022-11-10","2025-11-10","N/A","12","2.34","3.18","none","ATR_RISK","0.83",,"0","7","9","1","0",""
"Sfbef285a8fc8649b","XAUZ25.sim","H4","3y","2022-11-10","2025-11-10","N/A","12","2.88",,"atr1.0","ATR_RISK","0.29",,"0","25","18","1","0",""
"S7b4ada8b527f2966","USOILZ25.sim","H1","5y","2020-11-10","2025-11-10","N/A","15","2.57","4","none","ATR_RISK","0.87",,"0","7","5","2","0",""
"S3dfcde3a25210b56","XAUZ25.sim","H1","3y","2022-11-10","2025-11-10","N/A","10","2.05","2.07","none","FIXED_LOT",,"0.45","0","55","10","1","0",""
"S27400a36829d1371","US30Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","18","2.38","2.03","none","FIXED_LOT",,"0.39","0","6","12","1","0",""
"S94f711f9db9aa403","BTCX25.sim","H1","5y","2020-11-10","2025-11-10","N/A","14","1.59","3","none","ATR_RISK","0.39",,"0","87","30","1","10",""
