symbol,side,entry,exit,size,opened_at,closed_at,pnl
BTCX25.sim,SELL,113210.00000,114208.66667,0.5007,1,2,-500.00
BTCX25.sim,BUY,114170.00000,113026.31667,0.4372,13,17,-500.00
BTCX25.sim,SELL,113075.00000,111321.33617,0.5702,25,31,1000.00
BTCX25.sim,SELL,110690.00000,111590.18032,0.5554,37,46,-500.00
BTCX25.sim,SELL,110415.00000,111208.81146,0.6299,49,52,-500.00
BTCX25.sim,BUY,112315.00000,111705.33368,0.8201,61,64,-500.00
BTCX25.sim,BUY,112855.00000,112179.81023,0.7405,73,77,-500.00
BTCX25.sim,BUY,113635.00000,112922.83383,0.7021,85,99,-500.00
BTCX25.sim,BUY,113190.00000,112538.13316,0.7670,97,104,-500.00
BTCX25.sim,SELL,111915.00000,110819.85963,0.9131,109,110,1000.00
BTCX25.sim,SELL,109395.00000,110281.68521,0.5639,124,134,-500.00
BTCX25.sim,SELL,109140.00000,109953.08695,0.6149,136,139,-500.00
BTCX25.sim,SELL,109850.00000,110589.17229,0.6764,148,151,-500.00
BTCX25.sim,BUY,110375.00000,109795.68540,0.8631,160,161,-500.00
BTCX25.sim,BUY,112000.00000,111317.43398,0.7325,172,177,-500.00
BTCX25.sim,BUY,111750.00000,112819.78599,0.9348,184,186,1000.00
BTCX25.sim,BUY,112545.00000,111977.11542,0.8805,196,197,-500.00
BTCX25.sim,SELL,110920.00000,109812.17584,0.9027,208,210,1000.00
BTCX25.sim,SELL,111715.00000,112396.89928,0.7332,220,225,-500.00
BTCX25.sim,BUY,110830.00000,112700.26527,0.5347,232,254,1000.00
BTCX25.sim,SELL,111450.00000,112066.16779,0.8115,244,249,-500.00
BTCX25.sim,BUY,113070.00000,112536.02804,0.9364,256,258,-500.00
BTCX25.sim,BUY,112395.00000,113416.83653,0.9786,268,270,1000.00
BTCX25.sim,SELL,111205.00000,111877.44261,0.7436,280,285,-500.00
BTCX25.sim,SELL,111945.00000,112390.80063,1.1216,292,294,-500.00
BTCX25.sim,BUY,114005.00000,115206.80398,0.8321,305,331,1000.00
BTCX25.sim,BUY,114490.00000,114043.89472,1.1208,317,322,-500.00
BTCX25.sim,BUY,114855.00000,115982.31473,0.8871,329,333,1000.00
BTCX25.sim,BUY,115435.00000,116399.79003,1.0365,341,350,1000.00
BTCX25.sim,BUY,116525.00000,115985.25620,0.9264,354,355,-500.00
BTCX25.sim,SELL,115085.00000,115687.08139,0.8305,366,374,-500.00
BTCX25.sim,SELL,115680.00000,116180.12413,0.9998,378,384,-500.00
BTCX25.sim,BUY,115515.00000,115114.66295,1.2489,390,392,-500.00
BTCX25.sim,BUY,116910.00000,116453.47148,1.0952,402,406,-500.00
BTCX25.sim,BUY,116400.00000,115983.74534,1.2012,414,416,-500.00
BTCX25.sim,SELL,116880.00000,117602.08521,0.6924,426,428,-500.00
BTCX25.sim,BUY,117715.00000,117209.97052,0.9900,438,460,-500.00
BTCX25.sim,BUY,118225.00000,117724.84258,0.9997,450,454,-500.00
BTCX25.sim,SELL,116855.00000,115940.97019,1.0941,462,471,1000.00
BTCX25.sim,SELL,115565.00000,114541.08085,0.9766,474,476,1000.00
BTCX25.sim,SELL,113735.00000,112486.57141,0.8010,491,497,1000.00
BTCX25.sim,SELL,113885.00000,112884.21975,0.9992,503,511,1000.00
BTCX25.sim,SELL,112975.00000,111946.83455,0.9726,515,521,1000.00
BTCX25.sim,SELL,113835.00000,114298.35011,1.0791,527,531,-500.00
BTCX25.sim,BUY,114185.00000,113738.22614,1.1191,539,541,-500.00
BTCX25.sim,SELL,112270.00000,110946.83740,0.7558,554,557,1000.00
BTCX25.sim,SELL,110245.00000,110931.33314,0.7285,566,581,-500.00
BTCX25.sim,SELL,109575.00000,110315.93833,0.6748,578,580,-500.00
BTCX25.sim,BUY,112465.00000,113705.55244,0.8061,590,599,1000.00
BTCX25.sim,BUY,114930.00000,114485.14201,1.1240,613,616,-500.00
BTCX25.sim,BUY,113550.00000,114680.70185,0.8844,625,628,1000.00
BTCX25.sim,BUY,115440.00000,116472.72741,0.9683,637,640,1000.00
BTCX25.sim,BUY,117600.00000,119042.86229,0.6931,649,654,1000.00
BTCX25.sim,BUY,119770.00000,121055.86331,0.7777,669,671,1000.00
BTCX25.sim,BUY,121325.00000,120765.52212,0.8937,681,685,-500.00
BTCX25.sim,BUY,124335.00000,125812.02645,0.6770,708,714,1000.00
BTCX25.sim,BUY,126325.00000,125498.23910,0.6048,720,725,-500.00
BTCX25.sim,BUY,124900.00000,126163.14145,0.7917,732,736,1000.00
BTCX25.sim,SELL,122720.00000,123638.33520,0.5445,744,755,-500.00
BTCX25.sim,SELL,123310.00000,124081.64352,0.6480,756,764,-500.00
BTCX25.sim,BUY,123845.00000,123039.18836,0.6205,768,771,-500.00
BTCX25.sim,SELL,122805.00000,123444.05353,0.7824,780,781,-500.00
BTCX25.sim,SELL,122280.00000,123078.58563,0.6261,792,806,-500.00
BTCX25.sim,SELL,122250.00000,122796.64671,0.9147,804,806,-500.00
BTCX25.sim,SELL,115840.00000,114042.20090,0.5562,829,841,1000.00
BTCX25.sim,SELL,113307.50000,111037.91335,0.4406,854,875,1000.00
BTCX25.sim,SELL,112705.00000,113626.96977,0.5423,866,870,-500.00
BTCX25.sim,SELL,111497.50000,109558.79602,0.5158,879,900,1000.00
BTCX25.sim,SELL,111975.00000,110384.31561,0.6287,891,894,1000.00
BTCX25.sim,SELL,109012.50000,106915.93630,0.4770,908,914,1000.00
BTCX25.sim,SELL,106017.50000,107205.83259,0.4208,921,924,-500.00
BTCX25.sim,BUY,108927.50000,111100.26265,0.4602,933,936,1000.00
BTCX25.sim,BUY,111362.50000,110648.77487,0.7005,946,947,-500.00
BTCX25.sim,SELL,108260.00000,108975.52532,0.6988,961,964,-500.00
BTCX25.sim,BUY,112037.50000,110848.61938,0.4206,973,975,-500.00
BTCX25.sim,SELL,108412.50000,109160.50377,0.6684,985,990,-500.00
BTCX25.sim,SELL,107697.50000,108622.34130,0.5406,997,1001,-500.00
BTCX25.sim,BUY,109595.00000,108835.54670,0.6584,1009,1014,-500.00
BTCX25.sim,BUY,110675.00000,112545.16705,0.5347,1021,1035,1000.00
BTCX25.sim,BUY,111910.00000,111309.09698,0.8321,1033,1036,-500.00
BTCX25.sim,BUY,115715.00000,115057.07330,0.7600,1058,1067,-500.00
BTCX25.sim,BUY,115085.00000,114493.78210,0.8457,1070,1071,-500.00
BTCX25.sim,BUY,116230.00000,115688.50807,0.9234,1082,1083,-500.00
BTCX25.sim,SELL,113275.00000,114027.34099,0.6646,1094,1099,-500.00
BTCX25.sim,SELL,113015.00000,111787.21971,0.8145,1106,1108,1000.00
