symbol,side,entry,exit,size,opened_at,closed_at,pnl
BTCX25.sim,SELL,113125.00000,113349.00000,2.2321,1,3,-500.00
BTCX25.sim,BUY,117685.00000,116979.83727,0.7091,13,703,-500.00
BTCX25.sim,SELL,113855.00000,112365.43882,0.6713,25,37,1000.00
BTCX25.sim,SELL,112295.00000,112791.09783,1.0079,37,50,-500.00
BTCX25.sim,SELL,112285.00000,112863.16348,0.8648,49,50,-500.00
BTCX25.sim,SELL,111580.00000,110253.36459,0.7538,61,63,1000.00
BTCX25.sim,SELL,110510.00000,111149.49904,0.7819,73,79,-500.00
BTCX25.sim,SELL,110870.00000,111306.04057,1.1467,85,93,-500.00
BTCX25.sim,SELL,111090.00000,111649.11425,0.8943,97,105,-500.00
BTCX25.sim,BUY,112095.00000,113074.27546,1.0212,109,112,1000.00
BTCX25.sim,BUY,112190.00000,111751.35524,1.1399,121,127,-500.00
BTCX25.sim,SELL,111555.00000,111899.19933,1.4526,133,134,-500.00
BTCX25.sim,BUY,112750.00000,112214.05324,0.9329,145,154,-500.00
BTCX25.sim,BUY,112130.00000,113402.07730,0.7861,157,169,1000.00
BTCX25.sim,BUY,113740.00000,113396.25906,1.4546,178,187,-500.00
BTCX25.sim,BUY,113315.00000,112805.63499,0.9816,190,199,-500.00
BTCX25.sim,SELL,113105.00000,112208.44814,1.1154,202,208,1000.00
BTCX25.sim,SELL,112365.00000,111635.58535,1.3710,214,218,1000.00
BTCX25.sim,SELL,111040.00000,111403.71959,1.3747,230,231,-500.00
BTCX25.sim,SELL,109205.00000,108103.74225,0.9081,244,247,1000.00
BTCX25.sim,SELL,108245.00000,108862.25580,0.8100,256,266,-500.00
BTCX25.sim,SELL,110020.00000,109003.90008,0.9842,268,273,1000.00
BTCX25.sim,BUY,109635.00000,109187.37834,1.1170,280,282,-500.00
BTCX25.sim,BUY,109650.00000,109314.51290,1.4904,292,293,-500.00
BTCX25.sim,BUY,110780.00000,110352.42048,1.1694,308,321,-500.00
BTCX25.sim,BUY,110520.00000,110156.46835,1.3754,320,322,-500.00
BTCX25.sim,BUY,111485.00000,110843.29358,0.7792,332,335,-500.00
BTCX25.sim,BUY,112290.00000,111820.11696,1.0641,344,346,-500.00
BTCX25.sim,BUY,111450.00000,112160.74885,1.4070,356,366,1000.00
BTCX25.sim,BUY,112145.00000,111856.75779,1.7347,368,369,-500.00
BTCX25.sim,BUY,112725.00000,112197.14221,0.9472,380,389,-500.00
BTCX25.sim,BUY,112370.00000,112001.71481,1.3576,392,394,-500.00
BTCX25.sim,SELL,111260.00000,111598.06817,1.4790,406,410,-500.00
BTCX25.sim,SELL,110190.00000,110624.87909,1.1497,424,430,-500.00
BTCX25.sim,BUY,111015.00000,111976.96601,1.0395,436,446,1000.00
BTCX25.sim,BUY,111950.00000,112575.56116,1.5986,448,450,1000.00
BTCX25.sim,BUY,112945.00000,112601.42063,1.4553,460,461,-500.00
BTCX25.sim,SELL,111385.00000,111940.46568,0.9001,472,475,-500.00
BTCX25.sim,SELL,111125.00000,111556.78789,1.1580,484,487,-500.00
BTCX25.sim,SELL,111915.00000,112240.69750,1.5352,496,499,-500.00
BTCX25.sim,BUY,112650.00000,112338.15007,1.6033,508,509,-500.00
BTCX25.sim,BUY,112595.00000,112217.58410,1.3248,520,528,-500.00
BTCX25.sim,SELL,111645.00000,111982.84048,1.4800,533,535,-500.00
BTCX25.sim,BUY,113440.00000,113104.37125,1.4897,547,548,-500.00
BTCX25.sim,SELL,111580.00000,111950.91819,1.3480,566,571,-500.00
BTCX25.sim,SELL,111635.00000,111986.35948,1.4230,578,582,-500.00
BTCX25.sim,BUY,112800.00000,113578.20192,1.2850,591,599,1000.00
BTCX25.sim,BUY,113890.00000,114781.88150,1.1212,608,627,1000.00
BTCX25.sim,BUY,114210.00000,114907.17487,1.4344,620,633,1000.00
BTCX25.sim,BUY,114725.00000,114428.99988,1.6892,632,634,-500.00
BTCX25.sim,BUY,114655.00000,114395.24864,1.9249,644,645,-500.00
BTCX25.sim,BUY,114610.00000,115486.58903,1.1408,656,662,1000.00
BTCX25.sim,BUY,115820.00000,115423.83292,1.2621,669,682,-500.00
BTCX25.sim,BUY,115480.00000,115187.61958,1.7101,681,690,-500.00
BTCX25.sim,SELL,115540.00000,115840.52455,1.6638,693,694,-500.00
BTCX25.sim,BUY,116675.00000,116267.76350,1.2278,706,708,-500.00
BTCX25.sim,SELL,115800.00000,116121.85618,1.5535,718,720,-500.00
BTCX25.sim,SELL,115380.00000,115856.03725,1.0503,730,750,-500.00
BTCX25.sim,SELL,114970.00000,115413.47639,1.1275,742,747,-500.00
BTCX25.sim,SELL,115715.00000,116121.62988,1.2296,754,768,-500.00
BTCX25.sim,BUY,115595.00000,116294.39181,1.4298,766,769,1000.00
