symbol,side,entry,exit,size,opened_at,closed_at,pnl
US30Z25.sim,SELL,42116.00000,42411.06667,1.6945,1,7,-500.00
US30Z25.sim,BUY,42390.00000,42210.14637,2.7800,13,14,-500.00
US30Z25.sim,BUY,42408.00000,42307.40125,4.9702,25,26,-500.00
US30Z25.sim,BUY,42586.00000,42449.70020,3.6684,37,42,-500.00
US30Z25.sim,BUY,42363.00000,42641.62269,3.5891,49,80,1000.00
US30Z25.sim,SELL,42382.00000,42432.77088,9.8482,61,63,-500.00
US30Z25.sim,BUY,42515.00000,42459.98304,9.0881,73,75,-500.00
US30Z25.sim,BUY,42449.00000,42353.44336,5.2325,85,86,-500.00
US30Z25.sim,BUY,43211.00000,43146.60010,7.7640,119,122,-500.00
US30Z25.sim,BUY,43394.00000,43341.79662,9.5779,142,173,-500.00
US30Z25.sim,BUY,43420.00000,43394.88474,19.9082,159,163,-500.00
US30Z25.sim,BUY,43424.00000,43392.33300,15.7893,171,173,-500.00
US30Z25.sim,SELL,43289.00000,43347.56412,8.5377,184,199,-500.00
US30Z25.sim,SELL,43320.00000,43354.42267,14.5253,196,203,-500.00
US30Z25.sim,BUY,43401.00000,43370.65247,16.4758,209,217,-500.00
US30Z25.sim,BUY,43820.00000,43883.27024,15.8052,254,262,1000.00
US30Z25.sim,BUY,44063.00000,43977.14056,5.8235,273,274,-500.00
US30Z25.sim,BUY,44368.00000,44328.99444,12.8187,298,302,-500.00
US30Z25.sim,BUY,44367.00000,44329.34035,13.2768,310,311,-500.00
US30Z25.sim,SELL,44350.00000,44422.58552,6.8884,322,323,-500.00
US30Z25.sim,BUY,44414.00000,44373.65305,12.3925,334,335,-500.00
US30Z25.sim,BUY,44365.00000,44329.03490,13.9024,346,349,-500.00
US30Z25.sim,BUY,44796.00000,44940.72078,6.9099,372,389,1000.00
US30Z25.sim,BUY,44873.00000,44941.81600,14.5315,386,389,1000.00
US30Z25.sim,BUY,44912.00000,44876.63533,14.1384,398,399,-500.00
US30Z25.sim,SELL,44757.00000,44823.70693,7.4955,410,422,-500.00
US30Z25.sim,SELL,44799.00000,44834.28493,14.1704,422,435,-500.00
US30Z25.sim,BUY,44815.00000,44788.45261,18.8342,434,438,-500.00
US30Z25.sim,BUY,44823.00000,44885.39999,16.0256,446,447,1000.00
US30Z25.sim,BUY,45062.00000,44999.10982,7.9504,458,466,-500.00
US30Z25.sim,BUY,44969.00000,44936.65319,15.4575,470,476,-500.00
US30Z25.sim,SELL,44866.00000,44908.92043,11.6495,482,491,-500.00
US30Z25.sim,SELL,44889.00000,44930.42053,12.0713,494,506,-500.00
US30Z25.sim,BUY,44939.00000,45029.26959,11.0779,506,516,1000.00
US30Z25.sim,BUY,45017.00000,45097.69238,12.3927,518,519,1000.00
US30Z25.sim,SELL,44616.00000,44745.22500,3.8692,537,619,-500.00
US30Z25.sim,SELL,44608.00000,44674.83019,7.4816,549,557,-500.00
US30Z25.sim,SELL,44702.00000,44622.79226,12.6250,561,563,1000.00
US30Z25.sim,SELL,44612.00000,44504.89792,9.3369,573,575,1000.00
US30Z25.sim,SELL,44503.00000,44579.51090,6.5350,585,610,-500.00
US30Z25.sim,SELL,44475.00000,44515.43436,12.3657,597,605,-500.00
US30Z25.sim,SELL,44531.00000,44566.68821,14.0102,609,610,-500.00
US30Z25.sim,BUY,44539.00000,44685.40031,6.8306,621,628,1000.00
US30Z25.sim,BUY,44719.00000,44664.13239,9.1128,636,638,-500.00
US30Z25.sim,SELL,44610.00000,44639.95140,16.6937,648,657,-500.00
US30Z25.sim,BUY,44684.00000,44650.57678,14.9597,660,662,-500.00
US30Z25.sim,BUY,44907.00000,44837.88217,7.2340,677,684,-500.00
US30Z25.sim,SELL,44727.00000,44793.41134,7.5288,689,692,-500.00
US30Z25.sim,SELL,44669.00000,44551.03465,8.4771,701,704,1000.00
US30Z25.sim,SELL,44642.00000,44500.02584,7.0435,713,756,1000.00
US30Z25.sim,SELL,44556.00000,44422.33762,7.4815,725,726,1000.00
US30Z25.sim,SELL,44403.00000,44445.53754,11.7543,737,745,-500.00
US30Z25.sim,SELL,44462.00000,44514.00367,9.6147,749,756,-500.00
US30Z25.sim,BUY,44609.00000,44759.64371,6.6382,761,779,1000.00
US30Z25.sim,BUY,44627.00000,44720.59014,10.6849,773,779,1000.00
US30Z25.sim,BUY,44696.00000,44645.04919,9.8134,785,792,-500.00
US30Z25.sim,BUY,44686.00000,44640.60139,11.0136,797,799,-500.00
US30Z25.sim,SELL,44182.00000,44111.56933,14.1984,830,836,1000.00
US30Z25.sim,SELL,44268.00000,44308.64030,12.3031,842,844,-500.00
US30Z25.sim,BUY,44258.00000,44537.60961,3.5764,854,895,1000.00
US30Z25.sim,BUY,44384.00000,44507.05167,8.1267,866,895,1000.00
US30Z25.sim,BUY,44402.00000,44458.73756,17.6250,878,880,1000.00
US30Z25.sim,BUY,44378.00000,44460.82898,12.0731,890,893,1000.00
US30Z25.sim,BUY,44618.00000,44790.64290,5.7923,902,913,1000.00
US30Z25.sim,BUY,44790.00000,44756.24946,14.8146,928,934,-500.00
US30Z25.sim,BUY,44789.00000,44745.66739,11.5387,940,941,-500.00
US30Z25.sim,SELL,44522.00000,44592.43871,7.0984,952,959,-500.00
US30Z25.sim,SELL,44583.00000,44616.28734,15.0207,964,972,-500.00
US30Z25.sim,BUY,44667.00000,44633.52749,14.9376,976,981,-500.00
US30Z25.sim,BUY,44766.00000,44717.34624,10.2767,995,997,-500.00
US30Z25.sim,SELL,44604.00000,44530.04964,13.5226,1007,1021,1000.00
US30Z25.sim,SELL,44568.00000,44521.29404,21.4105,1020,1021,1000.00
US30Z25.sim,SELL,44491.00000,44534.27140,11.5550,1032,1033,-500.00
US30Z25.sim,BUY,44692.00000,44835.02525,6.9918,1044,1051,1000.00
