symbol,side,entry,exit,size,opened_at,closed_at,pnl
US500Z25.sim,SELL,5974.50000,5997.63333,21.6138,1,3,-500.00
US500Z25.sim,BUY,6111.50000,6184.93990,13.6166,13,28,1000.00
US500Z25.sim,BUY,6239.75000,6278.71292,25.6654,51,53,1000.00
US500Z25.sim,BUY,6284.55000,6266.44980,27.6240,63,69,-500.00
US500Z25.sim,BUY,6275.15000,6315.71299,24.6530,75,87,1000.00
US500Z25.sim,BUY,6292.25000,6269.55919,22.0354,89,95,-500.00
US500Z25.sim,BUY,6302.60000,6338.69215,27.7069,101,104,1000.00
US500Z25.sim,BUY,6296.50000,6344.74216,20.7288,113,118,1000.00
US500Z25.sim,BUY,6341.75000,6324.23853,28.5527,125,135,-500.00
US500Z25.sim,BUY,6350.60000,6387.75359,26.9153,137,142,1000.00
US500Z25.sim,BUY,6422.25000,6406.95932,32.6997,159,165,-500.00
US500Z25.sim,BUY,6417.00000,6402.45058,34.3656,171,172,-500.00
US500Z25.sim,SELL,6305.75000,6338.96684,15.0526,187,189,-500.00
US500Z25.sim,SELL,6345.40000,6370.88123,19.6223,199,201,-500.00
US500Z25.sim,BUY,6380.15000,6430.70607,19.7800,211,219,1000.00
US500Z25.sim,BUY,6402.05000,6440.67517,25.8899,223,224,1000.00
US500Z25.sim,BUY,6465.30000,6506.51533,24.2628,236,241,1000.00
US500Z25.sim,BUY,6466.50000,6448.75442,28.1760,248,255,-500.00
US500Z25.sim,SELL,6426.75000,6392.18352,28.9298,260,261,1000.00
US500Z25.sim,SELL,6399.90000,6421.57987,23.0629,272,273,-500.00
US500Z25.sim,BUY,6450.50000,6490.75382,24.8424,284,291,1000.00
US500Z25.sim,BUY,6498.55000,6480.09878,27.0985,296,303,-500.00
US500Z25.sim,BUY,6474.00000,6453.65756,24.5792,308,312,-500.00
US500Z25.sim,SELL,6439.75000,6466.58805,18.6303,320,322,-500.00
US500Z25.sim,BUY,6483.25000,6542.63526,16.8392,332,348,1000.00
US500Z25.sim,BUY,6507.50000,6543.96101,27.4266,344,349,1000.00
US500Z25.sim,BUY,6665.40000,6651.99120,37.2889,377,380,-500.00
US500Z25.sim,BUY,6698.55000,6745.13762,21.4649,389,398,1000.00
US500Z25.sim,BUY,6734.10000,6717.50463,30.1289,404,405,-500.00
US500Z25.sim,SELL,6662.75000,6687.90176,19.8793,417,421,-500.00
US500Z25.sim,BUY,6709.00000,6687.93894,23.7405,429,438,-500.00
US500Z25.sim,BUY,6758.25000,6802.19120,22.7577,446,464,1000.00
US500Z25.sim,BUY,6789.25000,6769.31163,25.0773,458,464,-500.00
US500Z25.sim,BUY,6798.50000,6778.42446,24.9059,470,476,-500.00
US500Z25.sim,SELL,6677.50000,6736.78552,8.4338,484,499,-500.00
US500Z25.sim,SELL,6695.05000,6746.12772,9.7890,496,500,-500.00
US500Z25.sim,SELL,6651.13000,6695.66378,11.2274,508,512,-500.00
US500Z25.sim,BUY,6781.50000,6749.79079,15.7683,520,530,-500.00
US500Z25.sim,BUY,6736.60000,6800.08957,15.7506,532,541,1000.00
US500Z25.sim,BUY,6913.93000,6885.18410,17.3938,563,566,-500.00
US500Z25.sim,BUY,6884.53000,6854.11462,16.4391,575,578,-500.00
US500Z25.sim,SELL,6788.58000,6826.26051,13.2695,587,590,-500.00
US500Z25.sim,SELL,6764.08000,6685.96931,12.8023,599,602,1000.00
