symbol,side,entry,exit,size,opened_at,closed_at,pnl
USOILZ25.sim,SELL,62.44000,61.86267,1732.1016,1,5,1000.00
USOILZ25.sim,SELL,62.86000,61.87841,1018.7600,13,20,1000.00
USOILZ25.sim,SELL,62.34500,62.92706,859.0131,25,26,-500.00
USOILZ25.sim,BUY,62.77400,63.87408,909.0272,37,49,1000.00
USOILZ25.sim,BUY,63.57300,64.49034,1090.1031,49,55,1000.00
USOILZ25.sim,BUY,63.30400,64.32663,977.8708,61,74,1000.00
USOILZ25.sim,BUY,63.53500,64.46473,1075.5841,73,74,1000.00
USOILZ25.sim,BUY,64.65300,65.48628,1200.0707,85,89,1000.00
USOILZ25.sim,BUY,63.95500,63.28471,745.9428,97,101,-500.00
USOILZ25.sim,SELL,62.56000,63.18405,801.2119,112,114,-500.00
USOILZ25.sim,SELL,63.26000,63.75063,1019.1010,124,127,-500.00
USOILZ25.sim,SELL,62.05000,62.55062,998.7531,137,138,-500.00
USOILZ25.sim,SELL,62.68000,63.11468,1150.2732,149,150,-500.00
USOILZ25.sim,BUY,63.82800,63.33486,1013.9064,161,162,-500.00
USOILZ25.sim,SELL,62.45100,62.93362,1036.0200,173,180,-500.00
USOILZ25.sim,BUY,63.39200,64.40354,988.5925,185,186,1000.00
USOILZ25.sim,BUY,65.16000,64.53898,805.1257,200,204,-500.00
USOILZ25.sim,SELL,62.58900,61.42317,857.7580,214,217,1000.00
USOILZ25.sim,SELL,61.34000,61.90028,892.4153,227,233,-500.00
USOILZ25.sim,SELL,61.47800,62.01412,932.6298,239,242,-500.00
USOILZ25.sim,BUY,62.69100,62.16478,950.1641,251,252,-500.00
USOILZ25.sim,SELL,58.80200,57.61971,845.8172,270,277,1000.00
USOILZ25.sim,SELL,57.15700,57.80790,768.1626,282,295,-500.00
USOILZ25.sim,SELL,57.44700,58.00694,892.9540,294,295,-500.00
USOILZ25.sim,BUY,60.69600,59.95889,678.3225,317,323,-500.00
USOILZ25.sim,BUY,59.72500,61.00410,781.7986,329,331,1000.00
USOILZ25.sim,SELL,60.17300,60.68465,977.2339,341,342,-500.00
USOILZ25.sim,BUY,60.12700,59.57810,910.9075,353,362,-500.00
USOILZ25.sim,SELL,60.09200,58.87686,822.9494,365,367,1000.00
