symbol,side,entry,exit,size,opened_at,closed_at,pnl
USOILZ25.sim,SELL,62.67000,62.90533,2124.6459,1,5,-500.00
USOILZ25.sim,SELL,62.48000,62.11004,2703.0312,13,17,1000.00
USOILZ25.sim,SELL,62.34000,62.45573,4320.3216,27,29,-500.00
USOILZ25.sim,SELL,62.21000,62.42339,2343.1504,39,46,-500.00
USOILZ25.sim,SELL,61.69000,61.97863,1732.3060,51,56,-500.00
USOILZ25.sim,SELL,61.96000,62.14554,2694.9090,63,71,-500.00
USOILZ25.sim,BUY,62.11000,62.00590,4802.8732,75,83,-500.00
USOILZ25.sim,BUY,62.11000,61.93071,2788.7793,87,88,-500.00
USOILZ25.sim,BUY,62.86000,62.59447,1883.0303,100,127,-500.00
USOILZ25.sim,BUY,63.02000,62.88871,3808.2226,112,116,-500.00
USOILZ25.sim,BUY,62.90000,62.77651,4048.9908,124,125,-500.00
USOILZ25.sim,SELL,62.75000,62.35053,2503.2970,136,139,1000.00
USOILZ25.sim,SELL,62.20000,61.75917,2268.4569,148,155,1000.00
USOILZ25.sim,SELL,61.94400,62.14403,2499.5878,160,171,-500.00
USOILZ25.sim,SELL,62.27400,61.93540,2953.2949,172,174,1000.00
USOILZ25.sim,BUY,62.09400,61.86981,2230.2075,184,185,-500.00
USOILZ25.sim,BUY,62.64400,62.37079,1830.0641,196,201,-500.00
USOILZ25.sim,BUY,62.36400,62.20915,3228.9211,208,213,-500.00
USOILZ25.sim,SELL,62.12400,61.82002,3289.6636,220,226,1000.00
USOILZ25.sim,SELL,61.96400,62.20244,2096.9947,232,233,-500.00
USOILZ25.sim,SELL,61.86300,62.06239,2507.6908,244,248,-500.00
USOILZ25.sim,SELL,61.87300,61.98256,4563.6513,256,260,-500.00
USOILZ25.sim,BUY,62.20500,62.59224,2582.3917,270,274,1000.00
USOILZ25.sim,BUY,62.83300,62.53656,1686.6928,282,287,-500.00
USOILZ25.sim,BUY,62.87400,63.17343,3339.7018,294,309,1000.00
USOILZ25.sim,BUY,63.01400,63.22351,4772.9607,306,310,1000.00
USOILZ25.sim,BUY,63.22400,63.07293,3309.6544,318,320,-500.00
USOILZ25.sim,BUY,63.43500,63.95239,1932.7661,330,406,1000.00
USOILZ25.sim,BUY,63.46300,63.36551,5128.6560,342,345,-500.00
USOILZ25.sim,BUY,63.58400,63.43942,3458.3848,358,360,-500.00
USOILZ25.sim,BUY,63.63400,63.43679,2535.3478,370,373,-500.00
USOILZ25.sim,BUY,63.78500,63.60364,2756.9861,382,392,-500.00
USOILZ25.sim,BUY,63.69300,63.96114,3729.3351,394,406,1000.00
USOILZ25.sim,BUY,63.94300,63.79085,3286.1435,406,407,-500.00
USOILZ25.sim,BUY,64.65300,64.48812,3032.5747,427,436,-500.00
USOILZ25.sim,BUY,64.42300,64.31824,4773.0341,439,447,-500.00
USOILZ25.sim,SELL,63.83500,64.00521,2937.5233,462,463,-500.00
USOILZ25.sim,SELL,63.32500,63.01533,3229.2732,475,493,1000.00
USOILZ25.sim,SELL,63.27400,63.06358,4752.2967,487,493,1000.00
USOILZ25.sim,SELL,62.98500,63.14612,3103.2750,499,500,-500.00
USOILZ25.sim,BUY,63.54300,64.04856,1977.9868,511,517,1000.00
USOILZ25.sim,BUY,63.76300,63.61228,3317.4199,523,532,-500.00
