symbol,side,entry,exit,size,opened_at,closed_at,pnl
XAUZ25.sim,SELL,3389.00000,3394.44000,91.9118,1,3,-500.00
XAUZ25.sim,BUY,3400.90000,3395.29918,89.2726,13,14,-500.00
XAUZ25.sim,BUY,3393.80000,3384.72555,55.0998,25,32,-500.00
XAUZ25.sim,SELL,3377.70000,3387.33544,51.8918,38,39,-500.00
XAUZ25.sim,BUY,3397.70000,3411.42077,72.8822,50,57,1000.00
XAUZ25.sim,BUY,3415.70000,3408.38858,68.3862,62,67,-500.00
XAUZ25.sim,SELL,3347.04000,3357.16626,49.3766,77,82,-500.00
XAUZ25.sim,SELL,3348.76000,3358.80004,49.8006,89,110,-500.00
XAUZ25.sim,SELL,3341.64000,3349.45217,64.0027,101,103,-500.00
XAUZ25.sim,BUY,3408.65000,3425.47169,59.4471,128,134,1000.00
XAUZ25.sim,BUY,3428.16000,3421.24386,72.2946,141,149,-500.00
XAUZ25.sim,BUY,3413.46000,3406.58946,72.7745,153,155,-500.00
XAUZ25.sim,BUY,3433.73000,3427.16607,76.1739,165,171,-500.00
XAUZ25.sim,SELL,3418.53000,3425.80584,68.7206,177,180,-500.00
XAUZ25.sim,BUY,3435.73000,3448.22038,80.0616,189,196,1000.00
XAUZ25.sim,BUY,3451.56000,3440.78043,46.3840,201,204,-500.00
XAUZ25.sim,BUY,3487.83000,3471.48272,30.5861,214,223,-500.00
XAUZ25.sim,BUY,3494.64000,3477.05586,28.4347,226,227,-500.00
XAUZ25.sim,SELL,3438.77000,3416.47449,44.8521,241,243,1000.00
XAUZ25.sim,SELL,3409.24000,3385.27114,41.7208,253,270,1000.00
XAUZ25.sim,SELL,3394.93000,3403.41566,58.9230,265,266,-500.00
XAUZ25.sim,SELL,3399.06000,3409.78869,46.6040,277,289,-500.00
XAUZ25.sim,SELL,3403.49000,3410.76714,68.7083,289,290,-500.00
XAUZ25.sim,BUY,3408.07000,3422.70069,68.3495,301,305,1000.00
XAUZ25.sim,SELL,3393.47000,3402.16768,57.4866,313,314,-500.00
XAUZ25.sim,SELL,3382.34000,3390.31549,62.6921,325,331,-500.00
XAUZ25.sim,SELL,3389.35000,3376.11648,75.5657,337,350,1000.00
XAUZ25.sim,SELL,3378.95000,3367.74718,89.2633,349,350,1000.00
XAUZ25.sim,BUY,3392.34000,3385.33206,71.3476,361,364,-500.00
XAUZ25.sim,SELL,3375.96000,3380.31538,114.8005,373,374,-500.00
XAUZ25.sim,SELL,3384.34000,3373.81481,95.0102,385,387,1000.00
XAUZ25.sim,SELL,3359.75000,3364.92080,96.6968,400,402,-500.00
XAUZ25.sim,BUY,3384.23000,3376.84348,67.6909,412,426,-500.00
XAUZ25.sim,BUY,3380.77000,3375.95018,103.7382,424,430,-500.00
XAUZ25.sim,BUY,3383.66000,3375.61842,62.1768,436,445,-500.00
XAUZ25.sim,SELL,3372.95000,3377.63922,106.6275,448,450,-500.00
XAUZ25.sim,BUY,3410.04000,3403.03195,71.3466,466,488,-500.00
XAUZ25.sim,BUY,3408.83000,3419.85294,90.7199,478,481,1000.00
XAUZ25.sim,BUY,3424.36000,3414.18613,49.1455,490,496,-500.00
XAUZ25.sim,BUY,3422.07000,3439.66098,56.8473,502,509,1000.00
XAUZ25.sim,BUY,3433.56000,3427.50680,82.6009,514,516,-500.00
XAUZ25.sim,BUY,3435.47000,3450.15188,68.1112,526,528,1000.00
