symbol,side,entry,exit,size,opened_at,closed_at,pnl
XAUZ25.sim,SELL,3385.80000,3388.78667,167.4107,1,3,-500.00
XAUZ25.sim,BUY,3399.30000,3395.27382,124.1872,13,29,-500.00
XAUZ25.sim,BUY,3397.90000,3394.33723,140.3401,25,29,-500.00
XAUZ25.sim,BUY,3410.50000,3395.69678,33.7764,37,51,-500.00
XAUZ25.sim,BUY,3401.80000,3396.18258,89.0088,49,51,-500.00
XAUZ25.sim,SELL,3398.50000,3389.09509,106.3275,61,63,1000.00
XAUZ25.sim,SELL,3384.10000,3372.89612,89.2548,73,75,1000.00
XAUZ25.sim,BUY,3397.30000,3391.14308,81.2095,85,92,-500.00
XAUZ25.sim,BUY,3398.10000,3393.59511,110.9905,97,105,-500.00
XAUZ25.sim,BUY,3408.10000,3418.13525,99.6487,110,117,1000.00
XAUZ25.sim,BUY,3414.70000,3409.07190,88.8399,122,133,-500.00
XAUZ25.sim,BUY,3410.50000,3406.48276,124.4636,134,219,-500.00
XAUZ25.sim,SELL,3343.63000,3350.66100,71.1137,150,158,-500.00
XAUZ25.sim,SELL,3355.97000,3362.13229,81.1387,162,163,-500.00
XAUZ25.sim,BUY,3353.56000,3346.71767,73.0745,174,176,-500.00
XAUZ25.sim,SELL,3344.26000,3334.06170,98.0555,186,196,1000.00
XAUZ25.sim,SELL,3341.64000,3347.26691,88.8587,198,199,-500.00
XAUZ25.sim,SELL,3345.06000,3350.37651,94.0467,210,214,-500.00
XAUZ25.sim,BUY,3408.33000,3402.17833,81.2788,239,241,-500.00
XAUZ25.sim,BUY,3406.47000,3415.69842,108.3610,251,261,1000.00
XAUZ25.sim,BUY,3416.36000,3428.30587,83.7110,263,265,1000.00
XAUZ25.sim,BUY,3430.36000,3425.04878,94.1404,275,294,-500.00
XAUZ25.sim,BUY,3433.23000,3429.65769,139.9655,287,290,-500.00
XAUZ25.sim,SELL,3428.26000,3419.22403,110.6688,299,303,1000.00
XAUZ25.sim,SELL,3424.45000,3430.37633,84.3692,311,312,-500.00
XAUZ25.sim,BUY,3433.56000,3428.49594,98.7351,323,334,-500.00
XAUZ25.sim,BUY,3430.44000,3425.85585,109.0715,335,341,-500.00
XAUZ25.sim,SELL,3420.95000,3426.54668,89.3386,347,358,-500.00
XAUZ25.sim,SELL,3431.84000,3438.19910,78.6275,359,377,-500.00
XAUZ25.sim,BUY,3431.75000,3441.10034,106.9480,371,377,1000.00
XAUZ25.sim,BUY,3440.33000,3449.70886,106.6228,383,389,1000.00
XAUZ25.sim,BUY,3452.27000,3443.99723,60.4392,395,398,-500.00
XAUZ25.sim,BUY,3447.83000,3466.92304,52.3751,407,416,1000.00
XAUZ25.sim,BUY,3487.83000,3474.82097,38.4348,426,443,-500.00
XAUZ25.sim,BUY,3492.44000,3482.27618,49.1941,438,440,-500.00
XAUZ25.sim,BUY,3494.64000,3480.82197,36.1846,450,451,-500.00
XAUZ25.sim,SELL,3456.45000,3431.13659,39.5047,462,471,1000.00
XAUZ25.sim,SELL,3411.56000,3393.36092,54.9478,494,510,1000.00
XAUZ25.sim,SELL,3406.23000,3392.10134,70.7781,506,527,1000.00
XAUZ25.sim,SELL,3401.15000,3406.86318,87.5170,518,530,-500.00
XAUZ25.sim,SELL,3404.53000,3391.68762,77.8672,530,537,1000.00
XAUZ25.sim,SELL,3395.14000,3405.63865,47.6252,542,545,-500.00
XAUZ25.sim,BUY,3398.96000,3392.69307,79.7838,554,562,-500.00
XAUZ25.sim,BUY,3401.76000,3396.42013,93.6352,566,572,-500.00
XAUZ25.sim,BUY,3409.49000,3420.82900,88.1912,578,589,1000.00
XAUZ25.sim,BUY,3413.68000,3407.18907,77.0305,590,591,-500.00
XAUZ25.sim,SELL,3407.06000,3410.98456,127.4029,602,606,-500.00
XAUZ25.sim,BUY,3409.24000,3404.04747,96.2922,614,619,-500.00
XAUZ25.sim,SELL,3404.76000,3390.13925,68.3959,626,635,1000.00
XAUZ25.sim,SELL,3383.85000,3391.05802,69.3672,642,660,-500.00
XAUZ25.sim,SELL,3382.76000,3386.64319,128.7600,654,659,-500.00
XAUZ25.sim,SELL,3386.24000,3390.21083,125.9181,666,667,-500.00
XAUZ25.sim,SELL,3389.15000,3377.78815,88.0139,678,695,1000.00
XAUZ25.sim,SELL,3381.74000,3373.15300,116.4551,690,697,1000.00
XAUZ25.sim,SELL,3392.37000,3398.10213,87.2276,702,707,-500.00
XAUZ25.sim,BUY,3393.97000,3388.55246,92.2928,714,724,-500.00
XAUZ25.sim,SELL,3382.63000,3372.85996,102.3537,726,745,1000.00
XAUZ25.sim,SELL,3378.25000,3381.57766,150.2556,738,745,-500.00
XAUZ25.sim,SELL,3381.26000,3385.88901,108.0145,750,759,-500.00
XAUZ25.sim,BUY,3382.33000,3378.21840,121.6070,762,771,-500.00
XAUZ25.sim,SELL,3357.17000,3361.17940,124.7070,794,799,-500.00
XAUZ25.sim,BUY,3367.53000,3363.80889,134.3686,806,808,-500.00
XAUZ25.sim,BUY,3384.23000,3378.68746,90.2114,822,849,-500.00
XAUZ25.sim,BUY,3390.47000,3387.47394,166.8856,835,837,-500.00
XAUZ25.sim,SELL,3381.03000,3384.14824,160.3469,847,856,-500.00
XAUZ25.sim,SELL,3373.57000,3378.51186,101.1764,859,861,-500.00
XAUZ25.sim,BUY,3381.67000,3375.79475,85.1028,871,888,-500.00
XAUZ25.sim,SELL,3381.07000,3375.27532,172.5722,883,889,1000.00
XAUZ25.sim,SELL,3371.75000,3375.08224,150.0492,896,897,-500.00
XAUZ25.sim,SELL,3370.75000,3375.16878,113.1535,909,910,-500.00
XAUZ25.sim,BUY,3412.84000,3408.34340,111.1952,925,932,-500.00
XAUZ25.sim,BUY,3409.86000,3406.32563,141.4680,937,955,-500.00
XAUZ25.sim,BUY,3409.24000,3416.13392,145.0553,949,952,1000.00
XAUZ25.sim,BUY,3417.16000,3413.34756,131.1497,961,967,-500.00
