ts,ticket,symbol,side,volume,entry,close,realized_quote,realized_ccy,reason
2025-08-25 22:30:00+00:00,1,BTCX25.sim,BUY,0.10,112760.00000,112126.92498,-63.31,-63.31,bt_sl
2025-08-26 16:30:00+00:00,2,BTCX25.sim,BUY,0.10,110780.00000,110324.98418,-45.50,-45.50,bt_sl
2025-08-26 19:00:00+00:00,3,BTCX25.sim,BUY,0.10,110765.00000,110212.68813,-55.23,-55.23,bt_sl
2025-08-26 21:30:00+00:00,4,BTCX25.sim,BUY,0.10,110505.00000,111574.21126,106.92,106.92,bt_tp
2025-08-27 11:00:00+00:00,5,BTCX25.sim,SELL,0.10,112215.00000,111365.34909,84.97,84.97,bt_tp
2025-08-27 13:00:00+00:00,6,BTCX25.sim,BUY,0.10,111325.00000,111994.46995,66.95,66.95,bt_tp
2025-08-27 16:30:00+00:00,7,BTCX25.sim,BUY,0.10,111775.00000,112496.94550,72.19,72.19,bt_tp
2025-08-27 17:30:00+00:00,8,BTCX25.sim,BUY,0.10,112245.00000,113058.30659,81.33,81.33,bt_tp
2025-08-27 23:00:00+00:00,9,BTCX25.sim,BUY,0.10,112555.00000,112006.13597,-54.89,-54.89,bt_sl
2025-08-28 18:00:00+00:00,10,BTCX25.sim,BUY,0.10,113745.00000,113263.65387,-48.13,-48.13,bt_sl
2025-08-28 22:30:00+00:00,11,BTCX25.sim,SELL,0.10,113785.00000,112752.70944,103.23,103.23,bt_tp
2025-08-29 09:00:00+00:00,12,BTCX25.sim,SELL,0.10,112365.00000,111635.58535,72.94,72.94,bt_tp
2025-08-29 10:00:00+00:00,13,BTCX25.sim,SELL,0.10,111630.00000,110935.55354,69.44,69.44,bt_tp
2025-08-29 15:30:00+00:00,14,BTCX25.sim,SELL,0.10,110790.00000,111249.29211,-45.93,-45.93,bt_sl
2025-08-29 23:00:00+00:00,15,BTCX25.sim,SELL,0.10,109640.00000,108387.21070,125.28,125.28,bt_tp
2025-09-01 10:30:00+00:00,16,BTCX25.sim,BUY,0.10,108005.00000,109043.46175,103.85,103.85,bt_tp
2025-09-01 13:00:00+00:00,17,BTCX25.sim,BUY,0.10,110025.00000,109502.63466,-52.24,-52.24,bt_sl
2025-09-02 01:00:00+00:00,18,BTCX25.sim,BUY,0.10,109140.00000,108622.46635,-51.75,-51.75,bt_sl
2025-09-02 14:30:00+00:00,19,BTCX25.sim,BUY,0.10,110780.00000,110352.42048,-42.76,-42.76,bt_sl
2025-09-02 15:30:00+00:00,20,BTCX25.sim,SELL,0.10,110375.00000,109639.54514,73.55,73.55,bt_tp
2025-09-02 16:30:00+00:00,21,BTCX25.sim,BUY,0.10,109985.00000,111063.00128,107.80,107.80,bt_tp
2025-09-03 17:30:00+00:00,22,BTCX25.sim,SELL,0.10,112110.00000,112878.58270,-76.86,-76.86,bt_sl
2025-09-04 06:30:00+00:00,23,BTCX25.sim,SELL,0.10,112915.00000,111778.38501,113.66,113.66,bt_tp
2025-09-04 13:00:00+00:00,24,BTCX25.sim,BUY,0.10,110805.00000,111490.63502,68.56,68.56,bt_tp
2025-09-04 14:00:00+00:00,25,BTCX25.sim,BUY,0.10,111330.00000,111020.23180,-30.98,-30.98,bt_sl
2025-09-04 15:30:00+00:00,26,BTCX25.sim,BUY,0.10,111400.00000,111047.64078,-35.24,-35.24,bt_sl
2025-09-04 23:00:00+00:00,27,BTCX25.sim,SELL,0.10,110345.00000,110827.60804,-48.26,-48.26,bt_sl
2025-09-05 10:00:00+00:00,28,BTCX25.sim,BUY,0.10,111650.00000,112420.43990,77.04,77.04,bt_tp
2025-09-05 15:30:00+00:00,29,BTCX25.sim,SELL,0.10,113110.00000,113529.28853,-41.93,-41.93,bt_sl
2025-09-05 17:00:00+00:00,30,BTCX25.sim,SELL,0.10,113645.00000,112674.79575,97.02,97.02,bt_tp
2025-09-05 23:00:00+00:00,31,BTCX25.sim,SELL,0.10,111290.00000,112038.44129,-74.84,-74.84,bt_sl
2025-09-08 11:30:00+00:00,32,BTCX25.sim,BUY,0.10,111320.00000,112068.87081,74.89,74.89,bt_tp
2025-09-08 16:00:00+00:00,33,BTCX25.sim,BUY,0.10,112060.00000,112760.13475,70.01,70.01,bt_tp
2025-09-08 16:30:00+00:00,34,BTCX25.sim,BUY,0.10,112650.00000,112338.15007,-31.18,-31.18,bt_sl
2025-09-08 17:30:00+00:00,35,BTCX25.sim,BUY,0.10,112280.00000,112964.53988,68.45,68.45,bt_tp
2025-09-09 03:00:00+00:00,36,BTCX25.sim,SELL,0.10,113090.00000,112303.47893,78.65,78.65,bt_tp
