ts,ticket,symbol,side,volume,entry,close,realized_quote,realized_ccy,reason
1755882000,1,BTCX25.sim,SELL,0.5007,113210.00000,114208.66667,-500.00,-500.00,BACKTEST
1756112400,2,BTCX25.sim,BUY,0.4372,114170.00000,113026.31667,-500.00,-500.00,BACKTEST
1756162800,3,BTCX25.sim,SELL,0.5702,113075.00000,111321.33617,1000.00,1000.00,BACKTEST
1756220400,4,BTCX25.sim,SELL,0.5554,110690.00000,111590.18032,-500.00,-500.00,BACKTEST
1756242000,5,BTCX25.sim,SELL,0.6299,110415.00000,111208.81146,-500.00,-500.00,BACKTEST
1756288800,6,BTCX25.sim,BUY,0.8201,112315.00000,111705.33368,-500.00,-500.00,BACKTEST
1756335600,7,BTCX25.sim,BUY,0.7405,112855.00000,112179.81023,-500.00,-500.00,BACKTEST
1756418400,8,BTCX25.sim,BUY,0.7021,113635.00000,112922.83383,-500.00,-500.00,BACKTEST
1756440000,9,BTCX25.sim,BUY,0.7670,113190.00000,112538.13316,-500.00,-500.00,BACKTEST
1756461600,10,BTCX25.sim,SELL,0.9131,111915.00000,110819.85963,1000.00,1000.00,BACKTEST
1756724400,11,BTCX25.sim,SELL,0.5639,109395.00000,110281.68521,-500.00,-500.00,BACKTEST
1756742400,12,BTCX25.sim,SELL,0.6149,109140.00000,109953.08695,-500.00,-500.00,BACKTEST
1756789200,13,BTCX25.sim,SELL,0.6764,109850.00000,110589.17229,-500.00,-500.00,BACKTEST
1756825200,14,BTCX25.sim,BUY,0.8631,110375.00000,109795.68540,-500.00,-500.00,BACKTEST
1756886400,15,BTCX25.sim,BUY,0.7325,112000.00000,111317.43398,-500.00,-500.00,BACKTEST
1756918800,16,BTCX25.sim,BUY,0.9348,111750.00000,112819.78599,1000.00,1000.00,BACKTEST
1756962000,17,BTCX25.sim,BUY,0.8805,112545.00000,111977.11542,-500.00,-500.00,BACKTEST
1757008800,18,BTCX25.sim,SELL,0.9027,110920.00000,109812.17584,1000.00,1000.00,BACKTEST
1757066400,19,BTCX25.sim,SELL,0.7332,111715.00000,112396.89928,-500.00,-500.00,BACKTEST
1757347200,20,BTCX25.sim,BUY,0.5347,110830.00000,112700.26527,1000.00,1000.00,BACKTEST
1757329200,21,BTCX25.sim,SELL,0.8115,111450.00000,112066.16779,-500.00,-500.00,BACKTEST
1757361600,22,BTCX25.sim,BUY,0.9364,113070.00000,112536.02804,-500.00,-500.00,BACKTEST
1757408400,23,BTCX25.sim,BUY,0.9786,112395.00000,113416.83653,1000.00,1000.00,BACKTEST
1757466000,24,BTCX25.sim,SELL,0.7436,111205.00000,111877.44261,-500.00,-500.00,BACKTEST
1757498400,25,BTCX25.sim,SELL,1.1216,111945.00000,112390.80063,-500.00,-500.00,BACKTEST
1757638800,26,BTCX25.sim,BUY,0.8321,114005.00000,115206.80398,1000.00,1000.00,BACKTEST
1757602800,27,BTCX25.sim,BUY,1.1208,114490.00000,114043.89472,-500.00,-500.00,BACKTEST
1757646000,28,BTCX25.sim,BUY,0.8871,114855.00000,115982.31473,1000.00,1000.00,BACKTEST
1757707200,29,BTCX25.sim,BUY,1.0365,115435.00000,116399.79003,1000.00,1000.00,BACKTEST
1757901600,30,BTCX25.sim,BUY,0.9264,116525.00000,115985.25620,-500.00,-500.00,BACKTEST
1757970000,31,BTCX25.sim,SELL,0.8305,115085.00000,115687.08139,-500.00,-500.00,BACKTEST
1758009600,32,BTCX25.sim,SELL,0.9998,115680.00000,116180.12413,-500.00,-500.00,BACKTEST
1758038400,33,BTCX25.sim,BUY,1.2489,115515.00000,115114.66295,-500.00,-500.00,BACKTEST
1758092400,34,BTCX25.sim,BUY,1.0952,116910.00000,116453.47148,-500.00,-500.00,BACKTEST
1758128400,35,BTCX25.sim,BUY,1.2012,116400.00000,115983.74534,-500.00,-500.00,BACKTEST
1758175200,36,BTCX25.sim,SELL,0.6924,116880.00000,117602.08521,-500.00,-500.00,BACKTEST
1758294000,37,BTCX25.sim,BUY,0.9900,117715.00000,117209.97052,-500.00,-500.00,BACKTEST
1758272400,38,BTCX25.sim,BUY,0.9997,118225.00000,117724.84258,-500.00,-500.00,BACKTEST
1758510000,39,BTCX25.sim,SELL,1.0941,116855.00000,115940.97019,1000.00,1000.00,BACKTEST
1758528000,40,BTCX25.sim,SELL,0.9766,115565.00000,114541.08085,1000.00,1000.00,BACKTEST
1758607200,41,BTCX25.sim,SELL,0.8010,113735.00000,112486.57141,1000.00,1000.00,BACKTEST
1758657600,42,BTCX25.sim,SELL,0.9992,113885.00000,112884.21975,1000.00,1000.00,BACKTEST
1758697200,43,BTCX25.sim,SELL,0.9726,112975.00000,111946.83455,1000.00,1000.00,BACKTEST
1758733200,44,BTCX25.sim,SELL,1.0791,113835.00000,114298.35011,-500.00,-500.00,BACKTEST
1758772800,45,BTCX25.sim,BUY,1.1191,114185.00000,113738.22614,-500.00,-500.00,BACKTEST
1758830400,46,BTCX25.sim,SELL,0.7558,112270.00000,110946.83740,1000.00,1000.00,BACKTEST
