ts,ticket,symbol,side,volume,entry,close,realized_quote,realized_ccy,reason
1750640400,1,US100Z25.sim,SELL,11.5296,21702.50000,21745.86667,-500.00,-500.00,BACKTEST
1750428000,2,US100Z25.sim,BUY,9.9496,21899.50000,22000.00631,1000.00,1000.00,BACKTEST
1750698000,3,US100Z25.sim,BUY,4.3477,21758.25000,21988.25617,1000.00,1000.00,BACKTEST
1750687200,4,US100Z25.sim,BUY,7.7480,21857.25000,21792.71762,-500.00,-500.00,BACKTEST
1750791600,5,US100Z25.sim,BUY,8.1772,22285.25000,22407.54194,1000.00,1000.00,BACKTEST
1750881600,6,US100Z25.sim,BUY,11.5957,22443.35000,22400.23047,-500.00,-500.00,BACKTEST
1750964400,7,US100Z25.sim,BUY,11.7582,22543.00000,22628.04669,1000.00,1000.00,BACKTEST
1751040000,8,US100Z25.sim,BUY,14.1826,22731.25000,22695.99558,-500.00,-500.00,BACKTEST
1751382000,9,US100Z25.sim,BUY,8.3336,22821.75000,22761.75160,-500.00,-500.00,BACKTEST
1751320800,10,US100Z25.sim,BUY,10.9842,22826.30000,22917.33976,1000.00,1000.00,BACKTEST
1751360400,11,US100Z25.sim,BUY,11.6404,22877.75000,22834.79608,-500.00,-500.00,BACKTEST
1751468400,12,US100Z25.sim,SELL,7.0932,22742.00000,22601.01967,1000.00,1000.00,BACKTEST
1751461200,13,US100Z25.sim,SELL,12.4502,22768.25000,22687.92972,1000.00,1000.00,BACKTEST
1751558400,14,US100Z25.sim,BUY,8.5741,22824.85000,22941.48029,1000.00,1000.00,BACKTEST
1751554800,15,US100Z25.sim,BUY,15.9146,22853.25000,22916.08519,1000.00,1000.00,BACKTEST
1751623200,16,US100Z25.sim,BUY,13.8811,23014.25000,22978.22992,-500.00,-500.00,BACKTEST
1751850000,17,US100Z25.sim,SELL,12.9785,22935.75000,22974.27527,-500.00,-500.00,BACKTEST
1751886000,18,US100Z25.sim,BUY,13.3016,22948.80000,22911.21058,-500.00,-500.00,BACKTEST
1751965200,19,US100Z25.sim,SELL,7.7312,22883.50000,22948.17303,-500.00,-500.00,BACKTEST
1751990400,20,US100Z25.sim,BUY,11.9354,22947.50000,22905.60769,-500.00,-500.00,BACKTEST
1752073200,21,US100Z25.sim,SELL,10.3109,22904.30000,22952.79230,-500.00,-500.00,BACKTEST
1752076800,22,US100Z25.sim,SELL,14.0119,22925.30000,22960.98390,-500.00,-500.00,BACKTEST
1752116400,23,US100Z25.sim,BUY,9.5892,23056.65000,23004.50790,-500.00,-500.00,BACKTEST
1752163200,24,US100Z25.sim,BUY,15.3133,23043.35000,23010.69871,-500.00,-500.00,BACKTEST
1752202800,25,US100Z25.sim,BUY,11.5156,23043.75000,23000.33050,-500.00,-500.00,BACKTEST
1752249600,26,US100Z25.sim,SELL,10.1504,22907.60000,22956.85905,-500.00,-500.00,BACKTEST
1752508800,27,US100Z25.sim,SELL,8.4489,22850.25000,22909.42955,-500.00,-500.00,BACKTEST
1752508800,28,US100Z25.sim,SELL,13.2354,22898.00000,22935.77761,-500.00,-500.00,BACKTEST
1752584400,29,US100Z25.sim,BUY,7.8759,23055.00000,23181.97013,1000.00,1000.00,BACKTEST
1752620400,30,US100Z25.sim,BUY,8.3339,23099.00000,23039.00399,-500.00,-500.00,BACKTEST
1752678000,31,US100Z25.sim,SELL,10.5852,23015.00000,23062.23591,-500.00,-500.00,BACKTEST
1752699600,32,US100Z25.sim,SELL,6.3086,22989.95000,23069.20704,-500.00,-500.00,BACKTEST
1752742800,33,US100Z25.sim,BUY,13.4701,23040.30000,23114.53864,1000.00,1000.00,BACKTEST
1752858000,34,US100Z25.sim,BUY,17.8349,23268.27000,23240.23505,-500.00,-500.00,BACKTEST
1753113600,35,US100Z25.sim,BUY,11.5138,23225.27000,23312.12236,1000.00,1000.00,BACKTEST
1753110000,36,US100Z25.sim,BUY,19.2005,23288.78000,23262.73903,-500.00,-500.00,BACKTEST
1753167600,37,US100Z25.sim,BUY,12.7615,23346.25000,23307.06971,-500.00,-500.00,BACKTEST
1753192800,38,US100Z25.sim,SELL,16.1435,23281.25000,23312.22225,-500.00,-500.00,BACKTEST
1753236000,39,US100Z25.sim,SELL,9.2744,23181.25000,23235.16213,-500.00,-500.00,BACKTEST
1753286400,40,US100Z25.sim,SELL,15.0146,23260.25000,23193.64795,1000.00,1000.00,BACKTEST
1753369200,41,US100Z25.sim,BUY,9.2898,23400.00000,23346.17779,-500.00,-500.00,BACKTEST
1753369200,42,US100Z25.sim,BUY,15.9085,23385.56000,23354.13028,-500.00,-500.00,BACKTEST
1753437600,43,US100Z25.sim,BUY,13.4878,23413.75000,23376.67936,-500.00,-500.00,BACKTEST
1753459200,44,US100Z25.sim,BUY,17.9631,23370.28000,23342.44524,-500.00,-500.00,BACKTEST
1753707600,45,US100Z25.sim,BUY,17.9869,23536.00000,23508.20194,-500.00,-500.00,BACKTEST
1753783200,46,US100Z25.sim,BUY,14.1873,23508.00000,23578.48576,1000.00,1000.00,BACKTEST
1753804800,47,US100Z25.sim,BUY,19.4226,23578.53000,23630.01636,1000.00,1000.00,BACKTEST
1753884000,48,US100Z25.sim,SELL,15.1399,23485.25000,23518.27533,-500.00,-500.00,BACKTEST
1753891200,49,US100Z25.sim,SELL,18.5654,23489.50000,23516.43184,-500.00,-500.00,BACKTEST
1753977600,50,US100Z25.sim,BUY,11.9165,23762.53000,23720.57120,-500.00,-500.00,BACKTEST
1754301600,51,US100Z25.sim,SELL,5.0807,22926.25000,23024.66112,-500.00,-500.00,BACKTEST
1754323200,52,US100Z25.sim,SELL,9.9230,23043.00000,23093.38778,-500.00,-500.00,BACKTEST
