ts,ticket,symbol,side,volume,entry,close,realized_quote,realized_ccy,reason
1750791600.000,1,US100Z25.sim,BUY,4.96,22203.35000,22405.07857,1000.00,1000.00,BT/ML
1750867200.000,2,US100Z25.sim,BUY,8.38,22399.50000,22518.90000,1000.00,1000.00,BT/ML
1750874400.000,3,US100Z25.sim,SELL,17.41,22521.60000,22464.16429,1000.00,1000.00,BT/ML
1750917600.000,4,US100Z25.sim,BUY,12.14,22419.75000,22502.10000,1000.00,1000.00,BT/ML
1750935600.000,5,US100Z25.sim,BUY,12.35,22494.50000,22575.46429,1000.00,1000.00,BT/ML
1750950000.000,6,US100Z25.sim,BUY,17.22,22561.10000,22532.06786,-500.00,-500.00,BT/ML
1750960800.000,7,US100Z25.sim,BUY,14.79,22543.00000,22610.61429,1000.00,1000.00,BT/ML
1751018400.000,8,US100Z25.sim,BUY,11.02,22666.35000,22757.11429,1000.00,1000.00,BT/ML
1751040000.000,9,US100Z25.sim,SELL,18.02,22778.75000,22723.24857,1000.00,1000.00,BT/ML
1751054400.000,10,US100Z25.sim,BUY,12.15,22794.50000,22753.36429,-500.00,-500.00,BT/ML
1751389200.000,11,US100Z25.sim,BUY,7.23,22818.75000,22749.59286,-500.00,-500.00,BT/ML
1751392800.000,12,US100Z25.sim,BUY,11.28,22687.30000,22642.96071,-500.00,-500.00,BT/ML
1751468400.000,13,US100Z25.sim,BUY,7.54,22691.00000,22624.65714,-500.00,-500.00,BT/ML
1751472000.000,14,US100Z25.sim,BUY,12.47,22615.85000,22696.05000,1000.00,1000.00,BT/ML
1751558400.000,15,US100Z25.sim,BUY,8.92,22824.85000,22936.97143,1000.00,1000.00,BT/ML
1751565600.000,16,US100Z25.sim,BUY,14.06,22996.25000,23067.36429,1000.00,1000.00,BT/ML
1751623200.000,17,US100Z25.sim,SELL,11.53,23058.60000,22971.86429,1000.00,1000.00,BT/ML
1751634000.000,18,US100Z25.sim,SELL,15.82,22946.25000,22883.02143,1000.00,1000.00,BT/ML
1751644800.000,19,US100Z25.sim,BUY,14.97,22921.50000,22888.09286,-500.00,-500.00,BT/ML
1751860800.000,20,US100Z25.sim,BUY,11.36,22974.90000,22930.86786,-500.00,-500.00,BT/ML
1751907600.000,21,US100Z25.sim,BUY,10.79,22946.25000,22899.91786,-500.00,-500.00,BT/ML
1751914800.000,22,US100Z25.sim,BUY,11.47,22894.50000,22850.90714,-500.00,-500.00,BT/ML
1751968800.000,23,US100Z25.sim,BUY,8.20,22840.25000,22962.22857,1000.00,1000.00,BT/ML
1751979600.000,24,US100Z25.sim,BUY,10.46,22964.35000,22916.53929,-500.00,-500.00,BT/ML
1751994000.000,25,US100Z25.sim,BUY,12.63,22882.60000,22843.02500,-500.00,-500.00,BT/ML
1752051600.000,26,US100Z25.sim,BUY,9.82,22900.50000,22849.56786,-500.00,-500.00,BT/ML
1752076800.000,27,US100Z25.sim,BUY,13.93,22897.00000,22968.77857,1000.00,1000.00,BT/ML
1752098400.000,28,US100Z25.sim,BUY,9.80,22948.55000,23050.59286,1000.00,1000.00,BT/ML
1752134400.000,29,US100Z25.sim,BUY,8.43,23044.60000,22985.27143,-500.00,-500.00,BT/ML
1752163200.000,30,US100Z25.sim,BUY,18.08,23024.25000,22996.59286,-500.00,-500.00,BT/ML
1752181200.000,31,US100Z25.sim,BUY,12.14,22962.50000,23044.86429,1000.00,1000.00,BT/ML
1752202800.000,32,US100Z25.sim,BUY,9.45,23015.10000,22962.21429,-500.00,-500.00,BT/ML
1752235200.000,33,US100Z25.sim,BUY,7.36,22926.00000,22858.06071,-500.00,-500.00,BT/ML
1752253200.000,34,US100Z25.sim,BUY,9.73,22863.55000,22966.32143,1000.00,1000.00,BT/ML
1752256800.000,35,US100Z25.sim,BUY,10.37,22968.80000,22920.59643,-500.00,-500.00,BT/ML
1752490800.000,36,US100Z25.sim,BUY,8.48,22954.35000,22895.39286,-500.00,-500.00,BT/ML
1752508800.000,37,US100Z25.sim,BUY,11.21,22886.25000,22975.46143,1000.00,1000.00,BT/ML
1752512400.000,38,US100Z25.sim,BUY,12.77,22910.50000,22988.78571,1000.00,1000.00,BT/ML
1752552000.000,39,US100Z25.sim,SELL,10.64,23050.60000,23097.61071,-500.00,-500.00,BT/ML
1752555600.000,40,US100Z25.sim,BUY,9.56,23142.05000,23089.76786,-500.00,-500.00,BT/ML
1752606000.000,41,US100Z25.sim,BUY,10.09,23142.50000,23092.93571,-500.00,-500.00,BT/ML
1752613200.000,42,US100Z25.sim,BUY,8.82,23168.85000,23112.13214,-500.00,-500.00,BT/ML
1752660000.000,43,US100Z25.sim,BUY,7.68,23013.35000,22948.27857,-500.00,-500.00,BT/ML
1752678000.000,44,US100Z25.sim,BUY,10.45,22981.30000,23076.97857,1000.00,1000.00,BT/ML
1752688800.000,45,US100Z25.sim,BUY,11.29,22967.30000,22923.01786,-500.00,-500.00,BT/ML
1752775200.000,46,US100Z25.sim,BUY,7.19,23072.30000,23211.41429,1000.00,1000.00,BT/ML
1752858000.000,47,US100Z25.sim,BUY,11.24,23248.74000,23204.25929,-500.00,-500.00,BT/ML
1752865200.000,48,US100Z25.sim,SELL,14.92,23246.50000,23179.47714,1000.00,1000.00,BT/ML
1753113600.000,49,US100Z25.sim,BUY,12.39,23227.52000,23308.21143,1000.00,1000.00,BT/ML
1753135200.000,50,US100Z25.sim,BUY,15.24,23374.75000,23341.93929,-500.00,-500.00,BT/ML
1753167600.000,51,US100Z25.sim,BUY,11.90,23343.25000,23301.23929,-500.00,-500.00,BT/ML
1753178400.000,52,US100Z25.sim,SELL,16.76,23305.31000,23335.13500,-500.00,-500.00,BT/ML
1753196400.000,53,US100Z25.sim,BUY,17.59,23281.25000,23338.09714,1000.00,1000.00,BT/ML
1753210800.000,54,US100Z25.sim,BUY,9.95,23223.75000,23173.50286,-500.00,-500.00,BT/ML
1753290000.000,55,US100Z25.sim,BUY,8.22,23221.50000,23160.65429,-500.00,-500.00,BT/ML
1753293600.000,56,US100Z25.sim,BUY,14.01,23198.75000,23270.12000,1000.00,1000.00,BT/ML
1753416000.000,57,US100Z25.sim,BUY,9.78,23323.00000,23425.23714,1000.00,1000.00,BT/ML
1753459200.000,58,US100Z25.sim,SELL,17.21,23374.50000,23403.55071,-500.00,-500.00,BT/ML
1753470000.000,59,US100Z25.sim,BUY,17.42,23388.50000,23445.91143,1000.00,1000.00,BT/ML
1753480800.000,60,US100Z25.sim,BUY,15.28,23442.50000,23409.77143,-500.00,-500.00,BT/ML
1753707600.000,61,US100Z25.sim,BUY,11.88,23542.53000,23500.43500,-500.00,-500.00,BT/ML
1753725600.000,62,US100Z25.sim,BUY,16.05,23493.31000,23462.15571,-500.00,-500.00,BT/ML
1753736400.000,63,US100Z25.sim,BUY,16.13,23485.00000,23454.00714,-500.00,-500.00,BT/ML
1753783200.000,64,US100Z25.sim,BUY,14.42,23525.81000,23595.16857,1000.00,1000.00,BT/ML
1753804800.000,65,US100Z25.sim,BUY,21.43,23587.50000,23564.16643,-500.00,-500.00,BT/ML
1753808400.000,66,US100Z25.sim,SELL,18.43,23585.75000,23531.49000,1000.00,1000.00,BT/ML
1753826400.000,67,US100Z25.sim,BUY,10.92,23477.75000,23431.94857,-500.00,-500.00,BT/ML
1753909200.000,68,US100Z25.sim,BUY,10.99,23474.00000,23428.48643,-500.00,-500.00,BT/ML
1753912800.000,69,US100Z25.sim,BUY,10.50,23411.50000,23363.85929,-500.00,-500.00,BT/ML
1753977600.000,70,US100Z25.sim,BUY,6.95,23753.50000,23681.55786,-500.00,-500.00,BT/ML
1753981200.000,71,US100Z25.sim,BUY,10.85,23670.50000,23624.41929,-500.00,-500.00,BT/ML
1753999200.000,72,US100Z25.sim,BUY,5.91,23413.50000,23328.95286,-500.00,-500.00,BT/ML
1754042400.000,73,US100Z25.sim,BUY,4.90,23296.84000,23194.70571,-500.00,-500.00,BT/ML
1754046000.000,74,US100Z25.sim,BUY,6.87,23168.75000,23095.94857,-500.00,-500.00,BT/ML
1754067600.000,75,US100Z25.sim,BUY,6.21,22882.84000,22802.31643,-500.00,-500.00,BT/ML
1754323200.000,76,US100Z25.sim,BUY,4.24,22869.56000,23105.38429,1000.00,1000.00,BT/ML
1754326800.000,77,US100Z25.sim,BUY,9.88,23245.53000,23194.90714,-500.00,-500.00,BT/ML
1754362800.000,78,US100Z25.sim,BUY,8.99,23260.53000,23371.80286,1000.00,1000.00,BT/ML
1754413200.000,79,US100Z25.sim,BUY,8.81,23346.28000,23289.50429,-500.00,-500.00,BT/ML
1754416800.000,80,US100Z25.sim,BUY,9.27,23181.06000,23127.13286,-500.00,-500.00,BT/ML
1754442000.000,81,US100Z25.sim,BUY,6.38,23132.25000,23053.82714,-500.00,-500.00,BT/ML
1754503200.000,82,US100Z25.sim,BUY,5.83,23136.50000,23307.88714,1000.00,1000.00,BT/ML
1754528400.000,83,US100Z25.sim,BUY,8.79,23365.53000,23479.33857,1000.00,1000.00,BT/ML
1754568000.000,84,US100Z25.sim,BUY,7.71,23460.12000,23589.84143,1000.00,1000.00,BT/ML
1754582400.000,85,US100Z25.sim,BUY,12.00,23616.28000,23574.60929,-500.00,-500.00,BT/ML
1754593200.000,86,US100Z25.sim,BUY,9.22,23497.75000,23443.51286,-500.00,-500.00,BT/ML
1754672400.000,87,US100Z25.sim,BUY,6.31,23521.03000,23679.39286,1000.00,1000.00,BT/ML
1754676000.000,88,US100Z25.sim,BUY,12.47,23652.00000,23611.88857,-500.00,-500.00,BT/ML
1754910000.000,89,US100Z25.sim,BUY,10.38,23731.06000,23682.91143,-500.00,-500.00,BT/ML
1754946000.000,90,US100Z25.sim,BUY,11.43,23697.00000,23653.25000,-500.00,-500.00,BT/ML
1755010800.000,91,US100Z25.sim,BUY,10.49,23635.78000,23731.11857,1000.00,1000.00,BT/ML
1755014400.000,92,US100Z25.sim,BUY,11.92,23773.06000,23731.09786,-500.00,-500.00,BT/ML
1755100800.000,93,US100Z25.sim,BUY,7.16,23913.50000,24053.14286,1000.00,1000.00,BT/ML
1755104400.000,94,US100Z25.sim,SELL,16.70,24016.06000,23956.16286,1000.00,1000.00,BT/ML
1755183600.000,95,US100Z25.sim,BUY,11.21,23933.03000,23888.44286,-500.00,-500.00,BT/ML
1755187200.000,96,US100Z25.sim,BUY,15.12,23843.50000,23909.63429,1000.00,1000.00,BT/ML
1755205200.000,97,US100Z25.sim,BUY,8.54,23962.06000,23903.54214,-500.00,-500.00,BT/ML
1755273600.000,98,US100Z25.sim,BUY,7.83,23895.25000,23831.36357,-500.00,-500.00,BT/ML
1755280800.000,99,US100Z25.sim,BUY,12.70,23803.81000,23764.43857,-500.00,-500.00,BT/ML
1755514800.000,100,US100Z25.sim,BUY,8.62,23810.75000,23752.75929,-500.00,-500.00,BT/ML
1755536400.000,101,US100Z25.sim,BUY,13.99,23758.75000,23723.00500,-500.00,-500.00,BT/ML
1755540000.000,102,US100Z25.sim,BUY,11.37,23777.50000,23733.54286,-500.00,-500.00,BT/ML
1755586800.000,103,US100Z25.sim,BUY,8.91,23796.00000,23739.86643,-500.00,-500.00,BT/ML
1755619200.000,104,US100Z25.sim,BUY,11.61,23757.06000,23714.00857,-500.00,-500.00,BT/ML
1755630000.000,105,US100Z25.sim,BUY,10.37,23540.31000,23492.09500,-500.00,-500.00,BT/ML
1755662400.000,106,US100Z25.sim,BUY,7.76,23457.50000,23393.06071,-500.00,-500.00,BT/ML
1755705600.000,107,US100Z25.sim,BUY,7.37,23344.56000,23276.68786,-500.00,-500.00,BT/ML
1755709200.000,108,US100Z25.sim,BUY,8.51,23173.25000,23114.49071,-500.00,-500.00,BT/ML
1755806400.000,109,US100Z25.sim,BUY,5.21,23243.31000,23147.38571,-500.00,-500.00,BT/ML
1755853200.000,110,US100Z25.sim,BUY,7.01,23214.31000,23143.02643,-500.00,-500.00,BT/ML
1755860400.000,111,US100Z25.sim,BUY,10.68,23138.25000,23231.89000,1000.00,1000.00,BT/ML
1755878400.000,112,US100Z25.sim,BUY,12.20,23251.90000,23210.92571,-500.00,-500.00,BT/ML
1756137600.000,113,US100Z25.sim,BUY,6.28,23528.25000,23448.61071,-500.00,-500.00,BT/ML
