ts,ticket,symbol,side,volume,entry,close,realized_quote,realized_ccy,reason
2025-06-24 10:00:00+00:00,1,US30Z25.sim,BUY,0.10,43044.00000,43329.02761,28.50,28.50,bt_tp
2025-06-24 19:00:00+00:00,2,US30Z25.sim,BUY,0.10,43166.00000,43369.73081,20.37,20.37,bt_tp
2025-06-25 17:00:00+00:00,3,US30Z25.sim,BUY,0.10,43414.00000,43315.21184,-9.88,-9.88,bt_sl
2025-06-26 09:00:00+00:00,4,US30Z25.sim,BUY,0.10,43226.00000,43370.22244,14.42,14.42,bt_tp
2025-06-26 16:00:00+00:00,5,US30Z25.sim,BUY,0.10,43380.00000,43467.05263,8.71,8.71,bt_tp
2025-06-26 17:00:00+00:00,6,US30Z25.sim,BUY,0.10,43459.00000,43586.61787,12.76,12.76,bt_tp
2025-06-26 22:00:00+00:00,7,US30Z25.sim,BUY,0.10,43590.00000,43746.73549,15.67,15.67,bt_tp
2025-06-27 09:00:00+00:00,8,US30Z25.sim,BUY,0.10,43723.00000,43884.29723,16.13,16.13,bt_tp
2025-06-27 16:00:00+00:00,9,US30Z25.sim,BUY,0.10,43834.00000,43931.41141,9.74,9.74,bt_tp
2025-06-27 17:00:00+00:00,10,US30Z25.sim,BUY,0.10,43952.00000,44074.04119,12.20,12.20,bt_tp
2025-06-27 18:00:00+00:00,11,US30Z25.sim,BUY,0.10,44056.00000,44198.56903,14.26,14.26,bt_tp
2025-06-27 20:00:00+00:00,12,US30Z25.sim,SELL,0.10,44233.00000,44060.56371,17.24,17.24,bt_tp
2025-06-27 21:00:00+00:00,13,US30Z25.sim,BUY,0.10,44063.00000,43957.61094,-10.54,-10.54,bt_sl
2025-06-27 22:00:00+00:00,14,US30Z25.sim,BUY,0.10,43906.00000,44146.80771,24.08,24.08,bt_tp
2025-06-30 08:00:00+00:00,15,US30Z25.sim,BUY,0.10,44120.00000,44398.03334,27.80,27.80,bt_tp
2025-06-30 17:00:00+00:00,16,US30Z25.sim,SELL,0.10,44339.00000,44219.29515,11.97,11.97,bt_tp
2025-07-01 16:00:00+00:00,17,US30Z25.sim,SELL,0.10,44361.00000,44431.96909,-7.10,-7.10,bt_sl
2025-07-02 16:00:00+00:00,18,US30Z25.sim,BUY,0.10,44820.00000,44729.21695,-9.08,-9.08,bt_sl
2025-07-03 16:00:00+00:00,19,US30Z25.sim,BUY,0.10,44760.00000,44943.35424,18.34,18.34,bt_tp
2025-07-04 10:00:00+00:00,20,US30Z25.sim,SELL,0.10,45128.00000,44951.74946,17.63,17.63,bt_tp
2025-07-04 13:00:00+00:00,21,US30Z25.sim,BUY,0.10,44853.00000,44794.08679,-5.89,-5.89,bt_sl
2025-07-07 01:00:00+00:00,22,US30Z25.sim,BUY,0.10,44818.00000,44943.76295,12.58,12.58,bt_tp
2025-07-07 11:00:00+00:00,23,US30Z25.sim,SELL,0.10,44972.00000,45037.74005,-6.57,-6.57,bt_sl
2025-07-07 15:00:00+00:00,24,US30Z25.sim,SELL,0.10,45063.00000,45127.69013,-6.47,-6.47,bt_sl
2025-07-07 17:00:00+00:00,25,US30Z25.sim,SELL,0.10,45032.00000,44895.92328,13.61,13.61,bt_tp
2025-07-09 04:00:00+00:00,26,US30Z25.sim,BUY,0.10,44553.00000,44424.66157,-12.83,-12.83,bt_sl
2025-07-09 12:00:00+00:00,27,US30Z25.sim,BUY,0.10,44466.00000,44574.55385,10.86,10.86,bt_tp
2025-07-10 01:00:00+00:00,28,US30Z25.sim,BUY,0.10,44561.00000,44757.04772,19.60,19.60,bt_tp
2025-07-14 09:00:00+00:00,29,US30Z25.sim,BUY,0.10,44402.00000,44335.63537,-6.64,-6.64,bt_sl
2025-07-14 16:00:00+00:00,30,US30Z25.sim,BUY,0.10,44438.00000,44588.66675,15.07,15.07,bt_tp
2025-07-15 04:00:00+00:00,31,US30Z25.sim,BUY,0.10,44639.00000,44768.25014,12.93,12.93,bt_tp
2025-07-15 16:00:00+00:00,32,US30Z25.sim,SELL,0.10,44722.00000,44566.74607,15.53,15.53,bt_tp
2025-07-16 01:00:00+00:00,33,US30Z25.sim,SELL,0.10,44367.00000,44135.90501,23.11,23.11,bt_tp
2025-07-16 14:00:00+00:00,34,US30Z25.sim,BUY,0.10,44197.00000,44333.49708,13.65,13.65,bt_tp
2025-07-16 18:00:00+00:00,35,US30Z25.sim,BUY,0.10,44285.00000,44193.64445,-9.14,-9.14,bt_sl
2025-07-17 16:00:00+00:00,36,US30Z25.sim,BUY,0.10,44282.00000,44556.39190,27.44,27.44,bt_tp
2025-07-18 08:00:00+00:00,37,US30Z25.sim,BUY,0.10,44597.00000,44833.53271,23.65,23.65,bt_tp
2025-07-18 15:00:00+00:00,38,US30Z25.sim,SELL,0.10,44732.00000,44787.38296,-5.54,-5.54,bt_sl
2025-07-21 17:00:00+00:00,39,US30Z25.sim,BUY,0.10,44531.00000,44699.21041,16.82,16.82,bt_tp
2025-07-22 14:00:00+00:00,40,US30Z25.sim,BUY,0.10,44534.00000,44491.87203,-4.21,-4.21,bt_sl
2025-07-22 16:00:00+00:00,41,US30Z25.sim,BUY,0.10,44509.00000,44611.62181,10.26,10.26,bt_tp
2025-07-22 21:00:00+00:00,42,US30Z25.sim,BUY,0.10,44558.00000,44713.77484,15.58,15.58,bt_tp
2025-07-23 08:00:00+00:00,43,US30Z25.sim,BUY,0.10,44683.00000,44859.64395,17.66,17.66,bt_tp
2025-07-24 15:00:00+00:00,44,US30Z25.sim,SELL,0.10,45138.00000,44947.98515,19.00,19.00,bt_tp
2025-07-24 17:00:00+00:00,45,US30Z25.sim,BUY,0.10,44896.00000,45033.07608,13.71,13.71,bt_tp
2025-07-25 16:00:00+00:00,46,US30Z25.sim,SELL,0.10,45007.00000,44887.78515,11.92,11.92,bt_tp
2025-07-25 17:00:00+00:00,47,US30Z25.sim,BUY,0.10,44904.00000,44849.21104,-5.48,-5.48,bt_sl
2025-07-25 22:00:00+00:00,48,US30Z25.sim,BUY,0.10,44966.00000,45112.43421,14.64,14.64,bt_tp
2025-07-28 11:00:00+00:00,49,US30Z25.sim,SELL,0.10,45276.00000,45178.99941,9.70,9.70,bt_tp
2025-07-28 16:00:00+00:00,50,US30Z25.sim,SELL,0.10,45166.00000,45060.14925,10.59,10.59,bt_tp
2025-07-29 17:00:00+00:00,51,US30Z25.sim,BUY,0.10,44957.00000,44873.27346,-8.37,-8.37,bt_sl
2025-07-30 18:00:00+00:00,52,US30Z25.sim,BUY,0.10,44795.00000,44715.64710,-7.94,-7.94,bt_sl
2025-07-30 23:00:00+00:00,53,US30Z25.sim,BUY,0.10,44529.00000,44763.34732,23.43,23.43,bt_tp
2025-07-31 18:00:00+00:00,54,US30Z25.sim,BUY,0.10,44666.00000,44520.87845,-14.51,-14.51,bt_sl
2025-08-01 10:00:00+00:00,55,US30Z25.sim,SELL,0.10,44250.00000,43980.27659,26.97,26.97,bt_tp
