ts,ticket,symbol,side,volume,entry,close,realized_quote,realized_ccy,reason
2025-07-02 12:00:00+00:00,1,US500Z25.sim,BUY,0.10,6254.75000,6235.77139,-1.90,-1.90,bt_sl
2025-07-02 20:00:00+00:00,2,US500Z25.sim,BUY,0.10,6239.75000,6278.71292,3.90,3.90,bt_tp
2025-07-03 16:00:00+00:00,3,US500Z25.sim,BUY,0.10,6274.50000,6307.93333,3.34,3.34,bt_tp
2025-07-04 12:00:00+00:00,4,US500Z25.sim,SELL,0.10,6323.00000,6279.70563,4.33,4.33,bt_tp
2025-07-07 16:00:00+00:00,5,US500Z25.sim,BUY,0.10,6284.55000,6266.44980,-1.81,-1.81,bt_sl
2025-07-09 16:00:00+00:00,6,US500Z25.sim,BUY,0.10,6266.00000,6309.42477,4.34,4.34,bt_tp
2025-07-10 20:00:00+00:00,7,US500Z25.sim,BUY,0.10,6287.10000,6327.71338,4.06,4.06,bt_tp
2025-07-11 12:00:00+00:00,8,US500Z25.sim,SELL,0.10,6321.15000,6283.09429,3.81,3.81,bt_tp
2025-07-14 08:00:00+00:00,9,US500Z25.sim,SELL,0.10,6307.25000,6259.83952,4.74,4.74,bt_tp
2025-07-15 04:00:00+00:00,10,US500Z25.sim,BUY,0.10,6278.90000,6322.44941,4.35,4.35,bt_tp
2025-07-15 20:00:00+00:00,11,US500Z25.sim,SELL,0.10,6328.65000,6290.68923,3.80,3.80,bt_tp
2025-07-16 16:00:00+00:00,12,US500Z25.sim,BUY,0.10,6273.50000,6248.42687,-2.51,-2.51,bt_sl
2025-07-18 00:00:00+00:00,13,US500Z25.sim,BUY,0.10,6292.25000,6346.77359,5.45,5.45,bt_tp
2025-07-21 16:00:00+00:00,14,US500Z25.sim,SELL,0.10,6348.50000,6366.59105,-1.81,-1.81,bt_sl
2025-07-22 08:00:00+00:00,15,US500Z25.sim,SELL,0.10,6370.75000,6335.43975,3.53,3.53,bt_tp
2025-07-22 16:00:00+00:00,16,US500Z25.sim,BUY,0.10,6337.25000,6321.06828,-1.62,-1.62,bt_sl
2025-07-23 08:00:00+00:00,17,US500Z25.sim,BUY,0.10,6335.75000,6371.31543,3.56,3.56,bt_tp
2025-07-23 16:00:00+00:00,18,US500Z25.sim,BUY,0.10,6371.00000,6353.91654,-1.71,-1.71,bt_sl
2025-07-24 16:00:00+00:00,19,US500Z25.sim,BUY,0.10,6375.25000,6411.53893,3.63,3.63,bt_tp
2025-07-28 00:00:00+00:00,20,US500Z25.sim,BUY,0.10,6405.15000,6438.10387,3.30,3.30,bt_tp
2025-07-28 20:00:00+00:00,21,US500Z25.sim,SELL,0.10,6444.25000,6415.40381,2.88,2.88,bt_tp
2025-07-29 16:00:00+00:00,22,US500Z25.sim,BUY,0.10,6424.15000,6408.69808,-1.55,-1.55,bt_sl
2025-07-29 20:00:00+00:00,23,US500Z25.sim,BUY,0.10,6415.00000,6398.96671,-1.60,-1.60,bt_sl
