ts,ticket,symbol,side,volume,entry,close,realized_quote,realized_ccy,reason
2025-08-13 20:30:00+00:00,1,USOILZ25.sim,SELL,0.10,61.69000,61.97863,-0.03,-0.03,bt_sl
2025-08-14 11:00:00+00:00,2,USOILZ25.sim,BUY,0.10,62.11000,62.00590,-0.01,-0.01,bt_sl
2025-08-14 13:30:00+00:00,3,USOILZ25.sim,BUY,0.10,62.03000,61.86352,-0.02,-0.02,bt_sl
2025-08-14 15:30:00+00:00,4,USOILZ25.sim,BUY,0.10,61.88000,62.27877,0.04,0.04,bt_tp
2025-08-14 16:00:00+00:00,5,USOILZ25.sim,SELL,0.10,62.32000,62.54226,-0.02,-0.02,bt_sl
2025-08-14 21:30:00+00:00,6,USOILZ25.sim,SELL,0.10,62.80000,63.08195,-0.03,-0.03,bt_sl
2025-08-15 09:00:00+00:00,7,USOILZ25.sim,SELL,0.10,62.92000,62.68842,0.02,0.02,bt_tp
2025-08-15 11:00:00+00:00,8,USOILZ25.sim,SELL,0.10,62.76000,62.48195,0.03,0.03,bt_tp
2025-08-15 16:00:00+00:00,9,USOILZ25.sim,BUY,0.10,62.47000,62.29601,-0.02,-0.02,bt_sl
2025-08-15 21:00:00+00:00,10,USOILZ25.sim,SELL,0.10,62.43000,61.93622,0.05,0.05,bt_tp
2025-08-18 09:00:00+00:00,11,USOILZ25.sim,BUY,0.10,62.06300,62.37024,0.03,0.03,bt_tp
2025-08-18 10:30:00+00:00,12,USOILZ25.sim,BUY,0.10,62.11300,61.93414,-0.02,-0.02,bt_sl
2025-08-18 12:00:00+00:00,13,USOILZ25.sim,BUY,0.10,61.85400,62.25416,0.04,0.04,bt_tp
2025-08-18 16:00:00+00:00,14,USOILZ25.sim,BUY,0.10,62.09400,61.86981,-0.02,-0.02,bt_sl
2025-08-18 16:30:00+00:00,15,USOILZ25.sim,BUY,0.10,61.85500,61.62456,-0.02,-0.02,bt_sl
2025-08-18 18:00:00+00:00,16,USOILZ25.sim,BUY,0.10,61.68300,62.19762,0.05,0.05,bt_tp
2025-08-18 20:00:00+00:00,17,USOILZ25.sim,BUY,0.10,62.19400,62.78144,0.06,0.06,bt_tp
2025-08-19 10:00:00+00:00,18,USOILZ25.sim,BUY,0.10,62.20500,62.07598,-0.01,-0.01,bt_sl
2025-08-19 13:30:00+00:00,19,USOILZ25.sim,SELL,0.10,62.12400,61.82002,0.03,0.03,bt_tp
2025-08-19 16:00:00+00:00,20,USOILZ25.sim,BUY,0.10,61.86400,61.67755,-0.02,-0.02,bt_sl
2025-08-19 20:00:00+00:00,21,USOILZ25.sim,BUY,0.10,61.96400,61.72556,-0.02,-0.02,bt_sl
2025-08-20 08:30:00+00:00,22,USOILZ25.sim,BUY,0.10,61.86300,62.05073,0.02,0.02,bt_tp
2025-08-20 10:00:00+00:00,23,USOILZ25.sim,BUY,0.10,62.17400,62.39901,0.02,0.02,bt_tp
2025-08-20 12:30:00+00:00,24,USOILZ25.sim,SELL,0.10,62.53400,62.20380,0.03,0.03,bt_tp
2025-08-20 14:30:00+00:00,25,USOILZ25.sim,BUY,0.10,62.20500,62.59224,0.04,0.04,bt_tp
2025-08-20 15:00:00+00:00,26,USOILZ25.sim,BUY,0.10,62.58300,62.40700,-0.02,-0.02,bt_sl
2025-08-20 18:00:00+00:00,27,USOILZ25.sim,BUY,0.10,62.40400,62.21680,-0.02,-0.02,bt_sl
2025-08-21 09:30:00+00:00,28,USOILZ25.sim,BUY,0.10,63.00300,63.22044,0.02,0.02,bt_tp
2025-08-21 13:30:00+00:00,29,USOILZ25.sim,BUY,0.10,63.15400,63.43962,0.03,0.03,bt_tp
