ts,ticket,symbol,side,volume,entry,close,realized_quote,realized_ccy,reason
1755021600,1,USOILZ25.sim,SELL,1968.5039,62.68000,62.93400,-500.00,-500.00,BACKTEST
1755064800,2,USOILZ25.sim,SELL,2572.5642,62.23000,62.42436,-500.00,-500.00,BACKTEST
1755147600,3,USOILZ25.sim,SELL,1270.1443,61.82000,62.21366,-500.00,-500.00,BACKTEST
1755176400,4,USOILZ25.sim,SELL,2440.8241,62.23000,61.82030,1000.00,1000.00,BACKTEST
1755248400,5,USOILZ25.sim,BUY,1814.1928,62.99000,62.71440,-500.00,-500.00,BACKTEST
1755273600,6,USOILZ25.sim,BUY,2045.0634,62.66000,62.41551,-500.00,-500.00,BACKTEST
1755507600,7,USOILZ25.sim,SELL,1640.3614,61.94400,62.24881,-500.00,-500.00,BACKTEST
1755532800,8,USOILZ25.sim,SELL,1598.5472,62.09400,61.46843,1000.00,1000.00,BACKTEST
1755590400,9,USOILZ25.sim,BUY,1882.7345,62.36400,62.09843,-500.00,-500.00,BACKTEST
1755680400,10,USOILZ25.sim,SELL,1589.7124,61.96400,62.27852,-500.00,-500.00,BACKTEST
1755676800,11,USOILZ25.sim,SELL,2406.9577,61.87300,62.08073,-500.00,-500.00,BACKTEST
1755712800,12,USOILZ25.sim,BUY,1612.9747,62.24300,62.86297,1000.00,1000.00,BACKTEST
1755781200,13,USOILZ25.sim,BUY,2411.9492,62.98400,63.39860,1000.00,1000.00,BACKTEST
1755882000,14,USOILZ25.sim,BUY,1529.7507,63.19300,63.84670,1000.00,1000.00,BACKTEST
1755867600,15,USOILZ25.sim,BUY,2903.5534,63.47300,63.30080,-500.00,-500.00,BACKTEST
1756126800,16,USOILZ25.sim,BUY,1759.3450,63.57300,64.14139,1000.00,1000.00,BACKTEST
1756116000,17,USOILZ25.sim,BUY,2965.7286,63.78500,63.61641,-500.00,-500.00,BACKTEST
1756202400,18,USOILZ25.sim,BUY,2505.1262,64.39300,64.19341,-500.00,-500.00,BACKTEST
1756227600,19,USOILZ25.sim,SELL,2371.1356,63.83500,64.04587,-500.00,-500.00,BACKTEST
1756292400,20,USOILZ25.sim,SELL,2770.2996,63.31400,62.95303,1000.00,1000.00,BACKTEST
1756328400,21,USOILZ25.sim,SELL,1701.9366,63.75400,64.04778,-500.00,-500.00,BACKTEST
1756375200,22,USOILZ25.sim,BUY,3096.1086,63.60500,63.92799,1000.00,1000.00,BACKTEST
1756411200,23,USOILZ25.sim,BUY,1603.8668,63.62300,64.24649,1000.00,1000.00,BACKTEST
1756468800,24,USOILZ25.sim,BUY,2674.2892,64.17400,63.98703,-500.00,-500.00,BACKTEST
1756699200,25,USOILZ25.sim,BUY,1652.7781,63.97500,63.67248,-500.00,-500.00,BACKTEST
1756717200,26,USOILZ25.sim,SELL,3321.1282,63.77300,63.92355,-500.00,-500.00,BACKTEST
1756785600,27,USOILZ25.sim,BUY,2673.7128,64.61500,64.98901,1000.00,1000.00,BACKTEST
1756832400,28,USOILZ25.sim,BUY,1331.6079,64.50500,65.25597,1000.00,1000.00,BACKTEST
1756879200,29,USOILZ25.sim,BUY,2180.1474,65.56300,65.33366,-500.00,-500.00,BACKTEST
1756929600,30,USOILZ25.sim,SELL,1106.2367,64.67300,63.76903,1000.00,1000.00,BACKTEST
1757084400,31,USOILZ25.sim,SELL,1467.9077,63.32500,62.64376,1000.00,1000.00,BACKTEST
1757077200,32,USOILZ25.sim,SELL,2209.7719,63.26300,62.81046,1000.00,1000.00,BACKTEST
1757304000,33,USOILZ25.sim,SELL,1279.0724,62.03300,62.42391,-500.00,-500.00,BACKTEST
1757332800,34,USOILZ25.sim,SELL,1863.7943,62.78100,63.04927,-500.00,-500.00,BACKTEST
