ts,ticket,symbol,side,volume,entry,close,realized_quote,realized_ccy,reason
2025-07-18 05:00:00+00:00,1,XAUZ25.sim,SELL,0.10,3398.10000,3404.66198,-0.66,-0.66,bt_sl
2025-07-18 10:00:00+00:00,2,XAUZ25.sim,SELL,0.10,3397.70000,3404.56038,-0.69,-0.69,bt_sl
2025-07-30 20:00:00+00:00,3,XAUZ25.sim,BUY,0.10,3410.90000,3403.62824,-0.73,-0.73,bt_sl
2025-07-31 09:00:00+00:00,4,XAUZ25.sim,BUY,0.10,3329.83000,3354.62695,2.48,2.48,bt_tp
2025-08-01 01:00:00+00:00,5,XAUZ25.sim,BUY,0.10,3350.07000,3341.74037,-0.83,-0.83,bt_sl
2025-08-01 04:00:00+00:00,6,XAUZ25.sim,SELL,0.10,3346.13000,3331.82368,1.43,1.43,bt_tp
2025-08-01 08:00:00+00:00,7,XAUZ25.sim,BUY,0.10,3333.55000,3349.14004,1.56,1.56,bt_tp
2025-08-01 10:00:00+00:00,8,XAUZ25.sim,BUY,0.10,3343.74000,3336.08881,-0.77,-0.77,bt_sl
2025-08-01 13:00:00+00:00,9,XAUZ25.sim,BUY,0.10,3337.63000,3353.20940,1.56,1.56,bt_tp
2025-08-01 15:00:00+00:00,10,XAUZ25.sim,BUY,0.10,3350.57000,3366.31479,1.57,1.57,bt_tp
2025-08-04 14:00:00+00:00,11,XAUZ25.sim,BUY,0.10,3394.16000,3420.22840,2.61,2.61,bt_tp
2025-08-04 15:00:00+00:00,12,XAUZ25.sim,BUY,0.10,3423.96000,3415.58782,-0.84,-0.84,bt_sl
2025-08-04 16:00:00+00:00,13,XAUZ25.sim,BUY,0.10,3420.64000,3438.07712,1.74,1.74,bt_tp
2025-08-05 12:00:00+00:00,14,XAUZ25.sim,SELL,0.10,3437.15000,3416.83516,2.03,2.03,bt_tp
2025-08-05 14:00:00+00:00,15,XAUZ25.sim,BUY,0.10,3413.46000,3406.58946,-0.69,-0.69,bt_sl
2025-08-05 15:00:00+00:00,16,XAUZ25.sim,BUY,0.10,3405.04000,3418.81689,1.38,1.38,bt_tp
2025-08-05 17:00:00+00:00,17,XAUZ25.sim,BUY,0.10,3420.06000,3436.66931,1.66,1.66,bt_tp
2025-08-06 10:00:00+00:00,18,XAUZ25.sim,SELL,0.10,3443.85000,3424.42603,1.94,1.94,bt_tp
2025-08-06 11:00:00+00:00,19,XAUZ25.sim,BUY,0.10,3428.25000,3422.11505,-0.61,-0.61,bt_sl
2025-08-06 12:00:00+00:00,20,XAUZ25.sim,BUY,0.10,3419.15000,3412.45838,-0.67,-0.67,bt_sl
2025-08-06 16:00:00+00:00,21,XAUZ25.sim,BUY,0.10,3413.16000,3427.43347,1.43,1.43,bt_tp
2025-08-07 03:00:00+00:00,22,XAUZ25.sim,BUY,0.10,3427.16000,3442.66760,1.55,1.55,bt_tp
2025-08-07 09:00:00+00:00,23,XAUZ25.sim,BUY,0.10,3440.93000,3455.09099,1.42,1.42,bt_tp
2025-08-07 10:00:00+00:00,24,XAUZ25.sim,SELL,0.10,3456.67000,3464.28251,-0.76,-0.76,bt_sl
2025-08-07 11:00:00+00:00,25,XAUZ25.sim,SELL,0.10,3469.05000,3451.79631,1.73,1.73,bt_tp
2025-08-07 15:00:00+00:00,26,XAUZ25.sim,SELL,0.10,3452.26000,3462.95126,-1.07,-1.07,bt_sl
2025-08-07 17:00:00+00:00,27,XAUZ25.sim,BUY,0.10,3451.17000,3439.63646,-1.15,-1.15,bt_sl
2025-08-07 23:00:00+00:00,28,XAUZ25.sim,BUY,0.10,3450.24000,3474.92214,2.47,2.47,bt_tp
2025-08-08 03:00:00+00:00,29,XAUZ25.sim,SELL,0.10,3488.55000,3502.78206,-1.42,-1.42,bt_sl
2025-08-08 13:00:00+00:00,30,XAUZ25.sim,SELL,0.10,3509.76000,3479.26935,3.05,3.05,bt_tp
2025-08-08 15:00:00+00:00,31,XAUZ25.sim,BUY,0.10,3471.95000,3502.23981,3.03,3.03,bt_tp
2025-08-08 21:00:00+00:00,32,XAUZ25.sim,SELL,0.10,3494.64000,3459.47173,3.52,3.52,bt_tp
2025-08-11 09:00:00+00:00,33,XAUZ25.sim,SELL,0.10,3459.86000,3430.10130,2.98,2.98,bt_tp
2025-08-11 15:00:00+00:00,34,XAUZ25.sim,SELL,0.10,3425.36000,3401.68789,2.37,2.37,bt_tp
2025-08-12 14:00:00+00:00,35,XAUZ25.sim,SELL,0.10,3411.56000,3388.00289,2.36,2.36,bt_tp
2025-08-12 17:00:00+00:00,36,XAUZ25.sim,BUY,0.10,3397.95000,3387.24758,-1.07,-1.07,bt_sl
2025-08-13 11:00:00+00:00,37,XAUZ25.sim,BUY,0.10,3387.03000,3411.89213,2.49,2.49,bt_tp
2025-08-14 10:00:00+00:00,38,XAUZ25.sim,SELL,0.10,3415.65000,3399.52291,1.61,1.61,bt_tp
2025-08-14 17:00:00+00:00,39,XAUZ25.sim,BUY,0.10,3394.43000,3385.74345,-0.87,-0.87,bt_sl
