symbol,side,entry,exit,size,opened_at,closed_at,pnl
US30Z25.sim,SELL,42116.00000,42558.60000,1.1297,1,30,-500.00
US30Z25.sim,BUY,42390.00000,42120.21956,1.8534,13,14,-500.00
US30Z25.sim,BUY,42408.00000,42257.10187,3.3135,25,26,-500.00
US30Z25.sim,BUY,42586.00000,42381.55029,2.4456,37,50,-500.00
US30Z25.sim,BUY,42363.00000,42641.62269,2.3927,49,80,666.67
US30Z25.sim,SELL,42382.00000,42458.15633,6.5654,61,67,-500.00
US30Z25.sim,BUY,42515.00000,42432.47456,6.0587,73,75,-500.00
US30Z25.sim,BUY,42449.00000,42305.66505,3.4883,85,86,-500.00
US30Z25.sim,BUY,43211.00000,43114.40016,5.1760,119,128,-500.00
US30Z25.sim,BUY,43394.00000,43315.69492,6.3853,142,175,-500.00
US30Z25.sim,BUY,43420.00000,43382.32710,13.2721,159,163,-500.00
US30Z25.sim,BUY,43424.00000,43376.49950,10.5262,171,173,-500.00
US30Z25.sim,SELL,43289.00000,43376.84619,5.6918,184,205,-500.00
US30Z25.sim,SELL,43320.00000,43371.63400,9.6835,196,205,-500.00
US30Z25.sim,BUY,43401.00000,43355.47871,10.9839,209,217,-500.00
US30Z25.sim,BUY,43820.00000,43883.27024,10.5368,254,262,666.67
US30Z25.sim,BUY,44063.00000,43934.21084,3.8823,273,274,-500.00
US30Z25.sim,BUY,44368.00000,44309.49166,8.5458,298,303,-500.00
US30Z25.sim,BUY,44367.00000,44310.51053,8.8512,310,311,-500.00
US30Z25.sim,SELL,44350.00000,44458.87829,4.5923,322,357,-500.00
US30Z25.sim,BUY,44414.00000,44353.47957,8.2617,334,336,-500.00
US30Z25.sim,BUY,44365.00000,44311.05235,9.2682,346,354,-500.00
US30Z25.sim,BUY,44796.00000,44940.72078,4.6066,372,389,666.67
US30Z25.sim,BUY,44873.00000,44941.81600,9.6877,386,389,666.67
US30Z25.sim,BUY,44912.00000,44858.95300,9.4256,398,399,-500.00
US30Z25.sim,SELL,44757.00000,44857.06040,4.9970,410,447,-500.00
US30Z25.sim,SELL,44799.00000,44851.92739,9.4469,422,446,-500.00
US30Z25.sim,BUY,44815.00000,44775.17892,12.5562,434,438,-500.00
US30Z25.sim,BUY,44823.00000,44885.39999,10.6838,446,447,666.67
US30Z25.sim,BUY,45062.00000,44967.66472,5.3002,458,470,-500.00
US30Z25.sim,BUY,44969.00000,44920.47978,10.3050,470,476,-500.00
US30Z25.sim,SELL,44866.00000,44930.38064,7.7663,482,506,-500.00
US30Z25.sim,SELL,44889.00000,44951.13080,8.0475,494,496,-500.00
US30Z25.sim,BUY,44939.00000,45029.26959,7.3853,506,516,666.67
US30Z25.sim,BUY,45017.00000,45097.69238,8.2618,518,519,666.67
US30Z25.sim,SELL,44616.00000,44809.83751,2.5795,537,619,-500.00
US30Z25.sim,SELL,44608.00000,44708.24529,4.9878,549,561,-500.00
US30Z25.sim,SELL,44702.00000,44622.79226,8.4167,561,563,666.67
US30Z25.sim,SELL,44612.00000,44504.89792,6.2246,573,575,666.67
US30Z25.sim,SELL,44503.00000,44617.76635,4.3567,585,615,-500.00
US30Z25.sim,SELL,44475.00000,44535.65155,8.2438,597,607,-500.00
US30Z25.sim,SELL,44531.00000,44584.53232,9.3402,609,610,-500.00
US30Z25.sim,BUY,44539.00000,44685.40031,4.5537,621,628,666.67
US30Z25.sim,BUY,44719.00000,44636.69858,6.0752,636,640,-500.00
US30Z25.sim,SELL,44610.00000,44654.92710,11.1291,648,659,-500.00
US30Z25.sim,BUY,44684.00000,44633.86517,9.9731,660,663,-500.00
US30Z25.sim,BUY,44907.00000,44803.32325,4.8227,677,684,-500.00
US30Z25.sim,SELL,44727.00000,44594.17733,5.0192,689,703,666.67
US30Z25.sim,SELL,44669.00000,44551.03465,5.6514,701,704,666.67
US30Z25.sim,SELL,44642.00000,44500.02584,4.6957,713,756,666.67
US30Z25.sim,SELL,44556.00000,44422.33762,4.9877,725,726,666.67
US30Z25.sim,SELL,44403.00000,44466.80631,7.8362,737,748,-500.00
US30Z25.sim,SELL,44462.00000,44540.00550,6.4098,749,756,-500.00
US30Z25.sim,BUY,44609.00000,44759.64371,4.4255,761,779,666.67
US30Z25.sim,BUY,44627.00000,44720.59014,7.1233,773,779,666.67
US30Z25.sim,BUY,44696.00000,44619.57378,6.5423,785,792,-500.00
US30Z25.sim,BUY,44686.00000,44617.90209,7.3424,797,800,-500.00
US30Z25.sim,SELL,44182.00000,44111.56933,9.4656,830,836,666.67
US30Z25.sim,SELL,44268.00000,44328.96044,8.2020,842,844,-500.00
US30Z25.sim,BUY,44258.00000,44537.60961,2.3843,854,895,666.67
US30Z25.sim,BUY,44384.00000,44507.05167,5.4178,866,895,666.67
US30Z25.sim,BUY,44402.00000,44458.73756,11.7500,878,880,666.67
US30Z25.sim,BUY,44378.00000,44460.82898,8.0487,890,893,666.67
US30Z25.sim,BUY,44618.00000,44790.64290,3.8615,902,913,666.67
US30Z25.sim,BUY,44790.00000,44739.37418,9.8764,928,934,-500.00
US30Z25.sim,BUY,44789.00000,44724.00109,7.6924,940,941,-500.00
US30Z25.sim,SELL,44522.00000,44627.65807,4.7322,952,972,-500.00
US30Z25.sim,SELL,44583.00000,44632.93102,10.0138,964,972,-500.00
US30Z25.sim,BUY,44667.00000,44616.79124,9.9584,976,981,-500.00
US30Z25.sim,BUY,44766.00000,44693.01937,6.8511,995,997,-500.00
US30Z25.sim,SELL,44604.00000,44530.04964,9.0151,1007,1021,666.67
US30Z25.sim,SELL,44568.00000,44521.29404,14.2737,1020,1021,666.67
US30Z25.sim,SELL,44491.00000,44555.90710,7.7033,1032,1033,-500.00
US30Z25.sim,BUY,44692.00000,44835.02525,4.6612,1044,1051,666.67
US30Z25.sim,BUY,44828.00000,44895.55113,9.8691,1065,1070,666.67
US30Z25.sim,BUY,44926.00000,44869.30919,8.8198,1079,1080,-500.00
US30Z25.sim,BUY,45138.00000,45030.36086,4.6452,1093,1120,-500.00
US30Z25.sim,BUY,45103.00000,45058.37496,11.2045,1105,1112,-500.00
US30Z25.sim,BUY,45087.00000,45041.95557,11.1002,1117,1120,-500.00
US30Z25.sim,SELL,45047.00000,44907.39308,4.7753,1129,1138,666.67
US30Z25.sim,SELL,44972.00000,44851.99699,5.5554,1141,1173,666.67
US30Z25.sim,BUY,45010.00000,44971.53144,12.9976,1153,1154,-500.00
US30Z25.sim,SELL,44941.00000,44981.63195,12.3056,1165,1172,-500.00
US30Z25.sim,SELL,44984.00000,45078.26331,5.3043,1177,1180,-500.00
US30Z25.sim,BUY,45236.00000,45194.46112,12.0369,1204,1206,-500.00
US30Z25.sim,SELL,45125.00000,45058.76917,10.0658,1216,1217,666.67
US30Z25.sim,SELL,45009.00000,45100.24082,5.4800,1230,1256,-500.00
US30Z25.sim,SELL,45042.00000,45087.62504,10.9589,1242,1248,-500.00
US30Z25.sim,BUY,45066.00000,45018.43444,10.5118,1254,1256,-500.00
US30Z25.sim,SELL,44868.00000,44718.32372,4.4541,1270,1313,666.67
US30Z25.sim,SELL,44795.00000,44866.33681,7.0090,1282,1294,-500.00
US30Z25.sim,SELL,44856.00000,44810.13185,14.5344,1294,1297,666.67
US30Z25.sim,SELL,44836.00000,44781.03270,12.1284,1306,1310,666.67
US30Z25.sim,SELL,44820.00000,44683.08721,4.8693,1318,1320,666.67
US30Z25.sim,SELL,44708.00000,44827.41811,4.1870,1330,1344,-500.00
US30Z25.sim,BUY,44765.00000,44843.12609,8.5332,1342,1344,666.67
US30Z25.sim,SELL,44722.00000,44634.18970,7.5921,1354,1356,666.67
US30Z25.sim,SELL,44489.00000,44257.31322,2.8774,1366,1368,666.67
US30Z25.sim,SELL,44270.00000,44130.62929,4.7834,1380,1388,666.67
US30Z25.sim,SELL,43793.00000,44015.41602,2.2480,1406,1439,-500.00
US30Z25.sim,SELL,43735.00000,43883.98352,3.3561,1418,1436,-500.00
US30Z25.sim,BUY,43830.00000,43928.83611,6.7452,1430,1436,666.67
US30Z25.sim,BUY,43953.50000,44053.34640,6.6769,1442,1448,666.67
US30Z25.sim,BUY,44185.00000,44350.20176,4.0355,1456,1461,666.67
US30Z25.sim,BUY,44348.00000,44276.58502,7.0013,1471,1489,-500.00
US30Z25.sim,BUY,44317.00000,44395.22314,8.5226,1483,1488,666.67
US30Z25.sim,BUY,44287.70000,44179.40656,4.6171,1495,1496,-500.00
US30Z25.sim,SELL,44238.00000,44356.90248,4.2051,1507,1520,-500.00
US30Z25.sim,BUY,44343.00000,44446.22132,6.4586,1519,1528,666.67
US30Z25.sim,BUY,44420.10000,44357.67863,8.0101,1531,1534,-500.00
US30Z25.sim,SELL,44334.00000,44486.95571,3.2689,1544,1579,-500.00
US30Z25.sim,SELL,44316.00000,44411.20344,5.2519,1556,1577,-500.00
US30Z25.sim,BUY,44350.00000,44418.78460,9.6921,1568,1577,666.67
US30Z25.sim,BUY,44509.00000,44427.31654,6.1212,1584,1588,-500.00
US30Z25.sim,SELL,44082.00000,44232.86664,3.3142,1600,1634,-500.00
US30Z25.sim,SELL,44203.00000,44113.15069,7.4198,1612,1618,666.67
US30Z25.sim,SELL,44125.00000,44182.57874,8.6838,1624,1627,-500.00
US30Z25.sim,BUY,44211.00000,44360.84624,4.4490,1636,1648,666.67
US30Z25.sim,BUY,44346.40000,44249.94447,5.1837,1648,1680,-500.00
US30Z25.sim,BUY,44358.00000,44307.70318,9.9410,1660,1668,-500.00
US30Z25.sim,BUY,44376.00000,44323.19105,9.4681,1672,1679,-500.00
US30Z25.sim,SELL,44244.20000,44091.33993,4.3613,1685,1687,666.67
US30Z25.sim,SELL,44065.30000,44144.31707,6.3277,1698,1708,-500.00
US30Z25.sim,SELL,44117.00000,44185.40274,7.3096,1710,1724,-500.00
US30Z25.sim,SELL,44084.00000,44142.46965,8.5514,1722,1724,-500.00
US30Z25.sim,BUY,44540.00000,44612.28620,9.2226,1746,1759,666.67
US30Z25.sim,BUY,44540.00000,44597.03435,11.6889,1758,1759,666.67
US30Z25.sim,BUY,44800.00000,44951.34008,4.4051,1774,1781,666.67
US30Z25.sim,BUY,45013.00000,44971.07885,11.9272,1799,1804,-500.00
US30Z25.sim,BUY,45044.00000,44997.20594,10.6851,1811,1813,-500.00
US30Z25.sim,SELL,44863.00000,44982.62316,4.1798,1823,1830,-500.00
US30Z25.sim,BUY,45296.00000,45235.37192,8.2470,1855,1862,-500.00
US30Z25.sim,SELL,45074.00000,44916.31403,4.2278,1869,1899,666.67
US30Z25.sim,SELL,45084.00000,44969.36439,5.8155,1881,1897,666.67
US30Z25.sim,SELL,45082.00000,45036.14665,14.5391,1893,1896,666.67
US30Z25.sim,SELL,44977.00000,45039.59570,7.9878,1905,1909,-500.00
US30Z25.sim,SELL,44999.00000,44871.01378,5.2089,1917,1950,666.67
US30Z25.sim,SELL,45004.10000,44922.78984,8.1991,1929,1940,666.67
US30Z25.sim,SELL,44916.00000,44960.71080,11.1830,1941,1946,-500.00
US30Z25.sim,BUY,45048.00000,45142.92063,7.0234,1953,1957,666.67
US30Z25.sim,BUY,44972.30000,44853.77687,4.2186,1965,2004,-500.00
US30Z25.sim,SELL,44979.30000,44884.29302,7.0170,1977,1983,666.67
US30Z25.sim,SELL,44902.00000,44963.00431,8.1961,1989,1998,-500.00
US30Z25.sim,BUY,44997.00000,44937.65359,8.4251,2001,2003,-500.00
US30Z25.sim,BUY,44965.00000,44816.67157,3.3709,2013,2042,-500.00
US30Z25.sim,BUY,44992.00000,44910.79541,6.1573,2025,2039,-500.00
US30Z25.sim,SELL,44942.00000,44866.69937,8.8534,2037,2040,666.67
US30Z25.sim,SELL,44927.00000,44751.31287,3.7946,2050,2056,666.67
US30Z25.sim,SELL,44882.00000,44999.19300,4.2665,2062,2087,-500.00
US30Z25.sim,BUY,44867.00000,44803.40841,7.8627,2074,2081,-500.00
US30Z25.sim,BUY,44984.00000,45058.49931,8.9486,2090,2094,666.67
US30Z25.sim,BUY,45663.20000,45605.46424,8.6601,2117,2134,-500.00
US30Z25.sim,BUY,45657.10000,45613.63226,11.5028,2129,2134,-500.00
US30Z25.sim,SELL,45598.30000,45517.73832,8.2752,2141,2142,666.67
US30Z25.sim,SELL,45408.10000,45319.41836,7.5175,2156,2160,666.67
US30Z25.sim,SELL,45299.00000,45208.82396,7.3929,2169,2174,666.67
US30Z25.sim,SELL,45289.00000,45352.93468,7.8205,2181,2187,-500.00
US30Z25.sim,BUY,45359.00000,45459.52727,6.6317,2193,2198,666.67
US30Z25.sim,BUY,45499.00000,45469.56538,16.9868,2216,2220,-500.00
US30Z25.sim,BUY,45504.10000,45461.78198,11.8153,2228,2232,-500.00
US30Z25.sim,BUY,45633.20000,45553.97581,6.3112,2245,2246,-500.00
US30Z25.sim,BUY,45702.00000,45770.16468,9.7802,2261,2265,666.67
US30Z25.sim,BUY,45706.00000,45651.32147,9.1444,2273,2279,-500.00
US30Z25.sim,SELL,45632.00000,45727.73116,5.2230,2285,2291,-500.00
US30Z25.sim,SELL,45652.00000,45568.07104,7.9432,2297,2314,666.67
US30Z25.sim,SELL,45631.10000,45585.80569,14.7186,2309,2313,666.67
US30Z25.sim,SELL,45557.00000,45595.89201,12.8561,2321,2323,-500.00
