symbol,side,entry,exit,size,opened_at,closed_at,pnl
US30Z25.sim,SELL,42115.00000,42544.20000,1.1650,1,15,-500.00
US30Z25.sim,BUY,42452.00000,42130.21421,1.5538,13,14,-500.00
US30Z25.sim,BUY,42400.00000,42796.35944,1.6820,25,44,666.67
US30Z25.sim,BUY,42501.00000,42689.11608,3.5439,37,41,666.67
US30Z25.sim,BUY,43397.00000,43322.52434,6.7136,83,87,-500.00
US30Z25.sim,BUY,43304.00000,43436.88836,5.0167,95,108,666.67
US30Z25.sim,BUY,43399.00000,43487.73115,7.5133,107,110,666.67
US30Z25.sim,BUY,43906.00000,44146.80771,2.7685,138,139,666.67
US30Z25.sim,BUY,44319.00000,44221.87080,5.1478,152,157,-500.00
US30Z25.sim,BUY,44335.00000,44507.48166,3.8651,164,179,666.67
US30Z25.sim,BUY,44344.00000,44451.10698,6.2243,176,179,666.67
US30Z25.sim,BUY,44876.00000,44773.03771,4.8561,196,201,-500.00
US30Z25.sim,BUY,44776.00000,44928.04897,4.3846,208,225,666.67
US30Z25.sim,BUY,44762.00000,44848.50120,7.7070,220,224,666.67
US30Z25.sim,BUY,45038.00000,44937.81152,4.9906,232,240,-500.00
US30Z25.sim,SELL,44862.00000,44955.54592,5.3450,244,250,-500.00
US30Z25.sim,BUY,44955.00000,45082.54941,5.2267,256,261,666.67
US30Z25.sim,SELL,44677.00000,44879.04863,2.4747,271,335,-500.00
US30Z25.sim,SELL,44636.00000,44489.61905,4.5543,283,289,666.67
US30Z25.sim,SELL,44507.00000,44634.84611,3.9110,295,309,-500.00
US30Z25.sim,SELL,44574.00000,44662.69645,5.6372,307,310,-500.00
US30Z25.sim,BUY,44743.00000,44611.91869,3.8144,319,324,-500.00
US30Z25.sim,BUY,44655.00000,44755.59675,6.6271,331,334,666.67
US30Z25.sim,BUY,44937.00000,44828.08307,4.5907,343,344,-500.00
US30Z25.sim,SELL,44644.00000,44469.29851,3.8160,355,376,666.67
US30Z25.sim,SELL,44453.00000,44567.92315,4.3507,374,380,-500.00
US30Z25.sim,BUY,44674.00000,44558.83823,4.3417,387,403,-500.00
US30Z25.sim,BUY,44662.00000,44558.48232,4.8301,399,403,-500.00
US30Z25.sim,SELL,44197.00000,44299.37281,4.8841,420,424,-500.00
US30Z25.sim,BUY,44456.00000,44697.17426,2.7643,432,449,666.67
US30Z25.sim,BUY,44409.00000,44522.01105,5.8991,444,449,666.67
US30Z25.sim,BUY,44770.00000,44680.53699,5.5889,466,472,-500.00
US30Z25.sim,SELL,44538.00000,44674.56670,3.6612,478,489,-500.00
US30Z25.sim,SELL,44669.00000,44567.92659,6.5959,490,495,666.67
US30Z25.sim,BUY,44591.00000,44471.00292,4.1668,502,516,-500.00
US30Z25.sim,SELL,44543.00000,44455.93546,7.6572,514,516,666.67
US30Z25.sim,BUY,44727.00000,44862.99834,4.9020,527,536,666.67
US30Z25.sim,BUY,44884.00000,45018.83161,4.9444,542,544,666.67
US30Z25.sim,BUY,45113.00000,45021.75744,5.4799,554,562,-500.00
US30Z25.sim,BUY,45064.00000,44939.51381,4.0165,566,570,-500.00
US30Z25.sim,SELL,45022.00000,44910.94713,6.0031,578,582,666.67
US30Z25.sim,SELL,44926.00000,45038.38223,4.4491,590,592,-500.00
US30Z25.sim,BUY,45206.00000,45124.78300,6.1563,605,608,-500.00
US30Z25.sim,SELL,45009.00000,44839.60733,3.9356,617,635,666.67
US30Z25.sim,SELL,45066.00000,44968.20054,6.8167,629,630,666.67
US30Z25.sim,SELL,44799.00000,44625.41639,3.8406,642,662,666.67
US30Z25.sim,SELL,44834.00000,44743.01559,7.3273,654,657,666.67
US30Z25.sim,SELL,44698.00000,44446.19963,2.6476,666,684,666.67
US30Z25.sim,SELL,44718.00000,44577.73912,4.7530,678,681,666.67
US30Z25.sim,SELL,43735.00000,43967.54667,2.1501,711,721,-500.00
US30Z25.sim,SELL,43953.50000,44084.94266,3.8039,723,726,-500.00
US30Z25.sim,BUY,44317.00000,44221.89752,5.2575,744,751,-500.00
US30Z25.sim,BUY,44238.00000,44458.00191,3.0303,756,768,666.67
US30Z25.sim,BUY,44400.20000,44299.57694,4.9690,769,774,-500.00
US30Z25.sim,BUY,44316.00000,44497.62437,3.6706,781,793,666.67
US30Z25.sim,BUY,44509.00000,44395.54575,4.4071,795,798,-500.00
US30Z25.sim,SELL,44195.00000,44348.97732,3.2472,807,821,-500.00
US30Z25.sim,SELL,44141.30000,44233.80792,5.4049,819,820,-500.00
US30Z25.sim,BUY,44400.00000,44286.24295,4.3953,831,843,-500.00
US30Z25.sim,BUY,44274.00000,44165.42559,4.6051,843,844,-500.00
US30Z25.sim,SELL,44124.00000,44225.65175,4.9188,855,865,-500.00
US30Z25.sim,BUY,44506.00000,44635.12837,5.1628,877,884,666.67
US30Z25.sim,BUY,44974.30000,44900.40260,6.7661,906,912,-500.00
US30Z25.sim,BUY,44943.00000,45124.58515,3.6714,918,920,666.67
US30Z25.sim,BUY,45253.00000,45159.63611,5.3554,932,936,-500.00
US30Z25.sim,SELL,45084.00000,44913.35629,3.9068,944,953,666.67
US30Z25.sim,SELL,44977.00000,45072.58667,5.2309,956,959,-500.00
US30Z25.sim,SELL,45004.10000,44873.55494,5.1068,968,979,666.67
US30Z25.sim,SELL,45048.00000,45143.50368,5.2354,980,982,-500.00
US30Z25.sim,SELL,44979.30000,45087.70635,4.6123,992,1005,-500.00
US30Z25.sim,SELL,44997.00000,45079.88755,6.0323,1004,1005,-500.00
US30Z25.sim,BUY,44992.00000,44871.20095,4.1391,1016,1023,-500.00
US30Z25.sim,SELL,44911.10000,45063.15419,3.2883,1029,1051,-500.00
US30Z25.sim,SELL,44865.10000,44966.39997,4.9358,1041,1046,-500.00
US30Z25.sim,BUY,45640.00000,45561.40559,6.3618,1069,1073,-500.00
US30Z25.sim,SELL,45397.20000,45264.65043,5.0296,1081,1084,666.67
US30Z25.sim,SELL,45296.20000,45391.95967,5.2214,1093,1101,-500.00
US30Z25.sim,BUY,45504.00000,45622.53314,5.6243,1106,1120,666.67
US30Z25.sim,BUY,45503.00000,45583.38194,8.2937,1118,1120,666.67
US30Z25.sim,BUY,45734.10000,45644.55646,5.5839,1138,1143,-500.00
US30Z25.sim,BUY,45658.30000,45544.08104,4.3776,1150,1161,-500.00
US30Z25.sim,SELL,45549.10000,45615.02315,7.5846,1162,1165,-500.00
US30Z25.sim,BUY,45708.00000,45599.23359,4.5970,1174,1179,-500.00
US30Z25.sim,BUY,45618.00000,45528.17655,5.5665,1186,1189,-500.00
US30Z25.sim,SELL,45590.00000,45485.02912,6.3510,1198,1202,666.67
US30Z25.sim,SELL,45165.00000,45367.78327,2.4657,1211,1215,-500.00
US30Z25.sim,SELL,45171.20000,45274.59483,4.8358,1223,1225,-500.00
US30Z25.sim,SELL,45067.00000,45235.98585,2.9588,1235,1237,-500.00
US30Z25.sim,SELL,45253.40000,45357.58550,4.7991,1247,1254,-500.00
US30Z25.sim,BUY,45653.20000,45585.98158,7.4384,1273,1276,-500.00
US30Z25.sim,SELL,45518.00000,45705.27801,2.6698,1285,1325,-500.00
US30Z25.sim,SELL,45529.00000,45415.19242,5.8578,1297,1300,666.67
US30Z25.sim,BUY,45609.00000,45477.93565,3.8149,1309,1324,-500.00
US30Z25.sim,BUY,45622.00000,45536.42004,5.8425,1321,1323,-500.00
US30Z25.sim,BUY,45683.00000,45832.36936,4.4632,1333,1345,666.67
US30Z25.sim,BUY,45754.20000,45653.21752,4.9514,1345,1346,-500.00
US30Z25.sim,SELL,45584.00000,45700.79876,4.2809,1357,1369,-500.00
US30Z25.sim,BUY,46320.00000,46211.80229,4.6212,1393,1398,-500.00
US30Z25.sim,BUY,46212.00000,46301.89928,7.4157,1405,1410,666.67
US30Z25.sim,BUY,46174.00000,46048.97030,3.9990,1417,1439,-500.00
US30Z25.sim,BUY,46283.00000,46210.61883,6.9079,1429,1437,-500.00
US30Z25.sim,SELL,46135.00000,46251.05772,4.3082,1441,1461,-500.00
US30Z25.sim,SELL,46095.00000,46160.03769,7.6879,1453,1460,-500.00
US30Z25.sim,BUY,46396.60000,46254.04372,3.5074,1465,1466,-500.00
US30Z25.sim,BUY,46519.00000,46678.06314,4.1912,1477,1479,666.67
US30Z25.sim,BUY,46540.10000,46807.73294,2.4910,1489,1553,666.67
US30Z25.sim,BUY,46479.00000,46639.82412,4.1453,1501,1507,666.67
US30Z25.sim,BUY,46649.00000,46510.46631,3.6092,1513,1524,-500.00
US30Z25.sim,BUY,46519.00000,46429.71440,5.6000,1525,1530,-500.00
US30Z25.sim,BUY,46708.00000,46854.97310,4.5360,1537,1553,666.67
US30Z25.sim,BUY,46758.20000,46851.75119,7.1262,1550,1553,666.67
US30Z25.sim,SELL,46655.00000,46773.40448,4.2228,1562,1576,-500.00
US30Z25.sim,SELL,46664.00000,46738.12362,6.7455,1574,1576,-500.00
US30Z25.sim,SELL,46505.10000,46380.51593,5.3511,1586,1597,666.67
US30Z25.sim,SELL,46425.00000,46220.92712,3.2668,1600,1603,666.67
US30Z25.sim,SELL,46275.00000,46388.21630,4.4163,1612,1617,-500.00
US30Z25.sim,BUY,46406.00000,46665.45053,2.5695,1624,1635,666.67
US30Z25.sim,BUY,46678.00000,46583.35737,5.2830,1636,1645,-500.00
US30Z25.sim,BUY,46493.20000,46672.38872,3.7205,1648,1674,666.67
US30Z25.sim,BUY,46592.00000,46508.42090,5.9824,1660,1662,-500.00
US30Z25.sim,SELL,46468.00000,46626.86667,3.1473,1672,1674,-500.00
US30Z25.sim,SELL,46380.20000,46494.41853,4.3776,1685,1689,-500.00
US30Z25.sim,BUY,46723.00000,46564.05403,3.1457,1697,1716,-500.00
