symbol,side,entry,exit,size,opened_at,closed_at,pnl
US30Z25.sim,SELL,42115.00000,42544.20000,1.1650,1,5,-500.00
US30Z25.sim,BUY,42914.00000,43575.06735,1.0085,13,30,666.67
US30Z25.sim,BUY,44853.00000,44640.99540,2.3584,64,71,-500.00
US30Z25.sim,BUY,44624.00000,44928.52175,2.1892,76,89,666.67
US30Z25.sim,SELL,44649.00000,44855.43210,2.4221,88,89,-500.00
US30Z25.sim,SELL,44452.00000,44666.40377,2.3320,100,101,-500.00
US30Z25.sim,SELL,44393.00000,44061.22805,2.0094,112,113,666.67
US30Z25.sim,BUY,44791.00000,44584.99449,2.4271,124,125,-500.00
US30Z25.sim,BUY,44521.00000,44781.36833,2.5605,136,139,666.67
US30Z25.sim,BUY,44896.00000,45171.63086,2.4187,148,159,666.67
US30Z25.sim,BUY,45125.00000,44934.13176,2.6196,160,162,-500.00
US30Z25.sim,SELL,44821.00000,44591.71111,2.9075,172,174,666.67
US30Z25.sim,SELL,43987.00000,44323.94071,1.4839,189,192,-500.00
US30Z25.sim,SELL,44400.20000,44050.17452,1.9046,201,209,666.67
US30Z25.sim,SELL,44125.00000,44396.67511,1.8404,213,218,-500.00
US30Z25.sim,SELL,44129.00000,44335.73013,2.4186,225,226,-500.00
US30Z25.sim,BUY,44874.00000,45178.98246,2.1859,238,241,666.67
US30Z25.sim,BUY,45044.10000,44831.83696,2.3556,250,263,-500.00
US30Z25.sim,BUY,44997.00000,44786.39910,2.3742,262,269,-500.00
US30Z25.sim,SELL,44986.00000,45203.37966,2.3001,274,275,-500.00
US30Z25.sim,BUY,45312.30000,45610.43192,2.2361,286,293,666.67
US30Z25.sim,BUY,45632.00000,45440.85621,2.6158,299,305,-500.00
US30Z25.sim,BUY,45633.40000,45438.31979,2.5630,311,314,-500.00
US30Z25.sim,SELL,45273.00000,45569.51118,1.6863,323,328,-500.00
US30Z25.sim,BUY,45465.00000,45867.55112,1.6561,335,358,666.67
US30Z25.sim,BUY,45703.00000,45470.52165,2.1507,347,352,-500.00
US30Z25.sim,BUY,46191.00000,46512.04097,2.0766,365,383,666.67
US30Z25.sim,BUY,46140.00000,46398.18428,2.5821,377,382,666.67
US30Z25.sim,BUY,46549.50000,46977.65023,1.5571,389,406,666.67
US30Z25.sim,BUY,46708.00000,47034.36163,2.0427,401,406,666.67
US30Z25.sim,BUY,46482.00000,46251.80926,2.1721,413,418,-500.00
US30Z25.sim,SELL,46560.10000,46813.55568,1.9727,425,442,-500.00
US30Z25.sim,BUY,46597.00000,46338.94243,1.9376,437,440,-500.00
US30Z25.sim,BUY,46801.00000,47119.29713,2.0945,449,454,666.67
US30Z25.sim,BUY,46960.00000,46685.19049,1.8194,461,478,-500.00
US30Z25.sim,BUY,46876.00000,46625.78044,1.9982,473,478,-500.00
US30Z25.sim,SELL,46079.20000,46594.98385,0.9694,486,496,-500.00
US30Z25.sim,SELL,46551.40000,45885.95697,1.0018,498,512,666.67
US30Z25.sim,SELL,46062.90000,46462.75273,1.2505,510,515,-500.00
US30Z25.sim,BUY,46944.50000,46640.35935,1.6440,522,534,-500.00
US30Z25.sim,BUY,46690.90000,47079.92662,1.7137,534,543,666.67
US30Z25.sim,BUY,47776.40000,48061.01448,2.3423,560,562,666.67
US30Z25.sim,BUY,47731.25000,47417.54070,1.5938,572,580,-500.00
US30Z25.sim,SELL,47206.30000,47521.79321,1.5848,585,592,-500.00
US30Z25.sim,SELL,47433.75000,47091.39068,1.9473,597,598,666.67
