symbol,side,entry,exit,size,opened_at,closed_at,pnl
US100Z25.sim,SELL,21702.75000,21759.41667,8.8235,1,3,-500.00
US100Z25.sim,BUY,21905.50000,21974.40711,7.2561,13,30,500.00
US100Z25.sim,BUY,21885.25000,21952.70347,7.4125,25,30,500.00
US100Z25.sim,BUY,21857.25000,21691.97905,3.0253,37,49,-500.00
US100Z25.sim,SELL,21736.75000,21922.04815,2.6984,49,69,-500.00
US100Z25.sim,SELL,21766.50000,21838.51294,6.9432,61,67,-500.00
US100Z25.sim,BUY,21871.10000,21789.34969,6.1162,73,76,-500.00
US100Z25.sim,BUY,21860.25000,21990.39369,3.8419,85,87,500.00
US100Z25.sim,BUY,22303.50000,22389.02050,5.8466,117,132,500.00
US100Z25.sim,BUY,22314.85000,22402.92513,5.6770,129,133,500.00
US100Z25.sim,BUY,22395.75000,22446.96838,9.7621,143,164,500.00
US100Z25.sim,BUY,22424.80000,22458.63173,14.7790,155,168,500.00
US100Z25.sim,BUY,22447.80000,22488.11501,12.4023,167,169,500.00
US100Z25.sim,BUY,22442.00000,22512.88915,7.0533,179,204,500.00
US100Z25.sim,BUY,22464.25000,22525.79844,8.1237,191,205,500.00
US100Z25.sim,BUY,22511.00000,22543.07917,15.5864,203,206,500.00
US100Z25.sim,BUY,22554.25000,22502.22416,9.6106,217,219,-500.00
US100Z25.sim,BUY,22666.75000,22719.53090,9.4731,239,250,500.00
US100Z25.sim,BUY,22732.25000,22772.46498,12.4332,258,261,500.00
US100Z25.sim,BUY,22796.50000,22719.19264,6.4677,270,273,-500.00
US100Z25.sim,BUY,22832.50000,22928.25588,5.2216,282,323,500.00
US100Z25.sim,BUY,22867.50000,22913.68813,10.8253,294,303,500.00
US100Z25.sim,BUY,22898.75000,22847.65006,9.7847,306,311,-500.00
US100Z25.sim,SELL,22836.25000,22905.00764,7.2719,318,323,-500.00
US100Z25.sim,BUY,22893.25000,22827.33394,7.5854,330,342,-500.00
US100Z25.sim,SELL,22835.10000,22794.46886,12.3058,342,354,500.00
US100Z25.sim,SELL,22793.75000,22733.19142,8.2565,355,359,500.00
US100Z25.sim,SELL,22702.25000,22592.26205,4.5460,367,402,500.00
US100Z25.sim,SELL,22709.85000,22761.75980,9.6321,379,385,-500.00
