symbol,side,entry,exit,size,opened_at,closed_at,pnl
US100Z25.sim,SELL,21702.50000,21767.55000,7.6864,1,2,-500.00
US100Z25.sim,BUY,21899.50000,22000.00631,6.6331,13,15,666.67
US100Z25.sim,BUY,21758.25000,21988.25617,2.8985,25,41,666.67
US100Z25.sim,BUY,21857.25000,21760.45143,5.1654,37,40,-500.00
US100Z25.sim,BUY,22285.25000,22407.54194,5.4514,63,67,666.67
US100Z25.sim,BUY,22443.35000,22529.58906,7.7304,89,103,666.67
US100Z25.sim,BUY,22543.00000,22628.04669,7.8388,110,113,666.67
US100Z25.sim,BUY,22731.25000,22801.75884,9.4551,132,134,666.67
US100Z25.sim,BUY,22821.75000,22731.75240,5.5557,144,180,-500.00
US100Z25.sim,BUY,22826.30000,22917.33976,7.3228,156,162,666.67
US100Z25.sim,BUY,22877.75000,22813.31911,7.7603,168,175,-500.00
US100Z25.sim,SELL,22742.00000,22601.01967,4.7288,183,202,666.67
US100Z25.sim,SELL,22768.25000,22687.92972,8.3001,195,200,666.67
US100Z25.sim,BUY,22824.85000,22941.48029,5.7161,207,226,666.67
US100Z25.sim,BUY,22853.25000,22916.08519,10.6098,221,225,666.67
US100Z25.sim,BUY,23014.25000,22960.21988,9.2541,236,241,-500.00
US100Z25.sim,SELL,22935.75000,22993.53791,8.6523,248,251,-500.00
US100Z25.sim,BUY,22948.80000,22892.41586,8.8677,260,267,-500.00
US100Z25.sim,SELL,22883.50000,22980.50955,5.1541,272,312,-500.00
US100Z25.sim,BUY,22947.50000,22884.66153,7.9569,284,289,-500.00
US100Z25.sim,SELL,22904.30000,22977.03844,6.8739,296,312,-500.00
US100Z25.sim,SELL,22925.30000,22978.82585,9.3413,308,312,-500.00
US100Z25.sim,BUY,23056.65000,22978.43684,6.3928,320,327,-500.00
US100Z25.sim,BUY,23043.35000,22994.37306,10.2089,332,335,-500.00
US100Z25.sim,BUY,23043.75000,22978.62074,7.6770,344,345,-500.00
US100Z25.sim,SELL,22907.60000,22981.48857,6.7669,356,359,-500.00
US100Z25.sim,SELL,22850.25000,22939.01933,5.6326,368,381,-500.00
US100Z25.sim,SELL,22898.00000,22954.66641,8.8236,380,381,-500.00
US100Z25.sim,BUY,23055.00000,23181.97013,5.2506,393,401,666.67
US100Z25.sim,BUY,23099.00000,23009.00598,5.5559,405,412,-500.00
US100Z25.sim,SELL,23015.00000,23085.85387,7.0568,417,427,-500.00
US100Z25.sim,SELL,22989.95000,23108.83555,4.2057,429,443,-500.00
US100Z25.sim,BUY,23040.30000,23114.53864,8.9800,441,443,666.67
US100Z25.sim,BUY,23268.27000,23226.21757,11.8899,467,474,-500.00
US100Z25.sim,BUY,23225.27000,23312.12236,7.6759,479,496,666.67
US100Z25.sim,BUY,23288.78000,23249.71854,12.8003,491,495,-500.00
US100Z25.sim,BUY,23346.25000,23287.47956,8.5077,503,513,-500.00
US100Z25.sim,SELL,23281.25000,23327.70837,10.7623,515,517,-500.00
US100Z25.sim,SELL,23181.25000,23262.11820,6.1829,527,528,-500.00
US100Z25.sim,SELL,23260.25000,23193.64795,10.0097,539,542,666.67
US100Z25.sim,BUY,23400.00000,23319.26669,6.1932,551,566,-500.00
US100Z25.sim,BUY,23385.56000,23338.41542,10.6057,563,564,-500.00
US100Z25.sim,BUY,23413.75000,23358.14404,8.9918,575,582,-500.00
