symbol,side,entry,exit,size,opened_at,closed_at,pnl
US500Z25.sim,SELL,5971.50000,5990.03333,26.9784,1,27,-500.00
US500Z25.sim,BUY,5974.50000,5986.79826,40.6562,13,27,500.00
US500Z25.sim,BUY,5975.00000,5991.13511,30.9883,25,27,500.00
US500Z25.sim,BUY,5983.00000,6012.62550,16.8774,37,63,500.00
US500Z25.sim,BUY,5998.85000,6026.30307,18.2129,49,65,500.00
US500Z25.sim,BUY,6008.25000,6021.39309,38.0428,62,64,500.00
US500Z25.sim,BUY,6014.95000,6033.47129,26.9960,74,77,500.00
US500Z25.sim,BUY,6059.55000,6096.64479,13.4790,86,92,500.00
US500Z25.sim,BUY,6127.40000,6146.69863,25.9086,115,129,500.00
US500Z25.sim,BUY,6144.10000,6160.17249,31.1091,135,201,500.00
US500Z25.sim,BUY,6142.25000,6151.27382,55.4089,147,160,500.00
US500Z25.sim,BUY,6148.00000,6156.66364,57.7125,159,167,500.00
US500Z25.sim,BUY,6152.85000,6140.16644,39.4211,171,173,-500.00
US500Z25.sim,SELL,6145.60000,6158.84288,37.7561,183,201,-500.00
US500Z25.sim,BUY,6152.40000,6160.70908,60.1752,195,201,500.00
US500Z25.sim,BUY,6162.75000,6171.28223,58.6013,207,216,500.00
US500Z25.sim,BUY,6195.40000,6206.83827,43.7129,235,246,500.00
US500Z25.sim,BUY,6208.25000,6216.46178,60.8881,254,257,500.00
US500Z25.sim,BUY,6228.75000,6213.41614,32.6076,268,269,-500.00
US500Z25.sim,BUY,6238.75000,6258.02592,25.9391,280,319,500.00
US500Z25.sim,BUY,6250.60000,6240.80858,51.0651,293,307,-500.00
US500Z25.sim,BUY,6245.00000,6235.32592,51.6845,305,307,-500.00
US500Z25.sim,SELL,6243.10000,6262.16557,26.2253,317,319,-500.00
US500Z25.sim,BUY,6257.25000,6244.17669,38.2459,329,335,-500.00
US500Z25.sim,SELL,6243.40000,6233.11081,48.5947,341,350,500.00
US500Z25.sim,SELL,6244.30000,6229.29222,33.3160,353,356,500.00
US500Z25.sim,BUY,6248.55000,6271.54020,21.7484,365,410,500.00
US500Z25.sim,BUY,6258.75000,6246.72361,41.5752,377,395,-500.00
US500Z25.sim,BUY,6254.75000,6243.42258,44.1407,389,396,-500.00
US500Z25.sim,SELL,6259.50000,6276.91442,28.7118,401,413,-500.00
US500Z25.sim,BUY,6273.60000,6285.84800,40.8230,414,443,500.00
US500Z25.sim,BUY,6282.00000,6272.93835,55.1776,426,438,-500.00
