symbol,side,entry,exit,size,opened_at,closed_at,pnl
US500Z25.sim,SELL,5971.50000,5985.40000,35.9712,1,20,-500.00
US500Z25.sim,BUY,5974.50000,5965.27631,54.2082,13,21,-500.00
US500Z25.sim,BUY,5975.00000,5991.13511,41.3178,25,27,666.67
US500Z25.sim,BUY,5983.00000,5960.78087,22.5031,37,39,-500.00
US500Z25.sim,BUY,5998.85000,6026.30307,24.2839,49,65,666.67
US500Z25.sim,BUY,6008.25000,6021.39309,50.7237,62,64,666.67
US500Z25.sim,BUY,6014.95000,6033.47129,35.9946,74,77,666.67
US500Z25.sim,BUY,6059.55000,6096.64479,17.9720,86,92,666.67
US500Z25.sim,BUY,6127.40000,6112.92603,34.5448,115,124,-500.00
US500Z25.sim,BUY,6144.10000,6132.04563,41.4787,135,177,-500.00
US500Z25.sim,BUY,6142.25000,6151.27382,73.8786,147,160,666.67
US500Z25.sim,BUY,6148.00000,6141.50227,76.9500,159,162,-500.00
US500Z25.sim,BUY,6152.85000,6143.33733,52.5615,171,173,-500.00
US500Z25.sim,SELL,6145.60000,6155.53216,50.3415,183,199,-500.00
US500Z25.sim,BUY,6152.40000,6160.70908,80.2336,195,201,666.67
US500Z25.sim,BUY,6162.75000,6171.28223,78.1351,207,216,666.67
US500Z25.sim,BUY,6195.40000,6206.83827,58.2839,235,246,666.67
US500Z25.sim,BUY,6208.25000,6216.46178,81.1842,254,257,666.67
US500Z25.sim,BUY,6228.75000,6217.24960,43.4768,268,269,-500.00
US500Z25.sim,BUY,6238.75000,6224.29306,34.5855,280,315,-500.00
US500Z25.sim,BUY,6250.60000,6243.25643,68.0868,293,305,-500.00
US500Z25.sim,BUY,6245.00000,6237.74444,68.9127,305,307,-500.00
US500Z25.sim,SELL,6243.10000,6257.39918,34.9670,317,319,-500.00
US500Z25.sim,BUY,6257.25000,6247.44502,50.9945,329,332,-500.00
US500Z25.sim,SELL,6243.40000,6233.11081,64.7929,341,350,666.67
US500Z25.sim,SELL,6244.30000,6229.29222,44.4214,353,356,666.67
US500Z25.sim,BUY,6248.55000,6271.54020,28.9979,365,410,666.67
US500Z25.sim,BUY,6258.75000,6249.73020,55.4336,377,395,-500.00
US500Z25.sim,BUY,6254.75000,6246.25444,58.8543,389,395,-500.00
US500Z25.sim,SELL,6259.50000,6272.56081,38.2825,401,410,-500.00
US500Z25.sim,BUY,6273.60000,6285.84800,54.4307,414,443,666.67
US500Z25.sim,BUY,6282.00000,6275.20376,73.5701,426,435,-500.00
US500Z25.sim,BUY,6274.00000,6283.10498,73.2200,438,442,666.67
US500Z25.sim,BUY,6315.10000,6305.87054,54.1743,457,466,-500.00
US500Z25.sim,BUY,6308.15000,6301.82811,79.0903,469,472,-500.00
US500Z25.sim,SELL,6285.05000,6295.45622,48.0482,481,498,-500.00
US500Z25.sim,SELL,6300.50000,6312.50870,41.6365,493,520,-500.00
US500Z25.sim,BUY,6297.30000,6309.01153,56.9239,505,516,666.67
US500Z25.sim,BUY,6305.00000,6296.39326,58.0940,517,524,-500.00
US500Z25.sim,SELL,6269.50000,6293.78356,20.5901,533,614,-500.00
US500Z25.sim,SELL,6271.85000,6285.26525,37.2710,545,557,-500.00
US500Z25.sim,BUY,6286.75000,6277.65604,54.9815,557,561,-500.00
US500Z25.sim,BUY,6273.90000,6264.37458,52.4911,569,570,-500.00
US500Z25.sim,SELL,6270.50000,6284.33641,36.1365,581,611,-500.00
US500Z25.sim,SELL,6266.80000,6274.78442,62.6219,593,606,-500.00
US500Z25.sim,BUY,6280.15000,6291.09997,60.8829,607,614,666.67
US500Z25.sim,BUY,6286.25000,6308.79339,29.5726,619,627,666.67
US500Z25.sim,BUY,6306.00000,6295.71511,48.6150,632,636,-500.00
US500Z25.sim,BUY,6292.75000,6300.59445,84.9858,644,651,666.67
US500Z25.sim,BUY,6305.60000,6298.36875,69.1443,656,661,-500.00
US500Z25.sim,BUY,6324.75000,6313.48512,44.3857,673,681,-500.00
US500Z25.sim,SELL,6300.25000,6280.67904,34.0641,685,700,666.67
US500Z25.sim,SELL,6290.50000,6302.75014,40.8159,697,709,-500.00
US500Z25.sim,SELL,6303.30000,6283.79332,34.1763,709,750,666.67
US500Z25.sim,BUY,6294.50000,6280.40145,35.4646,721,744,-500.00
US500Z25.sim,SELL,6272.00000,6281.48890,52.6931,733,745,-500.00
US500Z25.sim,SELL,6282.25000,6292.31470,49.6786,745,753,-500.00
US500Z25.sim,BUY,6301.40000,6318.32579,39.3876,759,776,666.67
US500Z25.sim,BUY,6302.00000,6312.46018,63.7338,771,776,666.67
US500Z25.sim,BUY,6327.15000,6339.57336,53.6624,787,794,666.67
US500Z25.sim,BUY,6338.00000,6326.53504,43.6112,799,800,-500.00
US500Z25.sim,SELL,6294.80000,6273.85962,31.8364,811,813,666.67
US500Z25.sim,SELL,6276.25000,6262.62486,48.9292,823,833,666.67
US500Z25.sim,SELL,6275.00000,6284.16888,54.5323,835,843,-500.00
US500Z25.sim,BUY,6285.75000,6272.45945,37.6207,847,849,-500.00
US500Z25.sim,BUY,6297.50000,6320.07914,29.5258,859,892,666.67
US500Z25.sim,BUY,6291.75000,6301.58098,67.8128,871,876,666.67
US500Z25.sim,BUY,6306.83000,6299.13163,64.9488,884,887,-500.00
US500Z25.sim,BUY,6348.58000,6343.22400,93.3533,925,931,-500.00
US500Z25.sim,BUY,6351.58000,6344.77721,73.4993,937,938,-500.00
US500Z25.sim,SELL,6332.61000,6343.58013,45.5783,949,959,-500.00
US500Z25.sim,BUY,6342.60000,6350.18728,87.8663,961,971,666.67
US500Z25.sim,BUY,6351.75000,6346.04726,87.6772,974,982,-500.00
US500Z25.sim,BUY,6365.85000,6356.35784,52.6750,989,995,-500.00
US500Z25.sim,SELL,6348.30000,6338.17615,65.8511,1001,1018,666.67
US500Z25.sim,SELL,6340.30000,6345.19915,102.0585,1013,1017,-500.00
US500Z25.sim,SELL,6340.10000,6346.33844,80.1482,1025,1026,-500.00
US500Z25.sim,SELL,6347.60000,6361.87603,35.0237,1037,1047,-500.00
US500Z25.sim,BUY,6351.00000,6368.78724,37.4800,1049,1065,666.67
US500Z25.sim,BUY,6362.00000,6370.93227,74.6358,1061,1066,666.67
US500Z25.sim,BUY,6370.65000,6363.59950,70.9170,1073,1076,-500.00
US500Z25.sim,BUY,6400.15000,6394.06089,82.1138,1102,1110,-500.00
US500Z25.sim,BUY,6403.00000,6397.81355,96.4050,1114,1115,-500.00
US500Z25.sim,BUY,6411.50000,6401.02976,47.7544,1126,1127,-500.00
US500Z25.sim,BUY,6409.75000,6423.70387,47.7765,1138,1173,666.67
US500Z25.sim,BUY,6411.25000,6405.13319,81.7420,1150,1155,-500.00
US500Z25.sim,SELL,6409.05000,6402.17760,97.0064,1162,1167,666.67
US500Z25.sim,BUY,6425.10000,6435.19628,66.0309,1181,1208,666.67
US500Z25.sim,BUY,6447.10000,6441.91987,96.5227,1201,1205,-500.00
US500Z25.sim,SELL,6430.85000,6419.53488,58.9182,1215,1217,666.67
US500Z25.sim,SELL,6423.90000,6433.76140,50.7027,1227,1244,-500.00
US500Z25.sim,SELL,6430.15000,6435.21852,98.6481,1239,1248,-500.00
US500Z25.sim,BUY,6437.25000,6431.85904,92.7478,1251,1260,-500.00
US500Z25.sim,SELL,6415.00000,6396.90002,36.8324,1266,1272,666.67
US500Z25.sim,SELL,6407.75000,6415.54563,64.1385,1278,1288,-500.00
US500Z25.sim,SELL,6415.00000,6408.87235,108.7965,1290,1294,666.67
US500Z25.sim,SELL,6414.50000,6407.17880,91.0598,1302,1304,666.67
US500Z25.sim,BUY,6414.50000,6403.88215,47.0905,1314,1317,-500.00
US500Z25.sim,BUY,6443.65000,6468.18643,27.1705,1326,1341,666.67
US500Z25.sim,BUY,6454.35000,6465.51283,59.7220,1338,1341,666.67
US500Z25.sim,BUY,6453.85000,6444.85319,55.5752,1350,1353,-500.00
US500Z25.sim,SELL,6366.50000,6344.21992,29.9221,1377,1387,666.67
US500Z25.sim,SELL,6317.30000,6296.12470,31.4832,1397,1400,666.67
US500Z25.sim,SELL,6263.00000,6293.49068,16.3985,1409,1433,-500.00
US500Z25.sim,SELL,6278.35000,6296.28408,27.8799,1421,1434,-500.00
US500Z25.sim,BUY,6294.50000,6310.81519,40.8617,1433,1446,666.67
US500Z25.sim,BUY,6303.25000,6317.12892,48.0345,1445,1446,666.67
US500Z25.sim,BUY,6367.85000,6359.98056,63.5369,1479,1481,-500.00
US500Z25.sim,BUY,6363.50000,6353.77594,51.4189,1491,1493,-500.00
US500Z25.sim,SELL,6334.85000,6352.88956,27.7169,1503,1524,-500.00
US500Z25.sim,SELL,6337.90000,6350.92455,38.3890,1515,1523,-500.00
US500Z25.sim,BUY,6350.00000,6340.74895,54.0479,1527,1530,-500.00
US500Z25.sim,SELL,6332.25000,6348.33612,31.0827,1539,1540,-500.00
US500Z25.sim,BUY,6370.75000,6389.07300,36.3841,1551,1560,666.67
US500Z25.sim,BUY,6382.50000,6393.11525,62.8028,1566,1572,666.67
US500Z25.sim,BUY,6406.25000,6394.49685,42.5418,1580,1585,-500.00
US500Z25.sim,SELL,6367.50000,6390.95237,21.3198,1596,1630,-500.00
US500Z25.sim,BUY,6386.50000,6376.70606,51.0520,1608,1613,-500.00
US500Z25.sim,BUY,6380.15000,6391.35496,59.4974,1620,1630,666.67
US500Z25.sim,BUY,6400.15000,6417.91455,37.5279,1632,1639,666.67
US500Z25.sim,BUY,6414.00000,6429.12968,44.0635,1647,1653,666.67
