symbol,side,entry,exit,size,opened_at,closed_at,pnl
US500Z25.sim,SELL,5974.50000,6009.20000,14.4092,1,4,-500.00
US500Z25.sim,BUY,6111.50000,6184.93990,9.0777,13,28,666.67
US500Z25.sim,BUY,6239.75000,6278.71292,17.1103,51,53,666.67
US500Z25.sim,BUY,6284.55000,6257.39971,18.4160,63,70,-500.00
US500Z25.sim,BUY,6275.15000,6315.71299,16.4353,75,87,666.67
US500Z25.sim,BUY,6292.25000,6337.63162,14.6902,89,104,666.67
US500Z25.sim,BUY,6302.60000,6338.69215,18.4712,101,104,666.67
US500Z25.sim,BUY,6296.50000,6344.74216,13.8192,113,118,666.67
US500Z25.sim,BUY,6341.75000,6376.77294,19.0351,125,141,666.67
US500Z25.sim,BUY,6350.60000,6387.75359,17.9435,137,142,666.67
US500Z25.sim,BUY,6422.25000,6399.31398,21.7998,159,166,-500.00
US500Z25.sim,BUY,6417.00000,6395.17588,22.9104,171,172,-500.00
US500Z25.sim,SELL,6305.75000,6355.57526,10.0351,187,190,-500.00
US500Z25.sim,SELL,6345.40000,6383.62185,13.0815,199,203,-500.00
US500Z25.sim,BUY,6380.15000,6430.70607,13.1867,211,219,666.67
US500Z25.sim,BUY,6402.05000,6440.67517,17.2599,223,224,666.67
US500Z25.sim,BUY,6465.30000,6506.51533,16.1752,236,241,666.67
US500Z25.sim,BUY,6466.50000,6439.88163,18.7840,248,255,-500.00
US500Z25.sim,SELL,6426.75000,6392.18352,19.2865,260,261,666.67
US500Z25.sim,SELL,6399.90000,6432.41980,15.3752,272,273,-500.00
US500Z25.sim,BUY,6450.50000,6490.75382,16.5616,284,291,666.67
US500Z25.sim,BUY,6498.55000,6470.87317,18.0657,296,303,-500.00
US500Z25.sim,BUY,6474.00000,6443.48634,16.3861,308,312,-500.00
US500Z25.sim,SELL,6439.75000,6480.00707,12.4202,320,326,-500.00
US500Z25.sim,BUY,6483.25000,6542.63526,11.2261,332,348,666.67
US500Z25.sim,BUY,6507.50000,6543.96101,18.2844,344,349,666.67
US500Z25.sim,BUY,6665.40000,6645.28680,24.8593,377,381,-500.00
US500Z25.sim,BUY,6698.55000,6745.13762,14.3100,389,398,666.67
US500Z25.sim,BUY,6734.10000,6709.20694,20.0859,404,405,-500.00
US500Z25.sim,SELL,6662.75000,6700.47763,13.2529,417,422,-500.00
US500Z25.sim,BUY,6709.00000,6751.12212,15.8270,429,441,666.67
US500Z25.sim,BUY,6758.25000,6802.19120,15.1718,446,464,666.67
US500Z25.sim,BUY,6789.25000,6759.34245,16.7182,458,464,-500.00
US500Z25.sim,BUY,6798.50000,6768.38669,16.6040,470,476,-500.00
US500Z25.sim,SELL,6677.50000,6766.42829,5.6225,484,500,-500.00
US500Z25.sim,SELL,6695.05000,6592.89457,6.5260,496,510,666.67
US500Z25.sim,SELL,6651.13000,6717.93067,7.4850,508,514,-500.00
US500Z25.sim,BUY,6781.50000,6733.93618,10.5122,520,530,-500.00
US500Z25.sim,BUY,6736.60000,6800.08957,10.5004,532,541,666.67
US500Z25.sim,BUY,6913.93000,6870.81115,11.5959,563,566,-500.00
US500Z25.sim,BUY,6884.53000,6838.90694,10.9594,575,581,-500.00
US500Z25.sim,SELL,6788.58000,6845.10076,8.8463,587,590,-500.00
US500Z25.sim,SELL,6764.08000,6685.96931,8.5349,599,602,666.67
