symbol,side,entry,exit,size,opened_at,closed_at,pnl
XAUZ25.sim,SELL,3385.80000,3390.28000,111.6071,1,3,-500.00
XAUZ25.sim,BUY,3399.30000,3393.26073,82.7915,13,29,-500.00
XAUZ25.sim,BUY,3397.90000,3392.55584,93.5601,25,29,-500.00
XAUZ25.sim,BUY,3410.50000,3388.29518,22.5176,37,64,-500.00
XAUZ25.sim,BUY,3401.80000,3393.37387,59.3392,49,62,-500.00
XAUZ25.sim,SELL,3398.50000,3389.09509,70.8850,61,63,666.67
XAUZ25.sim,SELL,3384.10000,3372.89612,59.5032,73,75,666.67
XAUZ25.sim,BUY,3397.30000,3409.61383,54.1397,85,109,666.67
XAUZ25.sim,BUY,3398.10000,3407.10978,73.9936,97,109,666.67
XAUZ25.sim,BUY,3408.10000,3418.13525,66.4325,110,117,666.67
XAUZ25.sim,BUY,3414.70000,3406.25785,59.2266,122,219,-500.00
XAUZ25.sim,BUY,3410.50000,3404.47414,82.9758,134,219,-500.00
XAUZ25.sim,SELL,3343.63000,3354.17650,47.4091,150,160,-500.00
XAUZ25.sim,SELL,3355.97000,3365.21343,54.0925,162,163,-500.00
XAUZ25.sim,BUY,3353.56000,3343.29650,48.7163,174,179,-500.00
XAUZ25.sim,SELL,3344.26000,3334.06170,65.3704,186,196,666.67
XAUZ25.sim,SELL,3341.64000,3350.08037,59.2391,198,204,-500.00
XAUZ25.sim,SELL,3345.06000,3353.03476,62.6978,210,214,-500.00
XAUZ25.sim,BUY,3408.33000,3399.10250,54.1859,239,241,-500.00
XAUZ25.sim,BUY,3406.47000,3415.69842,72.2406,251,261,666.67
XAUZ25.sim,BUY,3416.36000,3428.30587,55.8073,263,265,666.67
XAUZ25.sim,BUY,3430.36000,3422.39318,62.7603,275,295,-500.00
XAUZ25.sim,BUY,3433.23000,3427.87154,93.3103,287,290,-500.00
XAUZ25.sim,SELL,3428.26000,3419.22403,73.7792,299,303,666.67
XAUZ25.sim,SELL,3424.45000,3433.33950,56.2461,311,312,-500.00
XAUZ25.sim,BUY,3433.56000,3425.96391,65.8234,323,341,-500.00
XAUZ25.sim,BUY,3430.44000,3423.56377,72.7143,335,345,-500.00
XAUZ25.sim,SELL,3420.95000,3429.34503,59.5591,347,359,-500.00
XAUZ25.sim,SELL,3431.84000,3441.37865,52.4183,359,377,-500.00
XAUZ25.sim,BUY,3431.75000,3441.10034,71.2987,371,377,666.67
XAUZ25.sim,BUY,3440.33000,3449.70886,71.0819,383,389,666.67
XAUZ25.sim,BUY,3452.27000,3439.86084,40.2928,395,405,-500.00
XAUZ25.sim,BUY,3447.83000,3466.92304,34.9167,407,416,666.67
XAUZ25.sim,BUY,3487.83000,3468.31646,25.6232,426,458,-500.00
XAUZ25.sim,BUY,3492.44000,3477.19427,32.7961,438,443,-500.00
XAUZ25.sim,BUY,3494.64000,3473.91295,24.1231,450,451,-500.00
XAUZ25.sim,SELL,3456.45000,3431.13659,26.3365,462,471,666.67
XAUZ25.sim,SELL,3411.56000,3393.36092,36.6319,494,510,666.67
XAUZ25.sim,SELL,3406.23000,3392.10134,47.1854,506,527,666.67
XAUZ25.sim,SELL,3401.15000,3389.72365,58.3447,518,537,666.67
XAUZ25.sim,SELL,3404.53000,3391.68762,51.9115,530,537,666.67
XAUZ25.sim,SELL,3395.14000,3410.88798,31.7501,542,578,-500.00
XAUZ25.sim,BUY,3398.96000,3411.49387,53.1892,554,578,666.67
XAUZ25.sim,BUY,3401.76000,3412.43975,62.4234,566,578,666.67
XAUZ25.sim,BUY,3409.49000,3420.82900,58.7941,578,589,666.67
XAUZ25.sim,BUY,3413.68000,3403.94360,51.3537,590,596,-500.00
XAUZ25.sim,SELL,3407.06000,3412.94684,84.9353,602,607,-500.00
XAUZ25.sim,BUY,3409.24000,3401.45120,64.1948,614,622,-500.00
XAUZ25.sim,SELL,3404.76000,3390.13925,45.5973,626,635,666.67
XAUZ25.sim,SELL,3383.85000,3369.43396,46.2448,642,697,666.67
XAUZ25.sim,SELL,3382.76000,3388.58479,85.8400,654,660,-500.00
XAUZ25.sim,SELL,3386.24000,3392.19625,83.9454,666,668,-500.00
XAUZ25.sim,SELL,3389.15000,3377.78815,58.6759,678,695,666.67
