symbol,side,entry,exit,size,opened_at,closed_at,pnl
XAUZ25.sim,SELL,3385.80000,3391.77333,83.7054,1,6,-500.00
XAUZ25.sim,BUY,3399.30000,3391.24764,62.0936,13,31,-500.00
XAUZ25.sim,BUY,3397.90000,3390.77445,70.1700,25,31,-500.00
XAUZ25.sim,BUY,3410.50000,3380.89357,16.8882,37,75,-500.00
XAUZ25.sim,BUY,3401.80000,3390.56515,44.5044,49,62,-500.00
XAUZ25.sim,SELL,3398.50000,3389.09509,53.1637,61,63,500.00
XAUZ25.sim,SELL,3384.10000,3372.89612,44.6274,73,75,500.00
XAUZ25.sim,BUY,3397.30000,3409.61383,40.6047,85,109,500.00
XAUZ25.sim,BUY,3398.10000,3407.10978,55.4952,97,109,500.00
XAUZ25.sim,BUY,3408.10000,3418.13525,49.8244,110,117,500.00
XAUZ25.sim,BUY,3414.70000,3403.44379,44.4199,122,219,-500.00
XAUZ25.sim,BUY,3410.50000,3402.46552,62.2318,134,219,-500.00
XAUZ25.sim,SELL,3343.63000,3357.69200,35.5568,150,162,-500.00
XAUZ25.sim,SELL,3355.97000,3343.64543,40.5694,162,177,500.00
XAUZ25.sim,SELL,3348.45000,3334.22233,35.1428,177,196,500.00
XAUZ25.sim,SELL,3339.27000,3350.55980,44.2878,197,204,-500.00
XAUZ25.sim,SELL,3338.36000,3348.08117,51.4341,209,212,-500.00
XAUZ25.sim,BUY,3408.33000,3420.63333,40.6394,239,261,500.00
XAUZ25.sim,BUY,3406.47000,3415.69842,54.1805,251,261,500.00
XAUZ25.sim,BUY,3416.36000,3428.30587,41.8555,263,265,500.00
XAUZ25.sim,BUY,3430.36000,3419.73757,47.0702,275,298,-500.00
XAUZ25.sim,BUY,3433.23000,3426.08538,69.9828,287,293,-500.00
XAUZ25.sim,SELL,3428.26000,3419.22403,55.3344,299,303,500.00
XAUZ25.sim,SELL,3424.45000,3436.30266,42.1846,311,313,-500.00
XAUZ25.sim,BUY,3433.56000,3423.43189,49.3675,323,345,-500.00
XAUZ25.sim,BUY,3430.44000,3421.27170,54.5357,335,347,-500.00
XAUZ25.sim,SELL,3420.95000,3432.14337,44.6693,347,360,-500.00
XAUZ25.sim,SELL,3431.84000,3444.55820,39.3137,359,378,-500.00
XAUZ25.sim,BUY,3431.75000,3441.10034,53.4740,371,377,500.00
XAUZ25.sim,BUY,3440.33000,3449.70886,53.3114,383,389,500.00
XAUZ25.sim,BUY,3452.27000,3468.81555,30.2196,395,417,500.00
XAUZ25.sim,BUY,3447.83000,3466.92304,26.1876,407,416,500.00
XAUZ25.sim,BUY,3487.83000,3461.81195,19.2174,426,458,-500.00
XAUZ25.sim,BUY,3492.44000,3472.11236,24.5970,438,444,-500.00
XAUZ25.sim,BUY,3494.64000,3467.00394,18.0923,450,458,-500.00
XAUZ25.sim,SELL,3456.45000,3431.13659,19.7524,462,471,500.00
XAUZ25.sim,SELL,3411.56000,3393.36092,27.4739,494,510,500.00
XAUZ25.sim,SELL,3406.23000,3392.10134,35.3890,506,527,500.00
XAUZ25.sim,SELL,3401.15000,3389.72365,43.7585,518,537,500.00
XAUZ25.sim,SELL,3404.53000,3391.68762,38.9336,530,537,500.00
