symbol,side,entry,exit,size,opened_at,closed_at,pnl
XAUZ25.sim,SELL,3389.00000,3397.16000,61.2745,1,6,-500.00
XAUZ25.sim,BUY,3400.90000,3392.49876,59.5151,13,15,-500.00
XAUZ25.sim,BUY,3393.80000,3380.18833,36.7332,25,37,-500.00
XAUZ25.sim,SELL,3377.70000,3392.15316,34.5945,38,39,-500.00
XAUZ25.sim,BUY,3397.70000,3411.42077,48.5881,50,57,666.67
XAUZ25.sim,BUY,3415.70000,3404.73287,45.5908,62,111,-500.00
XAUZ25.sim,SELL,3347.04000,3362.22939,32.9177,77,83,-500.00
XAUZ25.sim,SELL,3348.76000,3363.82006,33.2004,89,110,-500.00
XAUZ25.sim,SELL,3341.64000,3353.35825,42.6685,101,108,-500.00
XAUZ25.sim,BUY,3408.65000,3425.47169,39.6314,128,134,666.67
XAUZ25.sim,BUY,3428.16000,3417.78578,48.1964,141,153,-500.00
XAUZ25.sim,BUY,3413.46000,3427.20107,48.5164,153,157,666.67
XAUZ25.sim,BUY,3433.73000,3423.88411,50.7826,165,174,-500.00
XAUZ25.sim,SELL,3418.53000,3429.44376,45.8137,177,181,-500.00
XAUZ25.sim,BUY,3435.73000,3448.22038,53.3744,189,196,666.67
XAUZ25.sim,BUY,3451.56000,3473.11914,30.9227,201,210,666.67
XAUZ25.sim,BUY,3487.83000,3463.30908,20.3907,214,230,-500.00
XAUZ25.sim,BUY,3494.64000,3468.26380,18.9565,226,230,-500.00
XAUZ25.sim,SELL,3438.77000,3416.47449,29.9014,241,243,666.67
XAUZ25.sim,SELL,3409.24000,3385.27114,27.8139,253,270,666.67
XAUZ25.sim,SELL,3394.93000,3407.65849,39.2820,265,274,-500.00
XAUZ25.sim,SELL,3399.06000,3415.15303,31.0693,277,291,-500.00
XAUZ25.sim,SELL,3403.49000,3414.40572,45.8055,289,291,-500.00
XAUZ25.sim,BUY,3408.07000,3422.70069,45.5663,301,305,666.67
XAUZ25.sim,SELL,3393.47000,3406.51652,38.3244,313,314,-500.00
XAUZ25.sim,SELL,3382.34000,3394.30323,41.7947,325,333,-500.00
XAUZ25.sim,SELL,3389.35000,3376.11648,50.3771,337,350,666.67
XAUZ25.sim,SELL,3378.95000,3367.74718,59.5088,349,350,666.67
XAUZ25.sim,BUY,3392.34000,3381.82809,47.5651,361,364,-500.00
XAUZ25.sim,SELL,3375.96000,3382.49307,76.5337,373,374,-500.00
XAUZ25.sim,SELL,3384.34000,3373.81481,63.3401,385,387,666.67
XAUZ25.sim,SELL,3359.75000,3367.50621,64.4645,400,403,-500.00
XAUZ25.sim,BUY,3384.23000,3373.15022,45.1272,412,430,-500.00
XAUZ25.sim,BUY,3380.77000,3373.54026,69.1588,424,430,-500.00
XAUZ25.sim,BUY,3383.66000,3371.59763,41.4512,436,447,-500.00
XAUZ25.sim,SELL,3372.95000,3363.57156,71.0850,448,455,666.67
XAUZ25.sim,BUY,3410.04000,3399.52793,47.5644,466,488,-500.00
XAUZ25.sim,BUY,3408.83000,3419.85294,60.4799,478,481,666.67
XAUZ25.sim,BUY,3424.36000,3444.70774,32.7637,490,528,666.67
XAUZ25.sim,BUY,3422.07000,3439.66098,37.8982,502,509,666.67
XAUZ25.sim,BUY,3433.56000,3424.48020,55.0673,514,517,-500.00
XAUZ25.sim,BUY,3435.47000,3450.15188,45.4075,526,528,666.67
XAUZ25.sim,BUY,3444.74000,3455.84785,60.0176,538,543,666.67
XAUZ25.sim,BUY,3472.14000,3464.45007,65.0201,559,568,-500.00
XAUZ25.sim,BUY,3555.05000,3542.07341,38.5309,608,609,-500.00
XAUZ25.sim,BUY,3594.67000,3615.05041,32.7112,630,636,666.67
XAUZ25.sim,BUY,3619.22000,3602.33881,29.6188,644,649,-500.00
XAUZ25.sim,SELL,3598.96000,3616.99227,27.7281,656,661,-500.00
XAUZ25.sim,BUY,3601.63000,3621.49093,33.5667,668,683,666.67
XAUZ25.sim,BUY,3609.05000,3624.64577,42.7466,680,683,666.67
XAUZ25.sim,BUY,3632.23000,3655.62912,28.4911,692,702,666.67
XAUZ25.sim,BUY,3671.14000,3687.08261,41.8167,715,718,666.67
XAUZ25.sim,BUY,3690.64000,3676.69286,35.8496,727,731,-500.00
XAUZ25.sim,SELL,3670.46000,3687.36988,29.5685,739,749,-500.00
XAUZ25.sim,BUY,3688.34000,3675.91931,40.2554,751,759,-500.00
XAUZ25.sim,BUY,3682.07000,3670.24161,42.2712,763,766,-500.00
XAUZ25.sim,SELL,3666.37000,3683.61160,28.9996,775,787,-500.00
XAUZ25.sim,BUY,3684.66000,3671.88921,39.1518,787,809,-500.00
XAUZ25.sim,BUY,3687.93000,3675.87051,41.4611,799,808,-500.00
XAUZ25.sim,SELL,3677.34000,3688.57124,44.5187,811,822,-500.00
XAUZ25.sim,BUY,3717.33000,3734.44312,38.9565,833,840,666.67
XAUZ25.sim,BUY,3732.64000,3719.06816,36.8410,845,847,-500.00
XAUZ25.sim,BUY,3718.73000,3706.77757,41.8325,857,862,-500.00
XAUZ25.sim,SELL,3718.95000,3732.68556,36.4019,869,873,-500.00
XAUZ25.sim,SELL,3692.74000,3667.32733,26.2336,881,884,666.67
XAUZ25.sim,SELL,3674.15000,3694.18543,24.9558,893,914,-500.00
XAUZ25.sim,SELL,3691.25000,3705.34352,35.4773,905,916,-500.00
XAUZ25.sim,BUY,3702.05000,3722.27796,32.9577,917,922,666.67
XAUZ25.sim,BUY,3777.54000,3797.68518,33.0931,949,955,666.67
XAUZ25.sim,BUY,3788.94000,3767.94447,23.8146,965,986,-500.00
XAUZ25.sim,BUY,3810.54000,3795.50840,33.2633,977,980,-500.00
XAUZ25.sim,SELL,3768.16000,3785.13445,29.4560,990,1000,-500.00
XAUZ25.sim,SELL,3786.73000,3765.19200,30.9530,1002,1005,666.67
XAUZ25.sim,SELL,3779.54000,3797.84725,27.3116,1014,1030,-500.00
XAUZ25.sim,BUY,3774.55000,3794.71983,33.0527,1026,1029,666.67
XAUZ25.sim,BUY,3795.64000,3816.93254,31.3099,1038,1040,666.67
XAUZ25.sim,BUY,3843.17000,3870.82560,24.1060,1051,1063,666.67
XAUZ25.sim,BUY,3883.55000,3866.76054,29.7806,1068,1070,-500.00
XAUZ25.sim,BUY,3875.64000,3907.20895,21.1178,1080,1092,666.67
XAUZ25.sim,BUY,3910.87000,3893.77334,29.2455,1096,1097,-500.00
XAUZ25.sim,BUY,3881.27000,3904.13373,29.1583,1108,1117,666.67
XAUZ25.sim,BUY,3909.76000,3894.86363,33.5652,1120,1122,-500.00
XAUZ25.sim,SELL,3881.95000,3899.77487,28.0507,1132,1144,-500.00
XAUZ25.sim,BUY,3906.77000,3931.00552,27.5078,1144,1153,666.67
XAUZ25.sim,BUY,3980.45000,4004.78525,27.3951,1178,1190,666.67
XAUZ25.sim,BUY,3988.57000,4020.76230,20.7089,1192,1201,666.67
XAUZ25.sim,BUY,4063.84000,4040.45993,21.3857,1219,1221,-500.00
XAUZ25.sim,BUY,4057.44000,4035.21797,22.5002,1231,1236,-500.00
XAUZ25.sim,SELL,3991.03000,4025.10465,14.6737,1243,1261,-500.00
XAUZ25.sim,SELL,4009.83000,4038.17541,17.6395,1255,1266,-500.00
XAUZ25.sim,BUY,4053.25000,4102.16597,13.6288,1268,1279,666.67
XAUZ25.sim,BUY,4135.02000,4179.08028,15.1308,1297,1313,666.67
XAUZ25.sim,BUY,4164.00000,4208.84888,14.8647,1309,1318,666.67
XAUZ25.sim,BUY,4208.56000,4249.73719,16.1902,1324,1340,666.67
XAUZ25.sim,BUY,4223.06000,4252.86974,22.3641,1337,1341,666.67
XAUZ25.sim,BUY,4256.00000,4286.20252,22.0732,1349,1353,666.67
XAUZ25.sim,BUY,4326.16000,4275.88338,9.9450,1362,1374,-500.00
XAUZ25.sim,BUY,4286.68000,4230.55708,8.9090,1374,1375,-500.00
XAUZ25.sim,SELL,4266.84000,4316.21640,10.1263,1386,1396,-500.00
XAUZ25.sim,BUY,4348.62000,4303.42562,11.0633,1398,1415,-500.00
XAUZ25.sim,BUY,4362.50000,4328.15332,14.5574,1410,1414,-500.00
XAUZ25.sim,SELL,4142.92000,4061.61722,8.1998,1433,1440,666.67
XAUZ25.sim,SELL,4052.98000,4119.21001,7.5494,1445,1449,-500.00
XAUZ25.sim,SELL,4104.46000,4144.30401,12.5489,1457,1459,-500.00
XAUZ25.sim,BUY,4149.39000,4114.63928,14.3882,1469,1482,-500.00
XAUZ25.sim,BUY,4118.42000,4089.91941,17.5435,1481,1483,-500.00
XAUZ25.sim,SELL,4123.30000,4071.87230,12.9632,1493,1499,666.67
XAUZ25.sim,SELL,4091.94000,4051.57322,16.5152,1505,1507,666.67
XAUZ25.sim,SELL,4012.58000,3969.38929,15.4354,1521,1528,666.67
XAUZ25.sim,SELL,3953.56000,3992.76085,12.7548,1535,1545,-500.00
XAUZ25.sim,SELL,3974.80000,4010.81351,13.8837,1547,1552,-500.00
XAUZ25.sim,BUY,4021.90000,3993.24687,17.4501,1559,1563,-500.00
XAUZ25.sim,SELL,3949.46000,3987.77692,13.0491,1571,1572,-500.00
XAUZ25.sim,BUY,4015.30000,3974.62984,12.2940,1583,1613,-500.00
XAUZ25.sim,BUY,4018.08000,3985.86436,15.5204,1595,1607,-500.00
XAUZ25.sim,BUY,3991.92000,4036.19462,15.0575,1607,1620,666.67
XAUZ25.sim,BUY,4028.03000,3999.87171,17.7568,1619,1635,-500.00
XAUZ25.sim,BUY,4018.22000,3993.09967,19.9042,1631,1635,-500.00
XAUZ25.sim,SELL,4004.06000,3971.27343,20.3335,1643,1650,666.67
XAUZ25.sim,SELL,3956.76000,3980.89185,20.7195,1661,1663,-500.00
XAUZ25.sim,BUY,3982.54000,4011.96668,22.6552,1673,1689,666.67
XAUZ25.sim,BUY,3995.56000,4018.86753,28.6031,1685,1690,666.67
XAUZ25.sim,BUY,3988.10000,4016.37172,23.5807,1697,1712,666.67
XAUZ25.sim,BUY,4005.66000,4030.30465,27.0512,1709,1721,666.67
XAUZ25.sim,BUY,4015.58000,4050.09217,19.3169,1721,1729,666.67
