symbol,side,entry,exit,size,opened_at,closed_at,pnl
XAUZ25.sim,SELL,3399.30000,3414.48000,32.9381,1,4,-500.00
XAUZ25.sim,SELL,3397.30000,3420.37585,21.6677,13,15,-500.00
XAUZ25.sim,SELL,3340.84000,3367.96034,18.4363,25,28,-500.00
XAUZ25.sim,BUY,3433.47000,3409.56558,20.9166,37,40,-500.00
XAUZ25.sim,BUY,3440.93000,3467.73060,24.8751,49,51,666.67
XAUZ25.sim,BUY,3443.46000,3402.82605,12.3050,61,64,-500.00
XAUZ25.sim,SELL,3393.65000,3422.12146,17.5614,73,77,-500.00
XAUZ25.sim,SELL,3382.76000,3407.54548,20.1731,85,119,-500.00
XAUZ25.sim,SELL,3379.35000,3353.63825,25.9285,97,104,666.67
XAUZ25.sim,SELL,3384.97000,3401.90172,29.5304,109,119,-500.00
XAUZ25.sim,BUY,3410.04000,3439.01690,23.0068,121,132,666.67
XAUZ25.sim,BUY,3425.76000,3454.72799,23.0139,134,141,666.67
XAUZ25.sim,BUY,3589.93000,3637.78785,13.9301,170,178,666.67
XAUZ25.sim,BUY,3623.13000,3665.24232,15.8307,182,185,666.67
XAUZ25.sim,BUY,3679.77000,3724.69374,14.8400,194,217,666.67
XAUZ25.sim,BUY,3678.45000,3714.40179,18.5434,207,215,666.67
XAUZ25.sim,BUY,3716.87000,3693.86675,21.7361,224,228,-500.00
XAUZ25.sim,SELL,3691.25000,3722.59103,15.9535,236,241,-500.00
XAUZ25.sim,BUY,3768.15000,3811.97082,15.2135,257,269,666.67
XAUZ25.sim,BUY,3803.76000,3847.93048,15.0930,269,273,666.67
XAUZ25.sim,BUY,3873.34000,3933.74903,11.0359,281,301,666.67
XAUZ25.sim,BUY,3868.37000,3928.23968,11.1353,293,301,666.67
XAUZ25.sim,BUY,3973.86000,4026.36599,12.6970,309,314,666.67
XAUZ25.sim,BUY,3982.24000,4056.48943,8.9787,323,331,666.67
XAUZ25.sim,BUY,4122.66000,4204.97198,8.0993,340,344,666.67
XAUZ25.sim,BUY,4216.73000,4341.66889,5.3359,359,364,666.67
XAUZ25.sim,BUY,4124.88000,4016.19299,4.6004,371,395,-500.00
XAUZ25.sim,SELL,4149.39000,4033.14524,5.7350,383,394,666.67
XAUZ25.sim,SELL,4021.53000,3922.19002,6.7110,397,399,666.67
XAUZ25.sim,SELL,3961.35000,4037.37366,6.5769,409,414,-500.00
XAUZ25.sim,SELL,4005.66000,4072.27577,7.5057,421,452,-500.00
XAUZ25.sim,SELL,3944.94000,3994.76203,10.0357,433,435,-500.00
XAUZ25.sim,SELL,4008.86000,4050.65654,11.9627,445,451,-500.00
