symbol,side,entry,exit,size,opened_at,closed_at,pnl
XAUZ25.sim,SELL,3399.30000,3419.54000,24.7036,1,4,-500.00
XAUZ25.sim,SELL,3397.30000,3366.53220,16.2508,13,21,500.00
XAUZ25.sim,SELL,3340.84000,3377.00046,13.8273,25,28,-500.00
XAUZ25.sim,BUY,3433.47000,3465.34256,15.6875,37,51,500.00
XAUZ25.sim,BUY,3440.93000,3467.73060,18.6563,49,51,500.00
XAUZ25.sim,BUY,3443.46000,3389.28140,9.2287,61,70,-500.00
XAUZ25.sim,SELL,3393.65000,3355.68806,13.1711,73,103,500.00
XAUZ25.sim,SELL,3382.76000,3415.80731,15.1298,85,119,-500.00
XAUZ25.sim,SELL,3379.35000,3353.63825,19.4464,97,104,500.00
XAUZ25.sim,SELL,3384.97000,3407.54562,22.1478,109,119,-500.00
XAUZ25.sim,BUY,3410.04000,3439.01690,17.2551,121,132,500.00
XAUZ25.sim,BUY,3425.76000,3454.72799,17.2604,134,141,500.00
XAUZ25.sim,BUY,3589.93000,3637.78785,10.4476,170,178,500.00
XAUZ25.sim,BUY,3623.13000,3665.24232,11.8730,182,185,500.00
XAUZ25.sim,BUY,3679.77000,3724.69374,11.1300,194,217,500.00
XAUZ25.sim,BUY,3678.45000,3714.40179,13.9075,207,215,500.00
XAUZ25.sim,BUY,3716.87000,3686.19900,16.3020,224,228,-500.00
XAUZ25.sim,SELL,3691.25000,3733.03803,11.9651,236,243,-500.00
XAUZ25.sim,BUY,3768.15000,3811.97082,11.4101,257,269,500.00
XAUZ25.sim,BUY,3803.76000,3847.93048,11.3198,269,273,500.00
XAUZ25.sim,BUY,3873.34000,3933.74903,8.2769,281,301,500.00
XAUZ25.sim,BUY,3868.37000,3928.23968,8.3515,293,301,500.00
XAUZ25.sim,BUY,3973.86000,4026.36599,9.5227,309,314,500.00
XAUZ25.sim,BUY,3982.24000,4056.48943,6.7341,323,331,500.00
XAUZ25.sim,BUY,4122.66000,4204.97198,6.0744,340,344,500.00
XAUZ25.sim,BUY,4216.73000,4341.66889,4.0020,359,364,500.00
XAUZ25.sim,BUY,4124.88000,3979.96399,3.4503,371,398,-500.00
XAUZ25.sim,SELL,4149.39000,4033.14524,4.3013,383,394,500.00
XAUZ25.sim,SELL,4021.53000,3922.19002,5.0332,397,399,500.00
XAUZ25.sim,SELL,3961.35000,4062.71488,4.9327,409,452,-500.00
XAUZ25.sim,SELL,4005.66000,4077.44000,5.6293,421,452,-404.07
XAUZ25.sim,SELL,3944.94000,4011.36937,7.5268,433,441,-500.00
XAUZ25.sim,SELL,4008.86000,4064.58873,8.9720,445,452,-500.00
