symbol,side,entry,exit,size,opened_at,closed_at,pnl
BTCX25.sim,SELL,113125.00000,113461.00000,1.4881,1,3,-500.00
BTCX25.sim,BUY,117685.00000,116627.25590,0.4727,13,667,-500.00
BTCX25.sim,SELL,113855.00000,112365.43882,0.4476,25,37,666.67
BTCX25.sim,SELL,112295.00000,113039.14674,0.6719,37,50,-500.00
BTCX25.sim,SELL,112285.00000,113152.24522,0.5765,49,52,-500.00
BTCX25.sim,SELL,111580.00000,110253.36459,0.5025,61,63,666.67
BTCX25.sim,SELL,110510.00000,111469.24856,0.5212,73,93,-500.00
BTCX25.sim,SELL,110870.00000,111524.06086,0.7645,85,93,-500.00
BTCX25.sim,SELL,111090.00000,111928.67137,0.5962,97,106,-500.00
BTCX25.sim,BUY,112095.00000,113074.27546,0.6808,109,112,666.67
BTCX25.sim,BUY,112190.00000,111532.03286,0.7599,121,128,-500.00
BTCX25.sim,SELL,111555.00000,112071.29899,0.9684,133,137,-500.00
BTCX25.sim,BUY,112750.00000,111946.07986,0.6220,145,154,-500.00
BTCX25.sim,BUY,112130.00000,113402.07730,0.5241,157,169,666.67
BTCX25.sim,BUY,113740.00000,113224.38860,0.9697,178,190,-500.00
BTCX25.sim,BUY,113315.00000,112550.95248,0.6544,190,208,-500.00
BTCX25.sim,SELL,113105.00000,112208.44814,0.7436,202,208,666.67
BTCX25.sim,SELL,112365.00000,111635.58535,0.9140,214,218,666.67
BTCX25.sim,SELL,111040.00000,111585.57939,0.9165,230,231,-500.00
BTCX25.sim,SELL,109205.00000,108103.74225,0.6054,244,247,666.67
BTCX25.sim,SELL,108245.00000,109170.88371,0.5400,256,267,-500.00
BTCX25.sim,SELL,110020.00000,109003.90008,0.6561,268,273,666.67
BTCX25.sim,BUY,109635.00000,108963.56751,0.7447,280,286,-500.00
BTCX25.sim,BUY,109650.00000,109146.76934,0.9936,292,293,-500.00
BTCX25.sim,BUY,110780.00000,110138.63072,0.7796,308,322,-500.00
BTCX25.sim,BUY,110520.00000,109974.70253,0.9169,320,322,-500.00
BTCX25.sim,BUY,111485.00000,112768.41284,0.5194,332,373,666.67
BTCX25.sim,BUY,112290.00000,111585.17544,0.7094,344,346,-500.00
BTCX25.sim,BUY,111450.00000,112160.74885,0.9380,356,366,666.67
BTCX25.sim,BUY,112145.00000,111712.63669,1.1564,368,369,-500.00
BTCX25.sim,BUY,112725.00000,111933.21331,0.6315,380,396,-500.00
BTCX25.sim,BUY,112370.00000,111817.57222,0.9051,392,397,-500.00
BTCX25.sim,SELL,111260.00000,110583.86366,0.9860,406,418,666.67
BTCX25.sim,SELL,110190.00000,110842.31863,0.7665,424,430,-500.00
BTCX25.sim,BUY,111015.00000,111976.96601,0.6930,436,446,666.67
BTCX25.sim,BUY,111950.00000,112575.56116,1.0657,448,450,666.67
BTCX25.sim,BUY,112945.00000,112429.63094,0.9702,460,461,-500.00
BTCX25.sim,SELL,111385.00000,112218.19852,0.6001,472,499,-500.00
BTCX25.sim,SELL,111125.00000,111772.68183,0.7720,484,496,-500.00
BTCX25.sim,SELL,111915.00000,112403.54624,1.0234,496,500,-500.00
BTCX25.sim,BUY,112650.00000,113273.69986,1.0689,508,512,666.67
BTCX25.sim,BUY,112595.00000,112028.87615,0.8832,520,528,-500.00
BTCX25.sim,SELL,111645.00000,112151.76072,0.9867,533,536,-500.00
BTCX25.sim,BUY,113440.00000,112936.55687,0.9932,547,551,-500.00
BTCX25.sim,SELL,111580.00000,112136.37729,0.8987,566,586,-500.00
BTCX25.sim,SELL,111635.00000,112162.03922,0.9487,578,586,-500.00
BTCX25.sim,BUY,112800.00000,113578.20192,0.8567,591,599,666.67
BTCX25.sim,BUY,113890.00000,114781.88150,0.7475,608,627,666.67
BTCX25.sim,BUY,114210.00000,114907.17487,0.9562,620,633,666.67
BTCX25.sim,BUY,114725.00000,114280.99982,1.1261,632,638,-500.00
BTCX25.sim,BUY,114655.00000,114265.37296,1.2833,644,645,-500.00
BTCX25.sim,BUY,114610.00000,115486.58903,0.7605,656,662,666.67
BTCX25.sim,BUY,115820.00000,115225.74938,0.8414,669,690,-500.00
BTCX25.sim,BUY,115480.00000,116064.76085,1.1401,681,700,666.67
BTCX25.sim,SELL,115540.00000,115990.78682,1.1092,693,700,-500.00
BTCX25.sim,BUY,116675.00000,116064.14525,0.8185,706,710,-500.00
BTCX25.sim,SELL,115800.00000,116282.78427,1.0357,718,720,-500.00
