symbol,side,entry,exit,size,opened_at,closed_at,pnl
BTCX25.sim,SELL,113125.00000,113573.00000,1.1161,1,4,-500.00
BTCX25.sim,BUY,117685.00000,116274.67454,0.3545,13,666,-500.00
BTCX25.sim,SELL,113855.00000,112365.43882,0.3357,25,37,500.00
BTCX25.sim,SELL,112295.00000,113287.19566,0.5039,37,52,-500.00
BTCX25.sim,SELL,112285.00000,113441.32696,0.4324,49,54,-500.00
BTCX25.sim,SELL,111580.00000,110253.36459,0.3769,61,63,500.00
BTCX25.sim,SELL,110510.00000,111788.99808,0.3909,73,105,-500.00
BTCX25.sim,SELL,110870.00000,111742.08114,0.5733,85,105,-500.00
BTCX25.sim,SELL,111495.00000,112575.91103,0.4626,105,110,-500.00
BTCX25.sim,BUY,112065.00000,111254.95127,0.6172,117,131,-500.00
BTCX25.sim,BUY,111475.00000,112158.23455,0.7318,129,137,500.00
BTCX25.sim,BUY,112245.00000,113058.30659,0.6148,141,143,500.00
BTCX25.sim,BUY,112870.00000,111881.04677,0.5056,153,154,-500.00
BTCX25.sim,SELL,112245.00000,113149.88554,0.5526,165,169,-500.00
BTCX25.sim,BUY,113740.00000,113052.51813,0.7273,178,194,-500.00
BTCX25.sim,BUY,113315.00000,112296.26997,0.4908,190,208,-500.00
BTCX25.sim,SELL,113105.00000,112208.44814,0.5577,202,208,500.00
BTCX25.sim,SELL,112365.00000,111635.58535,0.6855,214,218,500.00
BTCX25.sim,SELL,111040.00000,111767.43919,0.6873,230,231,-500.00
BTCX25.sim,SELL,109205.00000,108103.74225,0.4540,244,247,500.00
BTCX25.sim,SELL,108245.00000,109479.51161,0.4050,256,267,-500.00
BTCX25.sim,SELL,110020.00000,109003.90008,0.4921,268,273,500.00
BTCX25.sim,BUY,109635.00000,108739.75668,0.5585,280,294,-500.00
BTCX25.sim,BUY,109650.00000,108979.02579,0.7452,292,293,-500.00
BTCX25.sim,BUY,110780.00000,109924.84095,0.5847,308,322,-500.00
BTCX25.sim,BUY,110520.00000,109792.93670,0.6877,320,323,-500.00
BTCX25.sim,BUY,111485.00000,112768.41284,0.3896,332,373,500.00
BTCX25.sim,BUY,112290.00000,111350.23392,0.5320,344,354,-500.00
BTCX25.sim,BUY,111450.00000,112160.74885,0.7035,356,366,500.00
BTCX25.sim,BUY,112145.00000,112721.48442,0.8673,368,373,500.00
BTCX25.sim,BUY,112725.00000,111669.28441,0.4736,380,397,-500.00
BTCX25.sim,BUY,112370.00000,111633.42962,0.6788,392,399,-500.00
BTCX25.sim,SELL,111260.00000,110583.86366,0.7395,406,418,500.00
BTCX25.sim,SELL,110190.00000,111059.75818,0.5749,424,432,-500.00
BTCX25.sim,BUY,111015.00000,111976.96601,0.5198,436,446,500.00
BTCX25.sim,BUY,111950.00000,112575.56116,0.7993,448,450,500.00
BTCX25.sim,BUY,112945.00000,113632.15875,0.7276,460,461,500.00
BTCX25.sim,SELL,111385.00000,112495.93136,0.4501,472,501,-500.00
BTCX25.sim,SELL,111125.00000,111988.57578,0.5790,484,496,-500.00
BTCX25.sim,SELL,111915.00000,112566.39499,0.7676,496,502,-500.00
BTCX25.sim,BUY,112650.00000,113273.69986,0.8017,508,512,500.00
BTCX25.sim,BUY,112595.00000,111840.16821,0.6624,520,529,-500.00
BTCX25.sim,SELL,111645.00000,112320.68096,0.7400,533,536,-500.00
BTCX25.sim,BUY,113440.00000,112768.74249,0.7449,547,556,-500.00
BTCX25.sim,SELL,111580.00000,112321.83639,0.6740,566,587,-500.00
BTCX25.sim,SELL,111635.00000,112337.71896,0.7115,578,587,-500.00
BTCX25.sim,BUY,112800.00000,113578.20192,0.6425,591,599,500.00
BTCX25.sim,BUY,113890.00000,114781.88150,0.5606,608,627,500.00
BTCX25.sim,BUY,114210.00000,114907.17487,0.7172,620,633,500.00
BTCX25.sim,BUY,114725.00000,114132.99975,0.8446,632,639,-500.00
BTCX25.sim,BUY,114655.00000,114135.49728,0.9625,644,645,-500.00
BTCX25.sim,BUY,114610.00000,115486.58903,0.5704,656,662,500.00
BTCX25.sim,BUY,115820.00000,116612.33417,0.6310,669,702,500.00
BTCX25.sim,BUY,115480.00000,116064.76085,0.8551,681,700,500.00
