symbol,side,entry,exit,size,opened_at,closed_at,pnl
BTCX25.sim,SELL,113210.00000,114708.00000,0.3338,1,2,-500.00
BTCX25.sim,BUY,114170.00000,112454.47500,0.2915,13,18,-500.00
BTCX25.sim,SELL,113075.00000,111321.33617,0.3802,25,31,666.67
BTCX25.sim,SELL,110690.00000,112040.27049,0.3703,37,54,-500.00
BTCX25.sim,SELL,110415.00000,111605.71719,0.4199,49,52,-500.00
BTCX25.sim,BUY,112315.00000,111400.50052,0.5467,61,64,-500.00
BTCX25.sim,BUY,112855.00000,111842.21534,0.4937,73,77,-500.00
BTCX25.sim,BUY,113635.00000,112566.75075,0.4681,85,104,-500.00
BTCX25.sim,BUY,113190.00000,112212.19974,0.5114,97,104,-500.00
BTCX25.sim,SELL,111915.00000,110819.85963,0.6087,109,110,666.67
BTCX25.sim,SELL,109395.00000,110725.02782,0.3759,124,151,-500.00
BTCX25.sim,SELL,109140.00000,110359.63042,0.4100,136,151,-500.00
BTCX25.sim,SELL,109850.00000,110958.75843,0.4510,148,152,-500.00
BTCX25.sim,BUY,110375.00000,109506.02811,0.5754,160,161,-500.00
BTCX25.sim,BUY,112000.00000,110976.15097,0.4884,172,201,-500.00
BTCX25.sim,BUY,111750.00000,112819.78599,0.6232,184,186,666.67
BTCX25.sim,BUY,112545.00000,111693.17314,0.5870,196,198,-500.00
BTCX25.sim,SELL,110920.00000,109812.17584,0.6018,208,210,666.67
BTCX25.sim,SELL,111715.00000,112737.84893,0.4888,220,225,-500.00
BTCX25.sim,BUY,110830.00000,112700.26527,0.3565,232,254,666.67
BTCX25.sim,SELL,111450.00000,112374.25169,0.5410,244,250,-500.00
BTCX25.sim,BUY,113070.00000,112269.04206,0.6243,256,264,-500.00
BTCX25.sim,BUY,112395.00000,113416.83653,0.6524,268,270,666.67
BTCX25.sim,SELL,111205.00000,112213.66392,0.4957,280,293,-500.00
BTCX25.sim,SELL,111945.00000,112613.70094,0.7477,292,294,-500.00
BTCX25.sim,BUY,114005.00000,115206.80398,0.5547,305,331,666.67
BTCX25.sim,BUY,114490.00000,113820.84208,0.7472,317,322,-500.00
BTCX25.sim,BUY,114855.00000,115982.31473,0.5914,329,333,666.67
BTCX25.sim,BUY,115435.00000,116399.79003,0.6910,341,350,666.67
BTCX25.sim,BUY,116525.00000,115715.38431,0.6176,354,355,-500.00
BTCX25.sim,SELL,115085.00000,115988.12208,0.5536,366,384,-500.00
BTCX25.sim,SELL,115680.00000,116430.18620,0.6665,378,396,-500.00
BTCX25.sim,BUY,115515.00000,116315.67410,0.8326,390,395,666.67
BTCX25.sim,BUY,116910.00000,116225.20722,0.7301,402,415,-500.00
BTCX25.sim,BUY,116400.00000,115775.61801,0.8008,414,416,-500.00
BTCX25.sim,SELL,116880.00000,117963.12782,0.4616,426,428,-500.00
BTCX25.sim,BUY,117715.00000,116957.45577,0.6600,438,462,-500.00
BTCX25.sim,BUY,118225.00000,117474.76387,0.6665,450,459,-500.00
BTCX25.sim,SELL,116855.00000,115940.97019,0.7294,462,471,666.67
BTCX25.sim,SELL,115565.00000,114541.08085,0.6511,474,476,666.67
BTCX25.sim,SELL,113735.00000,112486.57141,0.5340,491,497,666.67
BTCX25.sim,SELL,113885.00000,112884.21975,0.6661,503,511,666.67
BTCX25.sim,SELL,112975.00000,111946.83455,0.6484,515,521,666.67
BTCX25.sim,SELL,113835.00000,114530.02516,0.7194,527,531,-500.00
BTCX25.sim,BUY,114185.00000,113514.83921,0.7461,539,541,-500.00
BTCX25.sim,SELL,112270.00000,110946.83740,0.5038,554,557,666.67
BTCX25.sim,SELL,110245.00000,111274.49972,0.4857,566,849,-500.00
BTCX25.sim,SELL,109575.00000,110686.40749,0.4499,578,581,-500.00
BTCX25.sim,BUY,112465.00000,113705.55244,0.5374,590,599,666.67
BTCX25.sim,BUY,114930.00000,114262.71301,0.7493,613,617,-500.00
BTCX25.sim,BUY,113550.00000,114680.70185,0.5896,625,628,666.67
BTCX25.sim,BUY,115440.00000,116472.72741,0.6455,637,640,666.67
BTCX25.sim,BUY,117600.00000,119042.86229,0.4620,649,654,666.67
BTCX25.sim,BUY,119770.00000,121055.86331,0.5185,669,671,666.67
BTCX25.sim,BUY,121325.00000,120485.78318,0.5958,681,686,-500.00
BTCX25.sim,BUY,124335.00000,125812.02645,0.4514,708,714,666.67
BTCX25.sim,BUY,126325.00000,125084.85865,0.4032,720,730,-500.00
BTCX25.sim,BUY,124900.00000,126163.14145,0.5278,732,736,666.67
BTCX25.sim,SELL,122720.00000,124097.50280,0.3630,744,764,-500.00
BTCX25.sim,SELL,123310.00000,124467.46528,0.4320,756,764,-500.00
BTCX25.sim,BUY,123845.00000,122636.28254,0.4137,768,772,-500.00
BTCX25.sim,SELL,122805.00000,123763.58029,0.5216,780,782,-500.00
BTCX25.sim,SELL,122280.00000,120682.82874,0.4174,792,808,666.67
BTCX25.sim,SELL,122250.00000,123069.97006,0.6098,804,806,-500.00
BTCX25.sim,SELL,115840.00000,114042.20090,0.3708,829,841,666.67
BTCX25.sim,SELL,113307.50000,111037.91335,0.2937,854,875,666.67
BTCX25.sim,SELL,112705.00000,110861.06046,0.3615,866,877,666.67
BTCX25.sim,SELL,111497.50000,109558.79602,0.3439,879,900,666.67
BTCX25.sim,SELL,111975.00000,110384.31561,0.4191,891,894,666.67
BTCX25.sim,SELL,109012.50000,106915.93630,0.3180,908,914,666.67
BTCX25.sim,SELL,106017.50000,107799.99888,0.2805,921,931,-500.00
BTCX25.sim,BUY,108927.50000,111100.26265,0.3068,933,936,666.67
BTCX25.sim,BUY,111362.50000,110291.91230,0.4670,946,948,-500.00
BTCX25.sim,SELL,108260.00000,109333.28798,0.4659,961,966,-500.00
BTCX25.sim,BUY,112037.50000,110254.17907,0.2804,973,975,-500.00
BTCX25.sim,SELL,108412.50000,109534.50566,0.4456,985,1006,-500.00
BTCX25.sim,SELL,107697.50000,109084.76195,0.3604,997,1004,-500.00
BTCX25.sim,BUY,109595.00000,111113.90660,0.4389,1009,1017,666.67
BTCX25.sim,BUY,110675.00000,112545.16705,0.3565,1021,1035,666.67
BTCX25.sim,BUY,111910.00000,111008.64547,0.5547,1033,1037,-500.00
BTCX25.sim,BUY,115715.00000,114728.10995,0.5066,1058,1067,-500.00
BTCX25.sim,BUY,115085.00000,114198.17315,0.5638,1070,1074,-500.00
BTCX25.sim,BUY,116230.00000,115417.76211,0.6156,1082,1083,-500.00
BTCX25.sim,SELL,113275.00000,111770.31803,0.4431,1094,1108,666.67
BTCX25.sim,SELL,113015.00000,111787.21971,0.5430,1106,1108,666.67
BTCX25.sim,SELL,111230.00000,109507.11585,0.3869,1118,1119,666.67
BTCX25.sim,SELL,108590.00000,110065.95814,0.3388,1131,1139,-500.00
BTCX25.sim,SELL,110327.50000,108503.13510,0.3654,1143,1163,666.67
BTCX25.sim,BUY,109817.50000,108287.07740,0.3267,1155,1164,-500.00
BTCX25.sim,SELL,107930.00000,106189.87602,0.3831,1167,1175,666.67
BTCX25.sim,SELL,107512.50000,105308.28620,0.3025,1179,1188,666.67
BTCX25.sim,SELL,104935.00000,103001.72809,0.3448,1194,1199,666.67
BTCX25.sim,SELL,102065.00000,104305.14933,0.2232,1208,1222,-500.00
BTCX25.sim,SELL,103500.00000,104989.17844,0.3358,1220,1225,-500.00
BTCX25.sim,BUY,104015.00000,102859.63757,0.4328,1232,1241,-500.00
BTCX25.sim,SELL,102310.00000,100409.42334,0.3508,1244,1263,666.67
BTCX25.sim,SELL,102292.50000,100603.12153,0.3946,1256,1263,666.67
BTCX25.sim,SELL,101352.50000,102855.93280,0.3326,1268,1269,-500.00
