symbol,side,entry,exit,size,opened_at,closed_at,pnl
BTCX25.sim,SELL,117045.00000,113771.66667,0.1527,1,3,500.00
BTCX25.sim,SELL,110905.00000,114252.40012,0.1494,13,79,-500.00
BTCX25.sim,SELL,113115.00000,110549.00535,0.1949,25,29,500.00
BTCX25.sim,SELL,109365.00000,112539.86021,0.1575,37,49,-500.00
BTCX25.sim,BUY,112480.00000,109734.95190,0.1821,49,55,-500.00
BTCX25.sim,BUY,111095.00000,114152.63306,0.1635,61,79,500.00
BTCX25.sim,BUY,111205.00000,113846.01112,0.1893,73,78,500.00
BTCX25.sim,BUY,114950.00000,117089.74978,0.2337,85,92,500.00
BTCX25.sim,BUY,114965.00000,117266.25757,0.2173,97,104,500.00
BTCX25.sim,BUY,115810.00000,117712.52696,0.2628,109,112,500.00
BTCX25.sim,BUY,117125.00000,115151.53032,0.2534,121,124,-500.00
BTCX25.sim,SELL,113665.00000,111729.58347,0.2583,133,145,500.00
BTCX25.sim,SELL,112920.00000,115755.47412,0.1763,153,167,-500.00
BTCX25.sim,BUY,115105.00000,117475.14588,0.2110,165,168,500.00
BTCX25.sim,BUY,122510.00000,119151.70050,0.1489,193,211,-500.00
BTCX25.sim,BUY,120525.00000,116838.46604,0.1356,205,212,-500.00
BTCX25.sim,SELL,116167.50000,112306.49822,0.1295,218,221,500.00
BTCX25.sim,SELL,111757.50000,108180.32026,0.1398,234,235,500.00
BTCX25.sim,SELL,110995.00000,107061.27704,0.1271,246,258,500.00
BTCX25.sim,SELL,108252.50000,112299.46477,0.1235,258,269,-500.00
BTCX25.sim,BUY,112025.00000,115087.13515,0.1633,270,273,500.00
BTCX25.sim,BUY,115090.00000,112652.01336,0.2051,282,286,-500.00
BTCX25.sim,SELL,108730.00000,104470.30615,0.1174,294,311,500.00
BTCX25.sim,SELL,108390.00000,104942.66214,0.1450,306,310,500.00
BTCX25.sim,SELL,103302.50000,106440.00000,0.1209,318,334,-379.44
BTCX25.sim,SELL,102647.50000,106590.57611,0.1268,331,333,-500.00
