symbol,side,entry,exit,size,opened_at,closed_at,pnl
BTCX25.sim,SELL,117045.00000,113771.66667,0.2037,1,3,666.67
BTCX25.sim,SELL,110905.00000,113415.55009,0.1992,13,19,-500.00
BTCX25.sim,SELL,113115.00000,110549.00535,0.2598,25,29,666.67
BTCX25.sim,SELL,109365.00000,111746.14516,0.2100,37,43,-500.00
BTCX25.sim,BUY,112480.00000,110421.21393,0.2429,49,55,-500.00
BTCX25.sim,BUY,111095.00000,114152.63306,0.2180,61,79,666.67
BTCX25.sim,BUY,111205.00000,113846.01112,0.2524,73,78,666.67
BTCX25.sim,BUY,114950.00000,117089.74978,0.3116,85,92,666.67
BTCX25.sim,BUY,114965.00000,117266.25757,0.2897,97,104,666.67
BTCX25.sim,BUY,115810.00000,117712.52696,0.3504,109,112,666.67
BTCX25.sim,BUY,117125.00000,115644.89774,0.3378,121,123,-500.00
BTCX25.sim,SELL,113665.00000,111729.58347,0.3445,133,145,666.67
BTCX25.sim,SELL,112920.00000,115046.60559,0.2351,153,157,-500.00
BTCX25.sim,BUY,115105.00000,117475.14588,0.2813,165,168,666.67
BTCX25.sim,BUY,122510.00000,119991.27537,0.1985,193,211,-500.00
BTCX25.sim,BUY,120525.00000,117760.09953,0.1808,205,212,-500.00
BTCX25.sim,SELL,116167.50000,112306.49822,0.1727,218,221,666.67
BTCX25.sim,SELL,111757.50000,108180.32026,0.1864,234,235,666.67
BTCX25.sim,SELL,110995.00000,113945.29222,0.1695,246,253,-500.00
BTCX25.sim,SELL,108252.50000,111287.72358,0.1647,258,266,-500.00
BTCX25.sim,BUY,112025.00000,115087.13515,0.2177,270,273,666.67
BTCX25.sim,BUY,115090.00000,113261.51002,0.2734,282,284,-500.00
BTCX25.sim,SELL,108730.00000,104470.30615,0.1565,294,311,666.67
BTCX25.sim,SELL,108390.00000,104942.66214,0.1934,306,310,666.67
BTCX25.sim,SELL,103302.50000,106403.25444,0.1613,318,333,-500.00
BTCX25.sim,SELL,102647.50000,105604.80708,0.1691,331,333,-500.00
