symbol,side,entry,exit,size,opened_at,closed_at,pnl
USOILZ25.sim,SELL,62.67000,62.19933,1062.3229,1,17,500.00
USOILZ25.sim,SELL,62.48000,62.11004,1351.5156,13,17,500.00
USOILZ25.sim,SELL,62.34000,62.10854,2160.1608,27,37,500.00
USOILZ25.sim,SELL,62.21000,61.78322,1171.5752,39,50,500.00
USOILZ25.sim,SELL,61.69000,62.26727,866.1530,51,78,-500.00
USOILZ25.sim,SELL,61.96000,62.33107,1347.4545,63,92,-500.00
USOILZ25.sim,BUY,62.11000,61.90179,2401.4366,75,88,-500.00
USOILZ25.sim,BUY,62.11000,62.46858,1394.3897,87,93,500.00
USOILZ25.sim,BUY,62.86000,62.32894,941.5151,100,129,-500.00
USOILZ25.sim,BUY,63.02000,62.75741,1904.1113,112,125,-500.00
USOILZ25.sim,BUY,62.90000,62.65302,2024.4954,124,127,-500.00
USOILZ25.sim,SELL,62.75000,62.35053,1251.6485,136,139,500.00
USOILZ25.sim,SELL,62.20000,61.75917,1134.2284,148,155,500.00
USOILZ25.sim,SELL,61.94400,62.34407,1249.7939,160,171,-500.00
USOILZ25.sim,SELL,62.27400,61.93540,1476.6475,172,174,500.00
USOILZ25.sim,BUY,62.09400,61.64561,1115.1037,184,186,-500.00
USOILZ25.sim,BUY,62.64400,62.09757,915.0320,196,216,-500.00
USOILZ25.sim,BUY,62.36400,62.05430,1614.4606,208,219,-500.00
USOILZ25.sim,SELL,62.12400,61.82002,1644.8318,220,226,500.00
USOILZ25.sim,SELL,61.96400,62.44087,1048.4974,232,265,-500.00
USOILZ25.sim,SELL,61.86300,62.26177,1253.8454,244,263,-500.00
USOILZ25.sim,SELL,61.87300,62.09212,2281.8257,256,262,-500.00
USOILZ25.sim,BUY,62.20500,62.59224,1291.1959,270,274,500.00
USOILZ25.sim,BUY,62.83300,63.42588,843.3464,282,318,500.00
USOILZ25.sim,BUY,62.87400,63.17343,1669.8509,294,309,500.00
USOILZ25.sim,BUY,63.01400,63.22351,2386.4804,306,310,500.00
USOILZ25.sim,BUY,63.22400,62.92185,1654.8272,318,322,-500.00
USOILZ25.sim,BUY,63.43500,63.95239,966.3830,330,406,500.00
USOILZ25.sim,BUY,63.46300,63.65798,2564.3280,342,355,500.00
USOILZ25.sim,BUY,63.58400,63.29485,1729.1924,358,363,-500.00
USOILZ25.sim,BUY,63.63400,64.02842,1267.6739,370,409,500.00
USOILZ25.sim,BUY,63.78500,64.14771,1378.4931,382,410,500.00
USOILZ25.sim,BUY,63.94300,64.24731,1643.0717,406,415,500.00
USOILZ25.sim,BUY,64.65300,64.32325,1516.2873,427,447,-500.00
USOILZ25.sim,BUY,64.42300,64.21349,2386.5170,439,449,-500.00
USOILZ25.sim,SELL,63.83500,64.17542,1468.7617,462,464,-500.00
USOILZ25.sim,SELL,63.32500,63.01533,1614.6366,475,493,500.00
USOILZ25.sim,SELL,63.27400,63.06358,2376.1484,487,493,500.00
USOILZ25.sim,SELL,62.98500,63.30724,1551.6375,499,504,-500.00
USOILZ25.sim,BUY,63.54300,64.04856,988.9934,511,517,500.00
USOILZ25.sim,BUY,63.76300,64.06444,1658.7099,523,549,500.00
USOILZ25.sim,BUY,63.60300,63.78499,2747.3596,535,542,500.00
USOILZ25.sim,BUY,63.86500,63.50117,1374.2826,548,555,-500.00
USOILZ25.sim,SELL,63.53500,64.02472,1020.9835,560,562,-500.00
USOILZ25.sim,BUY,64.16500,64.48600,1557.6202,572,598,500.00
USOILZ25.sim,BUY,64.24300,64.04986,2588.8152,584,587,-500.00
USOILZ25.sim,BUY,64.37500,63.96750,1227.0033,596,602,-500.00
USOILZ25.sim,SELL,63.99400,64.43737,1127.7219,608,636,-500.00
USOILZ25.sim,SELL,63.87500,63.67199,2462.8735,620,622,500.00
USOILZ25.sim,SELL,64.10500,64.35161,2027.4737,632,634,-500.00
USOILZ25.sim,BUY,64.65400,64.92941,1815.4843,648,662,500.00
USOILZ25.sim,BUY,64.85300,65.04074,2663.3010,669,672,500.00
USOILZ25.sim,BUY,65.41500,64.99713,1196.5477,684,685,-500.00
USOILZ25.sim,BUY,65.56500,65.00430,891.7371,696,725,-500.00
USOILZ25.sim,BUY,65.66400,65.42885,2126.2951,708,712,-500.00
USOILZ25.sim,SELL,65.25500,65.49859,2052.6675,720,723,-500.00
USOILZ25.sim,SELL,64.58400,64.01519,879.0221,732,734,500.00
USOILZ25.sim,SELL,63.75300,63.18257,876.5308,744,765,500.00
USOILZ25.sim,SELL,63.52400,63.25547,1861.9849,756,765,500.00
USOILZ25.sim,SELL,63.37500,62.91667,1090.9279,768,773,500.00
USOILZ25.sim,SELL,63.32400,62.74924,869.9269,780,822,500.00
USOILZ25.sim,SELL,63.31400,62.93666,1325.0503,792,819,500.00
USOILZ25.sim,SELL,63.30400,63.07812,2213.5852,804,811,500.00
USOILZ25.sim,SELL,63.27400,62.91351,1386.9901,816,819,500.00
USOILZ25.sim,SELL,61.84300,62.40199,894.4704,834,846,-500.00
USOILZ25.sim,SELL,62.45900,62.89379,1149.9868,846,856,-500.00
USOILZ25.sim,BUY,62.78100,63.08875,1624.7039,859,862,500.00
USOILZ25.sim,BUY,62.06000,62.61854,895.1849,871,874,500.00
USOILZ25.sim,SELL,62.34000,62.72593,1295.5691,883,902,-500.00
USOILZ25.sim,SELL,62.54900,62.73434,2697.6858,895,902,-500.00
USOILZ25.sim,BUY,62.97000,62.64269,1527.6239,907,909,-500.00
USOILZ25.sim,BUY,63.16000,62.55530,826.8531,920,926,-500.00
USOILZ25.sim,SELL,62.76900,63.09078,1553.8487,932,934,-500.00
USOILZ25.sim,BUY,63.21000,62.98927,2265.1740,944,954,-500.00
USOILZ25.sim,BUY,63.12900,63.51979,1279.4445,956,966,500.00
USOILZ25.sim,BUY,63.73000,63.24719,1035.5998,971,999,-500.00
USOILZ25.sim,BUY,63.69900,63.52240,2831.2484,983,990,-500.00
USOILZ25.sim,SELL,63.54000,63.35674,2728.4116,995,998,500.00
USOILZ25.sim,SELL,61.78000,62.08959,1615.0356,1041,1043,-500.00
USOILZ25.sim,BUY,62.96000,62.34876,818.0044,1055,1059,-500.00
USOILZ25.sim,SELL,62.29000,62.66569,1330.8752,1067,1074,-500.00
USOILZ25.sim,BUY,62.79000,62.57863,2365.5710,1079,1086,-500.00
USOILZ25.sim,BUY,62.71000,63.02092,1608.1157,1091,1099,500.00
USOILZ25.sim,BUY,62.80000,63.20459,1235.8312,1103,1123,500.00
USOILZ25.sim,BUY,63.03000,62.81091,2282.1176,1115,1132,-500.00
USOILZ25.sim,BUY,63.16000,63.00925,3316.7455,1127,1131,-500.00
USOILZ25.sim,SELL,63.01000,63.37949,1353.2280,1139,1140,-500.00
USOILZ25.sim,BUY,64.17000,63.94679,2239.9998,1164,1175,-500.00
USOILZ25.sim,BUY,64.02000,63.83412,2689.8428,1176,1179,-500.00
USOILZ25.sim,SELL,63.91000,64.20912,1671.5550,1188,1193,-500.00
USOILZ25.sim,SELL,63.68000,63.23224,1116.6583,1200,1213,500.00
USOILZ25.sim,SELL,63.37100,63.65814,1741.3326,1212,1226,-500.00
USOILZ25.sim,SELL,63.31200,63.61246,1664.0934,1225,1226,-500.00
USOILZ25.sim,BUY,63.72000,63.17476,917.0316,1237,1240,-500.00
USOILZ25.sim,SELL,63.34100,62.92658,1206.5071,1249,1267,500.00
USOILZ25.sim,SELL,63.14000,62.91078,2181.3477,1261,1267,500.00
USOILZ25.sim,SELL,62.87200,62.44875,1181.3447,1277,1286,500.00
USOILZ25.sim,SELL,62.40800,62.94863,924.8528,1289,1315,-500.00
USOILZ25.sim,SELL,62.51000,62.73496,2222.6620,1301,1305,-500.00
USOILZ25.sim,BUY,62.77000,62.95645,2681.6153,1313,1315,500.00
USOILZ25.sim,SELL,62.14800,62.56608,1195.9477,1331,1366,-500.00
USOILZ25.sim,SELL,62.32000,62.05866,1913.2342,1343,1351,500.00
USOILZ25.sim,SELL,61.97000,62.15546,2695.9453,1356,1363,-500.00
USOILZ25.sim,BUY,63.33000,63.83310,993.8450,1381,1414,500.00
USOILZ25.sim,BUY,63.67000,63.41519,1962.2712,1394,1406,-500.00
USOILZ25.sim,BUY,63.43800,63.64626,2400.8997,1406,1409,500.00
USOILZ25.sim,BUY,64.69000,64.46204,2193.3727,1438,1455,-500.00
USOILZ25.sim,BUY,64.61100,64.79259,2753.4458,1450,1453,500.00
USOILZ25.sim,SELL,64.61200,64.16334,1114.4401,1462,1467,500.00
USOILZ25.sim,BUY,64.92800,65.48805,892.7810,1474,1513,500.00
USOILZ25.sim,BUY,65.18900,64.89650,1709.3968,1486,1504,-500.00
USOILZ25.sim,BUY,65.26000,65.04728,2350.5375,1498,1500,-500.00
USOILZ25.sim,SELL,64.96000,65.35783,1256.8038,1510,1512,-500.00
USOILZ25.sim,BUY,65.67200,65.05739,813.5194,1522,1528,-500.00
USOILZ25.sim,SELL,65.10000,64.71100,1285.3506,1534,1548,500.00
USOILZ25.sim,SELL,64.92000,64.55593,1373.3806,1546,1551,500.00
USOILZ25.sim,SELL,63.16100,62.92697,2136.4844,1581,1584,500.00
USOILZ25.sim,SELL,62.93000,62.47925,1109.2639,1595,1601,500.00
USOILZ25.sim,SELL,62.21000,62.87487,752.0318,1607,1609,-500.00
USOILZ25.sim,SELL,62.40000,62.80401,1237.5855,1619,1639,-500.00
USOILZ25.sim,SELL,62.49900,62.77386,1819.0857,1631,1638,-500.00
USOILZ25.sim,SELL,62.28800,61.67875,820.6786,1644,1650,500.00
USOILZ25.sim,SELL,62.13900,61.33198,619.5662,1656,1689,500.00
USOILZ25.sim,SELL,61.83000,62.28557,1097.5286,1668,1670,-500.00
USOILZ25.sim,BUY,62.15000,61.82940,1559.5992,1680,1683,-500.00
USOILZ25.sim,SELL,61.36000,60.82222,929.7493,1692,1701,500.00
USOILZ25.sim,SELL,60.60100,61.01779,1199.6568,1709,1728,-500.00
USOILZ25.sim,SELL,60.68000,60.90105,2261.9673,1721,1726,-500.00
USOILZ25.sim,BUY,61.13800,60.72007,1196.3668,1734,1735,-500.00
USOILZ25.sim,BUY,61.22000,60.65599,886.5170,1746,1756,-500.00
USOILZ25.sim,BUY,61.51100,60.84842,754.6283,1758,1834,-500.00
USOILZ25.sim,BUY,61.72100,62.02010,1671.7091,1772,1781,500.00
USOILZ25.sim,BUY,61.61800,61.16903,1113.6633,1784,1785,-500.00
USOILZ25.sim,BUY,61.65000,60.99386,762.0343,1796,1834,-500.00
USOILZ25.sim,BUY,61.64200,61.89970,1940.2239,1808,1814,500.00
USOILZ25.sim,BUY,61.91900,61.69994,2282.4828,1820,1822,-500.00
USOILZ25.sim,SELL,61.60900,61.17253,1145.5427,1832,1834,500.00
USOILZ25.sim,SELL,61.70100,62.25329,905.3180,1844,1858,-500.00
USOILZ25.sim,BUY,62.20000,62.42709,2201.8171,1857,1868,500.00
USOILZ25.sim,BUY,62.31900,62.54735,2189.6106,1869,1872,500.00
USOILZ25.sim,BUY,62.21000,62.69587,1029.0886,1881,1884,500.00
USOILZ25.sim,BUY,62.36900,61.94966,1192.3545,1893,1898,-500.00
USOILZ25.sim,SELL,62.02200,62.37321,1423.6568,1905,1911,-500.00
USOILZ25.sim,BUY,62.69100,62.29652,1267.5055,1917,1920,-500.00
USOILZ25.sim,BUY,62.27000,61.71231,896.5497,1929,1933,-500.00
USOILZ25.sim,SELL,61.50200,61.09560,1230.3107,1941,1945,500.00
USOILZ25.sim,SELL,60.81000,60.47013,1471.1674,1962,1966,500.00
