symbol,side,entry,exit,size,opened_at,closed_at,pnl
USOILZ25.sim,SELL,62.67000,62.19933,1416.4306,1,17,666.67
USOILZ25.sim,SELL,62.48000,62.11004,1802.0208,13,17,666.67
USOILZ25.sim,SELL,62.34000,62.51360,2880.2144,27,31,-500.00
USOILZ25.sim,SELL,62.21000,61.78322,1562.1002,39,50,666.67
USOILZ25.sim,SELL,61.69000,62.12295,1154.8707,51,68,-500.00
USOILZ25.sim,SELL,61.96000,62.23830,1796.6060,63,78,-500.00
USOILZ25.sim,BUY,62.11000,61.95384,3201.9155,75,88,-500.00
USOILZ25.sim,BUY,62.11000,61.84107,1859.1862,87,88,-500.00
USOILZ25.sim,BUY,62.86000,62.46171,1255.3535,100,129,-500.00
USOILZ25.sim,BUY,63.02000,62.82306,2538.8150,112,122,-500.00
USOILZ25.sim,BUY,62.90000,62.71477,2699.3272,124,125,-500.00
USOILZ25.sim,SELL,62.75000,62.35053,1668.8647,136,139,666.67
USOILZ25.sim,SELL,62.20000,61.75917,1512.3046,148,155,666.67
USOILZ25.sim,SELL,61.94400,62.24405,1666.3918,160,171,-500.00
USOILZ25.sim,SELL,62.27400,61.93540,1968.8633,172,174,666.67
USOILZ25.sim,BUY,62.09400,61.75771,1486.8050,184,186,-500.00
USOILZ25.sim,BUY,62.64400,62.23418,1220.0427,196,201,-500.00
USOILZ25.sim,BUY,62.36400,62.13172,2152.6141,208,216,-500.00
USOILZ25.sim,SELL,62.12400,61.82002,2193.1091,220,226,666.67
USOILZ25.sim,SELL,61.96400,62.32165,1397.9965,232,264,-500.00
USOILZ25.sim,SELL,61.86300,62.16208,1671.7939,244,253,-500.00
USOILZ25.sim,SELL,61.87300,62.03734,3042.4342,256,262,-500.00
USOILZ25.sim,BUY,62.20500,62.59224,1721.5945,270,274,666.67
USOILZ25.sim,BUY,62.83300,63.42588,1124.4619,282,318,666.67
USOILZ25.sim,BUY,62.87400,63.17343,2226.4679,294,309,666.67
USOILZ25.sim,BUY,63.01400,63.22351,3181.9738,306,310,666.67
USOILZ25.sim,BUY,63.22400,62.99739,2206.4362,318,320,-500.00
USOILZ25.sim,BUY,63.43500,63.95239,1288.5107,330,406,666.67
USOILZ25.sim,BUY,63.46300,63.31676,3419.1040,342,345,-500.00
USOILZ25.sim,BUY,63.58400,63.36714,2305.5899,358,360,-500.00
USOILZ25.sim,BUY,63.63400,64.02842,1690.2319,370,409,666.67
USOILZ25.sim,BUY,63.78500,63.51296,1837.9907,382,392,-500.00
USOILZ25.sim,BUY,63.69300,63.96114,2486.2234,394,406,666.67
USOILZ25.sim,BUY,63.94300,64.24731,2190.7623,406,415,666.67
USOILZ25.sim,BUY,64.65300,64.40569,2021.7165,427,436,-500.00
USOILZ25.sim,BUY,64.42300,64.26587,3182.0227,439,448,-500.00
USOILZ25.sim,SELL,63.83500,64.09032,1958.3489,462,463,-500.00
USOILZ25.sim,SELL,63.32500,63.01533,2152.8488,475,493,666.67
USOILZ25.sim,SELL,63.27400,63.06358,3168.1978,487,493,666.67
USOILZ25.sim,SELL,62.98500,63.22668,2068.8500,499,503,-500.00
USOILZ25.sim,BUY,63.54300,64.04856,1318.6579,511,517,666.67
USOILZ25.sim,BUY,63.76300,63.53692,2211.6133,523,535,-500.00
USOILZ25.sim,BUY,63.60300,63.46651,3663.1462,535,537,-500.00
USOILZ25.sim,BUY,63.86500,63.59213,1832.3768,548,555,-500.00
USOILZ25.sim,SELL,63.53500,63.90229,1361.3113,560,562,-500.00
USOILZ25.sim,BUY,64.16500,64.48600,2076.8269,572,598,666.67
USOILZ25.sim,BUY,64.24300,64.09815,3451.7536,584,587,-500.00
USOILZ25.sim,BUY,64.37500,64.06938,1636.0044,596,601,-500.00
USOILZ25.sim,SELL,63.99400,64.32653,1503.6293,608,634,-500.00
USOILZ25.sim,SELL,63.87500,63.67199,3283.8313,620,622,666.67
USOILZ25.sim,SELL,64.10500,64.28996,2703.2982,632,633,-500.00
USOILZ25.sim,BUY,64.65400,64.92941,2420.6457,648,662,666.67
