symbol,side,entry,exit,size,opened_at,closed_at,pnl
USOILZ25.sim,SELL,62.68000,62.17200,984.2520,1,9,500.00
USOILZ25.sim,SELL,62.23000,61.84128,1286.2821,13,19,500.00
USOILZ25.sim,SELL,61.82000,62.60731,635.0722,28,47,-500.00
USOILZ25.sim,SELL,62.23000,61.82030,1220.4121,40,44,500.00
USOILZ25.sim,BUY,62.99000,62.43879,907.0964,54,65,-500.00
USOILZ25.sim,BUY,62.66000,62.17102,1022.5317,66,70,-500.00
USOILZ25.sim,SELL,61.94400,62.55362,820.1807,80,97,-500.00
USOILZ25.sim,SELL,62.09400,61.46843,799.2736,92,93,500.00
USOILZ25.sim,BUY,62.36400,61.83286,941.3672,104,113,-500.00
USOILZ25.sim,SELL,61.96400,62.59304,794.8562,116,134,-500.00
USOILZ25.sim,SELL,61.87300,62.28846,1203.4789,128,132,-500.00
USOILZ25.sim,BUY,62.24300,62.86297,806.4873,140,141,500.00
USOILZ25.sim,BUY,62.98400,63.39860,1205.9746,152,159,500.00
USOILZ25.sim,BUY,63.19300,63.84670,764.8753,164,186,500.00
USOILZ25.sim,BUY,63.47300,63.81741,1451.7767,176,183,500.00
USOILZ25.sim,BUY,63.57300,64.14139,879.6725,188,205,500.00
USOILZ25.sim,BUY,63.78500,64.12219,1482.8643,200,205,500.00
USOILZ25.sim,BUY,64.39300,63.99382,1252.5631,218,226,-500.00
USOILZ25.sim,SELL,63.83500,63.41326,1185.5678,231,233,500.00
USOILZ25.sim,SELL,63.31400,62.95303,1385.1498,243,249,500.00
USOILZ25.sim,SELL,63.75400,64.34157,850.9683,255,282,-500.00
USOILZ25.sim,BUY,63.60500,63.92799,1548.0543,267,271,500.00
USOILZ25.sim,BUY,63.62300,64.24649,801.9334,279,281,500.00
USOILZ25.sim,BUY,64.17400,63.80007,1337.1446,291,311,-500.00
USOILZ25.sim,BUY,63.97500,64.58004,826.3891,303,319,500.00
USOILZ25.sim,SELL,63.77300,64.07410,1660.5641,315,316,-500.00
USOILZ25.sim,BUY,64.61500,64.98901,1336.8564,327,332,500.00
USOILZ25.sim,BUY,64.50500,65.25597,665.8040,343,345,500.00
USOILZ25.sim,BUY,65.56300,65.10432,1090.0737,355,363,-500.00
USOILZ25.sim,SELL,64.67300,63.76903,553.1183,369,371,500.00
USOILZ25.sim,SELL,63.32500,62.64376,733.9539,388,412,500.00
USOILZ25.sim,SELL,63.26300,62.81046,1104.8859,400,410,500.00
USOILZ25.sim,SELL,62.03300,62.81482,639.5362,418,428,-500.00
USOILZ25.sim,SELL,62.78100,62.24446,931.8972,430,436,500.00
USOILZ25.sim,SELL,62.34000,62.97243,790.6035,442,454,-500.00
USOILZ25.sim,BUY,62.97000,63.38288,1211.0037,454,459,500.00
USOILZ25.sim,BUY,62.74800,63.29043,921.7817,466,474,500.00
USOILZ25.sim,BUY,63.00100,63.46427,1079.2880,478,484,500.00
USOILZ25.sim,BUY,63.74200,63.27842,1078.5651,490,500,-500.00
USOILZ25.sim,BUY,63.16900,62.74728,1185.6314,502,503,-500.00
USOILZ25.sim,SELL,61.78000,62.18005,1249.8429,521,523,-500.00
USOILZ25.sim,BUY,62.22000,62.83720,810.1065,533,543,500.00
USOILZ25.sim,BUY,62.71000,63.09028,1314.8050,545,551,500.00
USOILZ25.sim,BUY,62.98000,63.40811,1167.9336,557,571,500.00
USOILZ25.sim,BUY,62.84000,63.27528,1148.6906,569,571,500.00
USOILZ25.sim,BUY,64.09000,63.71406,1329.9924,584,591,-500.00
USOILZ25.sim,BUY,64.01000,63.57796,1157.3049,596,601,-500.00
USOILZ25.sim,SELL,63.48000,63.94230,1081.5575,608,617,-500.00
USOILZ25.sim,BUY,63.78000,63.01373,652.5105,620,623,-500.00
USOILZ25.sim,SELL,63.13100,62.72871,1242.8740,632,637,500.00
USOILZ25.sim,SELL,62.51000,61.86980,781.0016,646,663,500.00
USOILZ25.sim,SELL,62.83100,62.48248,1434.6273,658,660,500.00
USOILZ25.sim,SELL,62.28100,62.79877,965.6750,670,685,-500.00
USOILZ25.sim,SELL,62.21000,62.61869,1223.4095,682,684,-500.00
USOILZ25.sim,BUY,63.55000,63.94347,1270.7404,700,708,500.00
USOILZ25.sim,BUY,64.70000,64.33157,1357.1044,724,729,-500.00
USOILZ25.sim,BUY,64.83000,65.55217,692.3559,736,758,500.00
USOILZ25.sim,BUY,65.14100,64.74843,1273.6672,748,753,-500.00
USOILZ25.sim,BUY,65.83000,65.09632,681.4993,760,764,-500.00
USOILZ25.sim,BUY,65.27000,64.79665,1056.3097,772,775,-500.00
USOILZ25.sim,SELL,62.91000,62.28231,796.5696,800,801,500.00
USOILZ25.sim,SELL,62.47200,61.91251,893.6736,812,822,500.00
USOILZ25.sim,SELL,62.09800,61.36129,678.6932,824,845,500.00
USOILZ25.sim,SELL,61.92100,61.13332,634.7763,836,849,500.00
USOILZ25.sim,SELL,61.41100,60.76295,771.5446,848,851,500.00
USOILZ25.sim,SELL,60.70000,61.17355,1055.8482,860,866,-500.00
USOILZ25.sim,SELL,60.88100,61.49277,817.2990,872,880,-500.00
USOILZ25.sim,BUY,61.73000,61.13238,836.6522,884,893,-500.00
USOILZ25.sim,BUY,61.27000,62.16539,558.4132,896,926,500.00
USOILZ25.sim,BUY,61.86900,61.44429,1177.2804,908,914,-500.00
USOILZ25.sim,SELL,61.53000,62.35956,602.7281,920,934,-500.00
USOILZ25.sim,BUY,62.21000,62.58816,1322.1886,932,937,500.00
USOILZ25.sim,BUY,62.60800,61.93905,747.4396,944,950,-500.00
USOILZ25.sim,BUY,62.58200,62.07558,987.3218,956,961,-500.00
USOILZ25.sim,SELL,61.43800,60.68493,663.9522,970,980,500.00
USOILZ25.sim,SELL,58.05200,57.13103,542.9033,1011,1058,500.00
USOILZ25.sim,SELL,58.07200,58.57785,988.4260,1023,1031,-500.00
USOILZ25.sim,SELL,58.04200,57.36971,743.7279,1035,1057,500.00
USOILZ25.sim,SELL,58.25200,57.81094,1133.6434,1047,1055,500.00
USOILZ25.sim,SELL,56.64300,57.34977,707.4412,1075,1086,-500.00
USOILZ25.sim,SELL,56.94100,56.30210,782.5971,1087,1101,500.00
USOILZ25.sim,SELL,56.72400,56.19073,937.6155,1099,1101,500.00
USOILZ25.sim,BUY,56.96300,57.42942,1071.9879,1111,1121,500.00
USOILZ25.sim,BUY,57.44700,56.83194,812.9281,1123,1124,-500.00
USOILZ25.sim,BUY,57.42000,57.99651,867.2876,1135,1137,500.00
USOILZ25.sim,BUY,58.41600,59.24486,603.2357,1151,1153,500.00
USOILZ25.sim,BUY,61.66100,62.43452,646.3946,1179,1191,500.00
USOILZ25.sim,BUY,61.79000,60.93652,585.8364,1192,1211,-500.00
USOILZ25.sim,BUY,61.54000,60.87458,751.4073,1204,1211,-500.00
USOILZ25.sim,SELL,61.81200,60.96542,590.6101,1216,1233,500.00
USOILZ25.sim,SELL,61.27800,60.72879,910.4040,1228,1233,500.00
USOILZ25.sim,SELL,60.06400,60.92613,579.9565,1242,1264,-500.00
USOILZ25.sim,SELL,60.10700,60.60902,995.9706,1254,1263,-500.00
USOILZ25.sim,BUY,60.63700,59.95803,736.4147,1266,1279,-500.00
USOILZ25.sim,SELL,60.09000,60.61267,956.6333,1278,1287,-500.00
USOILZ25.sim,BUY,60.44600,61.09818,766.6584,1290,1308,500.00
USOILZ25.sim,SELL,60.42700,60.05431,1341.5876,1302,1304,500.00
USOILZ25.sim,BUY,60.86700,60.21491,766.7672,1314,1348,-500.00
USOILZ25.sim,BUY,60.96100,60.38846,873.2997,1326,1348,-500.00
USOILZ25.sim,BUY,61.00900,60.39799,818.3108,1338,1348,-500.00
USOILZ25.sim,SELL,60.24000,60.71326,1056.4956,1352,1355,-500.00
USOILZ25.sim,SELL,60.09200,60.57307,1039.3585,1364,1368,-500.00
USOILZ25.sim,SELL,60.19600,60.77843,858.4715,1376,1379,-500.00
USOILZ25.sim,SELL,59.71900,60.17122,1105.6547,1388,1394,-500.00
USOILZ25.sim,SELL,59.24600,59.99972,663.3786,1403,1415,-500.00
USOILZ25.sim,BUY,60.12100,59.65025,1062.1414,1415,1423,-500.00
USOILZ25.sim,SELL,59.72700,60.15700,728.7500,1427,1435,-313.36
