symbol,side,entry,exit,size,opened_at,closed_at,pnl
USOILZ25.sim,SELL,62.44000,61.86267,866.0508,1,5,500.00
USOILZ25.sim,SELL,62.86000,61.87841,509.3800,13,20,500.00
USOILZ25.sim,SELL,62.34500,63.50913,429.5066,25,44,-500.00
USOILZ25.sim,BUY,62.77400,63.87408,454.5136,37,49,500.00
USOILZ25.sim,BUY,63.57300,64.49034,545.0515,49,55,500.00
USOILZ25.sim,BUY,63.30400,64.32663,488.9354,61,74,500.00
USOILZ25.sim,BUY,63.53500,64.46473,537.7920,73,74,500.00
USOILZ25.sim,BUY,64.65300,65.48628,600.0354,85,89,500.00
USOILZ25.sim,BUY,63.95500,62.61441,372.9714,97,108,-500.00
USOILZ25.sim,SELL,62.56000,63.80811,400.6059,112,127,-500.00
USOILZ25.sim,SELL,63.26000,62.27874,509.5505,124,133,500.00
USOILZ25.sim,SELL,62.05000,63.05125,499.3766,137,138,-500.00
USOILZ25.sim,SELL,62.68000,63.54936,575.1366,149,150,-500.00
USOILZ25.sim,BUY,63.82800,62.84172,506.9532,161,167,-500.00
USOILZ25.sim,SELL,62.45100,63.41623,518.0100,173,181,-500.00
USOILZ25.sim,BUY,63.39200,64.40354,494.2963,185,186,500.00
USOILZ25.sim,BUY,65.16000,63.91796,402.5629,200,205,-500.00
USOILZ25.sim,SELL,62.58900,61.42317,428.8790,214,217,500.00
USOILZ25.sim,SELL,61.34000,62.46055,446.2077,227,246,-500.00
USOILZ25.sim,SELL,61.47800,62.55024,466.3149,239,246,-500.00
USOILZ25.sim,BUY,62.69100,61.63855,475.0821,251,253,-500.00
USOILZ25.sim,SELL,58.80200,57.61971,422.9086,270,277,500.00
USOILZ25.sim,SELL,57.15700,58.45881,384.0813,282,299,-500.00
USOILZ25.sim,SELL,57.44700,58.56688,446.4770,294,300,-500.00
USOILZ25.sim,BUY,60.69600,59.22178,339.1613,317,367,-500.00
USOILZ25.sim,BUY,59.72500,61.00410,390.8993,329,331,500.00
USOILZ25.sim,SELL,60.17300,61.19630,488.6169,341,343,-500.00
USOILZ25.sim,BUY,60.12700,59.02919,455.4538,353,367,-500.00
USOILZ25.sim,SELL,60.09200,58.87686,411.4747,365,367,500.00
