symbol,side,entry,exit,size,opened_at,closed_at,pnl
USOILZ25.sim,SELL,62.44000,61.86267,1154.7344,1,5,666.67
USOILZ25.sim,SELL,62.86000,61.87841,679.1733,13,20,666.67
USOILZ25.sim,SELL,62.34500,63.21809,572.6754,25,41,-500.00
USOILZ25.sim,BUY,62.77400,63.87408,606.0181,37,49,666.67
USOILZ25.sim,BUY,63.57300,64.49034,726.7354,49,55,666.67
USOILZ25.sim,BUY,63.30400,64.32663,651.9139,61,74,666.67
USOILZ25.sim,BUY,63.53500,64.46473,717.0561,73,74,666.67
USOILZ25.sim,BUY,64.65300,65.48628,800.0471,85,89,666.67
USOILZ25.sim,BUY,63.95500,62.94956,497.2952,97,102,-500.00
USOILZ25.sim,SELL,62.56000,63.49608,534.1412,112,121,-500.00
USOILZ25.sim,SELL,63.26000,63.99594,679.4007,124,127,-500.00
USOILZ25.sim,SELL,62.05000,62.80094,665.8354,137,138,-500.00
USOILZ25.sim,SELL,62.68000,63.33202,766.8488,149,150,-500.00
USOILZ25.sim,BUY,63.82800,63.08829,675.9376,161,162,-500.00
USOILZ25.sim,SELL,62.45100,63.17492,690.6800,173,181,-500.00
USOILZ25.sim,BUY,63.39200,64.40354,659.0617,185,186,666.67
USOILZ25.sim,BUY,65.16000,64.22847,536.7505,200,204,-500.00
USOILZ25.sim,SELL,62.58900,61.42317,571.8387,214,217,666.67
USOILZ25.sim,SELL,61.34000,62.18042,594.9435,227,243,-500.00
USOILZ25.sim,SELL,61.47800,62.28218,621.7532,239,244,-500.00
USOILZ25.sim,BUY,62.69100,61.90166,633.4428,251,253,-500.00
USOILZ25.sim,SELL,58.80200,57.61971,563.8781,270,277,666.67
USOILZ25.sim,SELL,57.15700,58.13336,512.1084,282,298,-500.00
USOILZ25.sim,SELL,57.44700,58.28691,595.3027,294,298,-500.00
USOILZ25.sim,BUY,60.69600,59.59033,452.2150,317,361,-500.00
USOILZ25.sim,BUY,59.72500,61.00410,521.1990,329,331,666.67
USOILZ25.sim,SELL,60.17300,60.94047,651.4893,341,343,-500.00
USOILZ25.sim,BUY,60.12700,59.30365,607.2717,353,367,-500.00
USOILZ25.sim,SELL,60.09200,58.87686,548.6330,365,367,666.67
