symbol,side,entry,exit,size,opened_at,closed_at,pnl
US30Z25.sim,SELL,42115.00000,42687.26667,0.8737,1,6,-528.00
US30Z25.sim,BUY,42584.00000,43213.12854,0.7948,6,16,472.00
US30Z25.sim,BUY,44853.00000,44570.32720,1.7688,64,71,-528.00
US30Z25.sim,BUY,44580.00000,44946.01103,1.3661,71,89,472.00
US30Z25.sim,BUY,44959.00000,44618.85624,1.4700,89,94,-528.00
US30Z25.sim,BUY,44635.00000,44281.38649,1.4140,94,108,-528.00
US30Z25.sim,SELL,44257.00000,44575.19840,1.5713,111,119,-528.00
US30Z25.sim,SELL,44597.00000,44936.40308,1.4732,119,142,-528.00
US30Z25.sim,BUY,44946.00000,45195.48178,2.0042,142,144,472.00
US30Z25.sim,BUY,44896.00000,45171.63086,1.8140,148,159,472.00
US30Z25.sim,BUY,45166.00000,44904.66424,1.9132,159,167,-528.00
US30Z25.sim,BUY,44868.00000,44582.81001,1.7532,167,174,-528.00
US30Z25.sim,SELL,44708.00000,44377.44128,1.5126,175,180,472.00
US30Z25.sim,SELL,43987.00000,44436.25428,1.1130,189,201,-528.00
US30Z25.sim,SELL,44400.20000,44050.17452,1.4285,201,209,472.00
US30Z25.sim,SELL,43975.00000,44435.97280,1.0847,209,227,-528.00
US30Z25.sim,SELL,44527.00000,44911.75906,1.2995,227,233,-528.00
US30Z25.sim,BUY,44874.00000,45178.98246,1.6394,238,241,472.00
US30Z25.sim,BUY,45096.00000,44763.44718,1.5035,245,269,-528.00
US30Z25.sim,SELL,44794.00000,45131.36572,1.4821,269,275,-528.00
US30Z25.sim,BUY,45490.00000,45153.45789,1.4857,281,315,-528.00
US30Z25.sim,SELL,45311.00000,45709.86708,1.2536,317,329,-528.00
US30Z25.sim,SELL,45699.00000,45349.46774,1.4305,329,334,472.00
US30Z25.sim,BUY,45452.20000,45856.68207,1.2361,334,358,472.00
US30Z25.sim,BUY,46191.00000,46512.04097,1.5574,365,383,472.00
US30Z25.sim,BUY,46456.00000,46840.37989,1.3008,387,406,472.00
US30Z25.sim,BUY,46722.30000,46418.79796,1.6474,406,413,-528.00
US30Z25.sim,BUY,46482.00000,46175.07901,1.6291,413,419,-528.00
US30Z25.sim,SELL,46285.00000,46592.35713,1.6268,420,424,-528.00
US30Z25.sim,SELL,46595.00000,46948.25489,1.4154,424,453,-528.00
US30Z25.sim,BUY,46859.00000,47115.58733,1.9487,453,454,472.00
US30Z25.sim,BUY,47043.00000,46657.44418,1.2968,455,478,-528.00
US30Z25.sim,SELL,46584.00000,46270.16747,1.5932,478,484,472.00
US30Z25.sim,SELL,46079.20000,46766.91179,0.7270,486,502,-528.00
US30Z25.sim,BUY,46525.90000,45977.11482,0.9111,502,512,-528.00
US30Z25.sim,SELL,46182.85000,46787.78734,0.8265,513,520,-528.00
US30Z25.sim,BUY,46835.05000,47318.34110,1.0346,520,526,472.00
US30Z25.sim,BUY,47096.55000,46734.25706,1.3801,528,532,-528.00
US30Z25.sim,BUY,46911.85000,47296.80733,1.2988,532,544,472.00
US30Z25.sim,BUY,47776.40000,48061.01448,1.7568,560,562,472.00
US30Z25.sim,BUY,47755.00000,47312.52509,1.1300,563,580,-528.00
US30Z25.sim,BUY,47497.10000,47038.60721,1.0905,580,584,-528.00
US30Z25.sim,SELL,47206.30000,46785.64238,1.1886,585,604,472.00
US30Z25.sim,SELL,47140.70000,47187.65000,0.9791,605,607,-73.97
