symbol,side,entry,exit,size,opened_at,closed_at,pnl
US500Z25.sim,SELL,5971.50000,5990.03333,26.9784,1,27,-510.00
US500Z25.sim,BUY,5989.00000,6009.03926,24.9510,27,30,490.00
US500Z25.sim,BUY,6002.00000,5976.78874,19.8324,31,33,-510.00
US500Z25.sim,BUY,5971.50000,6002.80979,15.9694,33,47,490.00
US500Z25.sim,BUY,6000.85000,6032.68752,15.7047,47,66,490.00
US500Z25.sim,BUY,6021.60000,6004.89652,29.9339,71,73,-510.00
US500Z25.sim,BUY,6012.75000,6031.88995,26.1234,73,77,490.00
US500Z25.sim,BUY,6039.65000,6013.33742,19.0023,79,83,-510.00
US500Z25.sim,BUY,6010.50000,6043.82040,15.0058,83,84,490.00
US500Z25.sim,BUY,6052.50000,6094.37768,11.9395,84,92,490.00
US500Z25.sim,BUY,6127.40000,6146.69863,25.9086,115,129,490.00
US500Z25.sim,BUY,6144.10000,6160.17249,31.1091,135,201,490.00
US500Z25.sim,BUY,6162.75000,6171.28223,58.6013,207,216,490.00
US500Z25.sim,BUY,6195.40000,6206.83827,43.7129,235,246,490.00
US500Z25.sim,BUY,6208.25000,6216.46178,60.8881,254,257,490.00
US500Z25.sim,BUY,6209.30000,6219.44498,49.2855,259,261,490.00
US500Z25.sim,BUY,6218.15000,6232.34156,35.2322,261,265,490.00
US500Z25.sim,BUY,6228.75000,6213.41614,32.6076,268,269,-510.00
US500Z25.sim,BUY,6216.10000,6196.54399,25.5676,269,271,-510.00
US500Z25.sim,BUY,6187.00000,6211.06652,20.7758,271,273,490.00
US500Z25.sim,BUY,6223.25000,6252.57996,17.0474,273,292,490.00
US500Z25.sim,BUY,6250.60000,6240.80858,51.0651,293,307,-510.00
US500Z25.sim,BUY,6238.40000,6226.13814,40.7768,307,315,-510.00
US500Z25.sim,SELL,6232.40000,6249.58789,29.0903,315,318,-510.00
US500Z25.sim,SELL,6252.50000,6232.46984,24.9624,318,350,490.00
US500Z25.sim,SELL,6234.00000,6246.55119,39.8369,351,353,-510.00
US500Z25.sim,SELL,6244.30000,6229.29222,33.3160,353,356,490.00
US500Z25.sim,SELL,6245.25000,6266.47670,23.5552,356,381,-510.00
US500Z25.sim,BUY,6260.65000,6250.65408,50.0204,382,395,-510.00
US500Z25.sim,BUY,6249.55000,6238.04934,43.4758,395,397,-510.00
US500Z25.sim,SELL,6244.75000,6259.32545,34.3043,398,401,-510.00
US500Z25.sim,SELL,6259.50000,6276.91442,28.7118,401,413,-510.00
US500Z25.sim,BUY,6273.60000,6285.84800,40.8230,414,443,490.00
US500Z25.sim,BUY,6285.25000,6297.08515,42.2470,443,445,490.00
US500Z25.sim,BUY,6315.10000,6302.79405,40.6307,457,471,-510.00
US500Z25.sim,BUY,6302.25000,6293.41386,56.5858,471,472,-510.00
US500Z25.sim,SELL,6294.50000,6281.75582,39.2336,474,479,490.00
US500Z25.sim,SELL,6285.05000,6298.92496,36.0361,481,492,-510.00
US500Z25.sim,SELL,6302.15000,6284.82893,28.8666,492,526,490.00
US500Z25.sim,SELL,6288.75000,6272.17671,30.1690,526,528,490.00
US500Z25.sim,SELL,6269.50000,6301.87807,15.4425,533,615,-510.00
US500Z25.sim,BUY,6281.25000,6302.54859,23.4757,617,625,490.00
US500Z25.sim,BUY,6301.25000,6320.39777,26.1127,625,664,490.00
US500Z25.sim,BUY,6324.75000,6309.73016,33.2893,673,681,-510.00
US500Z25.sim,BUY,6292.25000,6271.39357,23.9734,681,723,-510.00
US500Z25.sim,SELL,6278.40000,6300.68899,22.4326,724,757,-510.00
US500Z25.sim,BUY,6301.40000,6318.32579,29.5407,759,776,490.00
US500Z25.sim,BUY,6314.85000,6333.82523,26.3501,777,792,490.00
US500Z25.sim,BUY,6333.50000,6321.71151,42.4143,796,800,-510.00
