symbol,side,entry,exit,size,opened_at,closed_at,pnl
XAUZ25.sim,SELL,3385.80000,3390.28000,111.6071,1,3,-570.00
XAUZ25.sim,BUY,3389.00000,3395.87597,96.9560,3,11,596.67
XAUZ25.sim,BUY,3396.10000,3389.47967,75.5250,11,31,-570.00
XAUZ25.sim,BUY,3387.10000,3398.99420,56.0497,31,33,596.67
XAUZ25.sim,BUY,3399.10000,3415.98409,39.4849,33,34,596.67
XAUZ25.sim,BUY,3405.30000,3381.33263,20.8617,35,75,-570.00
XAUZ25.sim,SELL,3376.90000,3388.33069,43.7419,76,78,-570.00
XAUZ25.sim,SELL,3390.10000,3402.67239,39.7697,78,98,-570.00
XAUZ25.sim,BUY,3403.70000,3396.08364,65.6482,98,100,-570.00
XAUZ25.sim,BUY,3395.30000,3405.68675,64.1843,100,108,596.67
XAUZ25.sim,BUY,3406.10000,3415.80611,68.6853,108,117,596.67
XAUZ25.sim,BUY,3416.20000,3408.30521,63.3329,121,133,-570.00
XAUZ25.sim,BUY,3408.50000,3402.10093,78.1364,133,219,-570.00
XAUZ25.sim,BUY,3408.33000,3399.10250,54.1859,239,241,-570.00
XAUZ25.sim,BUY,3400.36000,3413.10908,52.2913,241,246,596.67
XAUZ25.sim,BUY,3412.34000,3423.35695,60.5128,246,262,596.67
XAUZ25.sim,BUY,3416.36000,3428.30587,55.8073,263,265,596.67
XAUZ25.sim,BUY,3431.34000,3419.50024,42.2306,267,298,-570.00
XAUZ25.sim,SELL,3420.27000,3426.08189,86.0305,298,299,-570.00
XAUZ25.sim,SELL,3428.26000,3419.22403,73.7792,299,303,596.67
XAUZ25.sim,SELL,3419.54000,3410.65183,75.0061,303,305,596.67
XAUZ25.sim,SELL,3414.95000,3423.70880,57.0855,309,311,-570.00
XAUZ25.sim,SELL,3424.45000,3433.33950,56.2461,311,312,-570.00
XAUZ25.sim,SELL,3428.24000,3438.13623,50.5243,312,314,-570.00
XAUZ25.sim,BUY,3436.94000,3426.06348,45.9706,317,341,-570.00
XAUZ25.sim,SELL,3426.85000,3432.32756,91.2816,341,343,-570.00
XAUZ25.sim,SELL,3432.35000,3424.39144,83.7672,343,345,596.67
XAUZ25.sim,SELL,3424.34000,3431.00119,75.0617,345,346,-570.00
XAUZ25.sim,SELL,3428.25000,3418.38996,67.6130,346,349,596.67
XAUZ25.sim,SELL,3418.64000,3426.26533,65.5709,349,357,-570.00
XAUZ25.sim,SELL,3424.32000,3432.92447,58.1093,357,360,-570.00
XAUZ25.sim,SELL,3435.24000,3444.53083,53.8165,360,378,-570.00
XAUZ25.sim,BUY,3440.93000,3451.18039,65.0382,378,390,596.67
XAUZ25.sim,BUY,3447.45000,3463.99242,40.3004,393,402,596.67
XAUZ25.sim,BUY,3454.55000,3441.39220,38.0003,402,405,-570.00
XAUZ25.sim,BUY,3444.37000,3464.51943,33.0861,405,416,596.67
XAUZ25.sim,BUY,3466.66000,3480.77102,47.2444,416,420,596.67
XAUZ25.sim,BUY,3487.83000,3468.31646,25.6232,426,458,-570.00
