symbol,side,entry,exit,size,opened_at,closed_at,pnl
XAUZ25.sim,SELL,3399.30000,3419.54000,24.7036,1,4,-570.00
XAUZ25.sim,BUY,3410.50000,3377.30887,15.0643,4,9,-570.00
XAUZ25.sim,SELL,3373.70000,3407.28904,14.8858,9,14,-570.00
XAUZ25.sim,SELL,3407.30000,3375.51457,15.7305,14,28,430.00
XAUZ25.sim,SELL,3394.16000,3439.11800,11.1215,28,35,-570.00
XAUZ25.sim,BUY,3424.57000,3462.32506,13.2433,35,51,430.00
XAUZ25.sim,BUY,3482.27000,3436.46937,10.9169,57,62,-570.00
XAUZ25.sim,BUY,3436.54000,3385.19055,9.7372,62,70,-570.00
XAUZ25.sim,SELL,3397.95000,3356.61533,12.0964,70,103,430.00
XAUZ25.sim,SELL,3367.93000,3389.94020,22.7167,105,107,-570.00
XAUZ25.sim,SELL,3388.55000,3363.78340,20.1885,107,118,430.00
XAUZ25.sim,SELL,3365.13000,3386.27117,23.6505,118,119,-570.00
XAUZ25.sim,SELL,3415.12000,3448.98368,14.7651,119,137,-570.00
XAUZ25.sim,BUY,3448.03000,3474.65816,18.7771,139,143,430.00
XAUZ25.sim,BUY,3589.93000,3637.78785,10.4476,170,178,430.00
XAUZ25.sim,BUY,3634.15000,3677.76883,11.4629,181,185,430.00
XAUZ25.sim,BUY,3664.67000,3710.23616,10.9731,192,215,430.00
XAUZ25.sim,BUY,3716.87000,3686.19900,16.3020,224,228,-570.00
XAUZ25.sim,BUY,3694.36000,3740.62825,10.8065,228,243,430.00
XAUZ25.sim,BUY,3768.15000,3811.97082,11.4101,257,269,430.00
XAUZ25.sim,BUY,3803.76000,3847.93048,11.3198,269,273,430.00
XAUZ25.sim,BUY,3843.53000,3899.89208,8.8712,279,284,430.00
XAUZ25.sim,BUY,3897.06000,3953.64148,8.8368,286,302,430.00
XAUZ25.sim,BUY,3973.86000,4026.36599,9.5227,309,314,430.00
XAUZ25.sim,BUY,3982.24000,4056.48943,6.7341,323,331,430.00
XAUZ25.sim,BUY,4061.66000,4146.55842,5.8894,331,337,430.00
XAUZ25.sim,BUY,4122.66000,4204.97198,6.0744,340,344,430.00
XAUZ25.sim,BUY,4216.73000,4341.66889,4.0020,359,364,430.00
XAUZ25.sim,BUY,4340.68000,4216.52162,4.0271,364,371,-570.00
XAUZ25.sim,BUY,4124.88000,3979.96399,3.4503,371,398,-570.00
XAUZ25.sim,SELL,3973.50000,4077.44000,4.6300,401,452,-551.25
