symbol,side,entry,exit,size,opened_at,closed_at,pnl
BTCX25.sim,SELL,113125.00000,113461.00000,1.4881,1,3,-640.00
BTCX25.sim,BUY,113210.00000,113864.80889,1.0181,3,4,526.67
BTCX25.sim,BUY,116065.00000,117553.83437,0.4478,4,6,526.67
BTCX25.sim,BUY,117645.00000,116379.22330,0.3950,6,667,-640.00
BTCX25.sim,BUY,115820.00000,115225.74938,0.8414,669,690,-640.00
BTCX25.sim,SELL,115465.00000,115873.24330,1.2248,690,694,-640.00
BTCX25.sim,BUY,115655.00000,116303.90922,1.0274,694,700,526.67
BTCX25.sim,BUY,116675.00000,116064.14525,0.8185,706,710,-640.00
BTCX25.sim,BUY,115805.00000,116689.31374,0.7539,710,722,526.67
BTCX25.sim,BUY,116765.00000,116218.74209,0.9153,722,727,-640.00
BTCX25.sim,BUY,116170.00000,115604.26329,0.8838,727,729,-640.00
BTCX25.sim,BUY,115035.00000,115955.08595,0.7246,729,768,526.67
BTCX25.sim,BUY,116070.00000,115515.27595,0.9013,768,780,-640.00
BTCX25.sim,BUY,115570.00000,115191.11373,1.3197,780,785,-640.00
BTCX25.sim,SELL,115410.00000,115891.94705,1.0375,785,789,-640.00
BTCX25.sim,SELL,116210.00000,116844.26676,0.7883,789,792,-640.00
BTCX25.sim,BUY,116870.00000,116147.08765,0.6916,793,831,-640.00
BTCX25.sim,SELL,116315.00000,115722.47748,1.1251,831,833,526.67
BTCX25.sim,SELL,116050.00000,116552.35253,0.9953,835,840,-640.00
BTCX25.sim,SELL,116190.00000,115092.38114,0.6074,840,841,526.67
BTCX25.sim,SELL,115960.00000,117021.99196,0.4708,842,847,-640.00
BTCX25.sim,SELL,116830.00000,117793.49146,0.5189,847,856,-640.00
BTCX25.sim,BUY,117705.00000,116934.47834,0.6489,858,925,-640.00
BTCX25.sim,SELL,117125.00000,116442.57222,0.9769,929,932,526.67
BTCX25.sim,SELL,116465.00000,115837.31197,1.0621,939,943,526.67
BTCX25.sim,SELL,115345.00000,114594.63863,0.8885,948,953,526.67
BTCX25.sim,SELL,113805.00000,113013.50936,0.8423,965,981,526.67
BTCX25.sim,SELL,113030.00000,113640.72742,0.8187,981,983,-640.00
BTCX25.sim,SELL,113735.00000,112874.74558,0.7750,983,993,526.67
BTCX25.sim,SELL,113195.00000,113863.18725,0.7483,994,1000,-640.00
BTCX25.sim,SELL,113830.00000,113004.01599,0.8071,1000,1023,526.67
BTCX25.sim,SELL,112715.00000,113296.87682,0.8593,1029,1037,-640.00
BTCX25.sim,SELL,113245.00000,112600.12935,1.0338,1037,1040,526.67
BTCX25.sim,SELL,112580.00000,113142.12018,0.8895,1040,1043,-640.00
BTCX25.sim,SELL,112985.00000,113663.83942,0.7366,1043,1046,-640.00
BTCX25.sim,SELL,113500.00000,114129.78376,0.7939,1046,1061,-640.00
BTCX25.sim,BUY,113695.00000,114249.85761,1.2015,1061,1063,526.67
BTCX25.sim,BUY,114235.00000,113629.67484,0.8260,1065,1083,-640.00
BTCX25.sim,SELL,113555.00000,112784.52445,0.8653,1084,1088,526.67
BTCX25.sim,SELL,112605.00000,111732.98602,0.7645,1094,1106,526.67
BTCX25.sim,SELL,112375.00000,111390.06394,0.6769,1106,1107,526.67
BTCX25.sim,SELL,111655.00000,110486.72208,0.5706,1107,1115,526.67
BTCX25.sim,SELL,110485.00000,111701.88285,0.4109,1117,1168,-640.00
BTCX25.sim,BUY,112475.00000,113447.76646,0.6853,1175,1199,526.67
