symbol,side,entry,exit,size,opened_at,closed_at,pnl
BTCX25.sim,SELL,113210.00000,115207.33333,0.2503,1,2,-640.00
BTCX25.sim,BUY,116685.00000,113933.97778,0.1818,2,9,-640.00
BTCX25.sim,BUY,114265.00000,111332.91717,0.1705,9,24,-640.00
BTCX25.sim,SELL,112285.00000,110598.46481,0.2965,24,31,360.00
BTCX25.sim,SELL,110585.00000,112611.27213,0.2468,31,55,-640.00
BTCX25.sim,SELL,112730.00000,111239.25067,0.3354,55,65,360.00
BTCX25.sim,BUY,111475.00000,112551.93906,0.4643,65,70,360.00
BTCX25.sim,BUY,112245.00000,113356.01091,0.4500,70,71,360.00
BTCX25.sim,BUY,112555.00000,113895.20946,0.3731,71,85,360.00
BTCX25.sim,BUY,113635.00000,112210.66766,0.3510,85,104,-640.00
BTCX25.sim,SELL,112185.00000,110968.88282,0.4111,104,110,360.00
BTCX25.sim,SELL,111390.00000,110044.95709,0.3717,115,116,360.00
BTCX25.sim,SELL,109395.00000,111168.37042,0.2819,124,152,-640.00
BTCX25.sim,BUY,110945.00000,109486.33848,0.3428,152,161,-640.00
BTCX25.sim,BUY,109415.00000,110816.47863,0.3568,161,162,360.00
BTCX25.sim,BUY,111810.00000,109914.05185,0.2637,162,210,-640.00
BTCX25.sim,SELL,110185.00000,111326.87508,0.4379,212,216,-640.00
BTCX25.sim,SELL,111835.00000,113144.80927,0.3817,216,225,-640.00
BTCX25.sim,BUY,113025.00000,111820.19339,0.4150,226,232,-640.00
BTCX25.sim,BUY,110830.00000,112700.26527,0.2673,232,254,360.00
BTCX25.sim,BUY,112280.00000,113224.89575,0.5292,254,255,360.00
BTCX25.sim,BUY,113090.00000,111997.75702,0.4578,255,264,-640.00
BTCX25.sim,BUY,112025.00000,113053.35665,0.4862,264,270,360.00
BTCX25.sim,BUY,113535.00000,112366.68723,0.4280,270,278,-640.00
BTCX25.sim,BUY,112065.00000,113339.78802,0.3922,278,299,360.00
BTCX25.sim,BUY,114005.00000,115206.80398,0.4160,305,331,360.00
BTCX25.sim,BUY,115820.00000,117061.94382,0.4026,334,351,360.00
BTCX25.sim,BUY,116525.00000,115445.51241,0.4632,354,356,-640.00
BTCX25.sim,BUY,115435.00000,116584.57068,0.4349,356,361,360.00
BTCX25.sim,BUY,116950.00000,115863.97385,0.4604,361,364,-640.00
BTCX25.sim,BUY,115035.00000,116381.60724,0.3713,364,385,360.00
BTCX25.sim,BUY,116120.00000,115121.24028,0.5006,385,392,-640.00
BTCX25.sim,BUY,115410.00000,116297.08410,0.5636,392,395,360.00
BTCX25.sim,BUY,116385.00000,117432.81149,0.4772,395,404,360.00
BTCX25.sim,BUY,117035.00000,116130.79271,0.5530,404,415,-640.00
BTCX25.sim,BUY,116315.00000,115468.15859,0.5904,415,420,-640.00
BTCX25.sim,SELL,115815.00000,117292.97727,0.3383,421,428,-640.00
BTCX25.sim,BUY,117535.00000,116126.54940,0.3550,430,467,-640.00
BTCX25.sim,SELL,116465.00000,115586.10274,0.5689,469,471,360.00
BTCX25.sim,SELL,115565.00000,114541.08085,0.4883,474,476,360.00
BTCX25.sim,SELL,114080.00000,112873.71566,0.4145,484,490,360.00
BTCX25.sim,SELL,113735.00000,112486.57141,0.4005,491,497,360.00
BTCX25.sim,SELL,113255.00000,112029.57617,0.4080,497,521,360.00
BTCX25.sim,SELL,112985.00000,114244.97188,0.3968,521,531,-640.00
BTCX25.sim,BUY,114235.00000,113133.25077,0.4538,532,543,-640.00
BTCX25.sim,BUY,113335.00000,112186.12935,0.4352,543,547,-640.00
BTCX25.sim,SELL,112540.00000,111390.47319,0.4350,547,553,360.00
BTCX25.sim,SELL,112270.00000,110946.83740,0.3779,554,557,360.00
BTCX25.sim,SELL,110160.00000,111841.56064,0.2973,563,584,-640.00
BTCX25.sim,SELL,112635.00000,114544.00464,0.2619,584,600,-640.00
BTCX25.sim,BUY,114930.00000,114040.28401,0.5620,613,618,-640.00
BTCX25.sim,BUY,113545.00000,114472.07584,0.5393,618,622,360.00
BTCX25.sim,BUY,114150.00000,115144.70130,0.5027,622,628,360.00
BTCX25.sim,BUY,115110.00000,116364.91910,0.3984,628,640,360.00
BTCX25.sim,BUY,117600.00000,119042.86229,0.3465,649,654,360.00
BTCX25.sim,BUY,119770.00000,121055.86331,0.3888,669,671,360.00
BTCX25.sim,BUY,121230.00000,122508.50508,0.3911,678,693,360.00
BTCX25.sim,BUY,124335.00000,125812.02645,0.3385,708,714,360.00
BTCX25.sim,BUY,126325.00000,124671.47820,0.3024,720,731,-640.00
BTCX25.sim,BUY,124640.00000,125865.16321,0.4081,731,736,360.00
BTCX25.sim,BUY,125930.00000,124755.39885,0.4257,736,737,-640.00
BTCX25.sim,BUY,124860.00000,123371.34567,0.3359,737,739,-640.00
BTCX25.sim,SELL,122720.00000,124556.67040,0.2722,744,764,-640.00
BTCX25.sim,BUY,124790.00000,123001.23670,0.2795,764,771,-640.00
BTCX25.sim,BUY,123145.00000,121681.19071,0.3416,771,784,-640.00
BTCX25.sim,SELL,122005.00000,120126.51594,0.2662,784,808,360.00
BTCX25.sim,SELL,115840.00000,114042.20090,0.2781,829,841,360.00
BTCX25.sim,SELL,113307.50000,111037.91335,0.2203,854,875,360.00
BTCX25.sim,SELL,111725.00000,109954.87225,0.2825,875,894,360.00
BTCX25.sim,SELL,111445.00000,109431.49078,0.2483,894,900,360.00
BTCX25.sim,SELL,109435.00000,106897.23469,0.1970,901,914,360.00
BTCX25.sim,SELL,106017.50000,108394.16518,0.2104,921,931,-640.00
BTCX25.sim,SELL,108245.00000,110593.47099,0.2129,931,935,-640.00
BTCX25.sim,BUY,110895.00000,109327.31762,0.3189,941,957,-640.00
BTCX25.sim,BUY,109320.00000,107970.40409,0.3705,957,958,-640.00
BTCX25.sim,SELL,108260.00000,109691.05064,0.3494,961,966,-640.00
BTCX25.sim,SELL,108987.50000,110478.21416,0.3354,966,968,-640.00
BTCX25.sim,SELL,112502.50000,110094.18581,0.2076,968,975,360.00
BTCX25.sim,BUY,109297.50000,111964.92955,0.1874,975,1027,360.00
BTCX25.sim,BUY,111785.00000,110419.56741,0.3662,1030,1037,-640.00
BTCX25.sim,BUY,110885.00000,112516.02148,0.3066,1037,1107,360.00
BTCX25.sim,SELL,112280.00000,110877.40643,0.3565,1109,1110,360.00
BTCX25.sim,SELL,111905.00000,109797.46279,0.2372,1112,1119,360.00
BTCX25.sim,SELL,110710.00000,108189.78924,0.1984,1120,1128,360.00
BTCX25.sim,SELL,108655.00000,110707.82510,0.2436,1129,1147,-640.00
BTCX25.sim,SELL,110347.50000,108739.79954,0.3110,1147,1163,360.00
BTCX25.sim,SELL,108397.50000,106337.50573,0.2427,1163,1175,360.00
BTCX25.sim,SELL,107127.50000,104858.61444,0.2204,1176,1188,360.00
BTCX25.sim,SELL,105100.00000,102720.75527,0.2102,1189,1199,360.00
BTCX25.sim,SELL,101777.50000,104642.68526,0.1745,1205,1224,-640.00
BTCX25.sim,BUY,104725.00000,102862.98339,0.2685,1224,1241,-640.00
BTCX25.sim,SELL,102907.50000,101473.91500,0.3488,1241,1245,360.00
BTCX25.sim,SELL,102062.50000,99800.20020,0.2210,1246,1264,360.00
BTCX25.sim,SELL,100565.00000,102350.78861,0.2800,1265,1269,-640.00
BTCX25.sim,SELL,102647.50000,104880.13345,0.2240,1269,1274,-640.00
