symbol,side,entry,exit,size,opened_at,closed_at,pnl
USOILZ25.sim,SELL,62.67000,62.19933,1062.3229,1,17,486.00
USOILZ25.sim,SELL,62.43000,62.18070,2005.5900,20,33,486.00
USOILZ25.sim,SELL,62.43000,62.09193,1478.9783,34,37,486.00
USOILZ25.sim,SELL,62.09000,62.51474,1177.1869,38,46,-514.00
USOILZ25.sim,SELL,62.38000,61.97845,1245.1841,46,50,486.00
USOILZ25.sim,SELL,61.69000,62.26727,866.1530,51,78,-514.00
USOILZ25.sim,BUY,62.16000,61.93632,2235.3524,78,88,-514.00
USOILZ25.sim,BUY,61.88000,62.27877,1253.8582,88,92,486.00
USOILZ25.sim,BUY,62.32000,62.76451,1124.8337,92,93,486.00
USOILZ25.sim,BUY,62.53000,63.11071,861.0094,95,104,486.00
USOILZ25.sim,BUY,62.99000,62.63983,1427.8611,108,127,-514.00
USOILZ25.sim,BUY,62.70000,62.40974,1722.5639,127,129,-514.00
USOILZ25.sim,SELL,62.54000,62.15383,1294.7691,131,139,486.00
USOILZ25.sim,SELL,62.22000,61.74249,1047.0944,139,155,486.00
USOILZ25.sim,SELL,61.88300,62.40300,961.5353,155,172,-514.00
USOILZ25.sim,SELL,62.27400,61.93540,1476.6475,172,174,486.00
USOILZ25.sim,SELL,61.85400,62.25416,1249.4971,174,177,-514.00
USOILZ25.sim,SELL,62.38300,61.89478,1024.1340,177,185,486.00
USOILZ25.sim,BUY,61.85500,62.31587,1084.9040,185,191,486.00
USOILZ25.sim,BUY,62.29400,62.84866,901.4584,191,193,486.00
USOILZ25.sim,BUY,62.65500,62.02020,787.6552,193,220,-514.00
USOILZ25.sim,SELL,62.12400,61.82002,1644.8318,220,226,486.00
USOILZ25.sim,SELL,61.92400,62.29252,1356.7759,227,263,-514.00
USOILZ25.sim,BUY,62.20500,62.59224,1291.1959,270,274,486.00
USOILZ25.sim,BUY,62.58300,62.23100,1420.4442,274,280,-514.00
USOILZ25.sim,BUY,62.24300,62.74286,1000.2706,280,282,486.00
USOILZ25.sim,BUY,62.83300,63.42588,843.3464,282,318,486.00
USOILZ25.sim,BUY,63.22400,62.92185,1654.8272,318,322,-514.00
USOILZ25.sim,BUY,62.86300,62.52866,1495.5035,322,324,-514.00
USOILZ25.sim,SELL,62.95400,63.41819,1077.1520,325,330,-514.00
USOILZ25.sim,BUY,63.43500,63.95239,966.3830,330,406,486.00
USOILZ25.sim,BUY,63.94300,64.24731,1643.0717,406,415,486.00
USOILZ25.sim,BUY,64.65300,64.32325,1516.2873,427,447,-514.00
USOILZ25.sim,SELL,64.39400,64.21513,2795.2790,447,449,486.00
USOILZ25.sim,SELL,64.29400,64.06326,2166.8977,449,451,486.00
USOILZ25.sim,SELL,63.83500,64.17542,1468.7617,462,464,-514.00
USOILZ25.sim,SELL,63.84300,63.40588,1143.8570,464,465,486.00
USOILZ25.sim,SELL,63.32500,63.01533,1614.6366,475,493,486.00
USOILZ25.sim,SELL,63.16400,63.43709,1830.8955,494,504,-514.00
USOILZ25.sim,SELL,63.43300,63.81424,1311.5247,504,510,-514.00
USOILZ25.sim,BUY,63.54300,64.04856,988.9934,511,517,486.00
USOILZ25.sim,BUY,63.94400,63.48057,1078.9117,518,537,-514.00
USOILZ25.sim,SELL,63.52400,63.71369,2635.8454,537,541,-514.00
USOILZ25.sim,SELL,63.68400,63.92696,2057.9893,541,542,-514.00
USOILZ25.sim,SELL,63.74500,64.03529,1722.3868,542,549,-514.00
USOILZ25.sim,BUY,64.00400,63.65024,1413.3993,551,555,-514.00
USOILZ25.sim,BUY,63.47400,63.92543,1107.5885,555,562,486.00
USOILZ25.sim,BUY,64.28400,63.68224,830.9001,562,622,-514.00
USOILZ25.sim,SELL,63.76400,64.00092,2110.3781,623,631,-514.00
USOILZ25.sim,SELL,64.08400,64.33132,2021.6567,631,634,-514.00
USOILZ25.sim,BUY,64.65400,64.92941,1815.4843,648,662,486.00
USOILZ25.sim,BUY,64.85300,65.04074,2663.3010,669,672,486.00
USOILZ25.sim,BUY,65.41500,64.99713,1196.5477,684,685,-514.00
USOILZ25.sim,BUY,64.50500,65.13142,798.1869,685,686,486.00
USOILZ25.sim,BUY,64.98400,65.70290,695.5099,686,693,486.00
USOILZ25.sim,BUY,65.65400,65.00354,768.6926,693,725,-514.00
USOILZ25.sim,SELL,64.40300,63.86329,926.4263,731,734,486.00
USOILZ25.sim,SELL,64.67300,63.89718,644.4782,737,740,486.00
USOILZ25.sim,SELL,63.88400,63.12568,659.3559,740,766,486.00
USOILZ25.sim,SELL,63.37500,62.91667,1090.9279,768,773,486.00
USOILZ25.sim,SELL,63.28400,62.79422,1020.8762,774,778,486.00
USOILZ25.sim,SELL,63.10400,63.63603,939.7951,778,783,-514.00
USOILZ25.sim,SELL,63.42400,62.85606,880.3745,783,819,486.00
USOILZ25.sim,SELL,63.04500,62.58860,1095.5360,820,823,486.00
USOILZ25.sim,SELL,61.84300,62.40199,894.4704,834,846,-514.00
USOILZ25.sim,SELL,62.45900,62.89379,1149.9868,846,856,-514.00
USOILZ25.sim,BUY,62.78100,63.08875,1624.7039,859,862,486.00
USOILZ25.sim,BUY,62.97100,62.58361,1290.6998,869,871,-514.00
USOILZ25.sim,BUY,62.06000,62.61854,895.1849,871,874,486.00
USOILZ25.sim,SELL,62.47000,63.09264,803.0327,874,906,-514.00
USOILZ25.sim,BUY,62.97000,62.64269,1527.6239,907,909,-514.00
USOILZ25.sim,BUY,62.68100,63.07415,1271.7805,909,916,486.00
USOILZ25.sim,BUY,63.16000,62.55530,826.8531,920,926,-514.00
USOILZ25.sim,BUY,62.59900,63.09353,1011.0688,926,934,486.00
USOILZ25.sim,BUY,63.04900,63.40077,1421.3680,934,949,486.00
USOILZ25.sim,BUY,63.20900,62.93319,1812.8180,949,956,-514.00
USOILZ25.sim,BUY,63.12900,63.51979,1279.4445,956,966,486.00
USOILZ25.sim,BUY,63.55800,62.99538,888.6961,966,1049,-514.00
USOILZ25.sim,BUY,62.90000,62.25740,778.0916,1052,1060,-514.00
USOILZ25.sim,BUY,62.22000,62.77149,906.6403,1060,1078,486.00
USOILZ25.sim,BUY,62.83000,62.60150,2188.1971,1078,1086,-514.00
USOILZ25.sim,BUY,62.71000,62.96311,1975.3915,1086,1098,486.00
USOILZ25.sim,BUY,63.00000,62.62266,1325.0563,1098,1135,-514.00
USOILZ25.sim,SELL,62.68000,63.05204,1343.9467,1135,1140,-514.00
USOILZ25.sim,BUY,63.38000,63.80689,1171.2657,1140,1143,486.00
USOILZ25.sim,BUY,64.17000,63.94679,2239.9998,1164,1175,-514.00
USOILZ25.sim,BUY,64.01000,63.85706,3269.1786,1175,1179,-514.00
USOILZ25.sim,BUY,63.80000,63.56798,2154.9848,1179,1185,-514.00
USOILZ25.sim,SELL,63.84000,64.14822,1622.2260,1187,1192,-514.00
USOILZ25.sim,BUY,64.06000,63.73564,1541.4748,1192,1194,-514.00
USOILZ25.sim,SELL,63.71000,63.26103,1113.6670,1194,1213,486.00
USOILZ25.sim,SELL,63.40000,63.67407,1824.3424,1214,1226,-514.00
USOILZ25.sim,SELL,63.59800,63.21760,1314.3988,1226,1229,486.00
USOILZ25.sim,SELL,63.12800,63.64247,971.8767,1229,1231,-514.00
USOILZ25.sim,SELL,63.55800,64.11009,905.6426,1231,1238,-514.00
USOILZ25.sim,BUY,63.92200,63.32706,840.4221,1238,1240,-514.00
USOILZ25.sim,BUY,63.28000,62.56805,702.2966,1240,1276,-514.00
USOILZ25.sim,SELL,62.87200,62.44875,1181.3447,1277,1286,486.00
USOILZ25.sim,SELL,62.49000,61.88061,820.4946,1286,1324,486.00
USOILZ25.sim,SELL,62.14800,62.56608,1195.9477,1331,1366,-514.00
USOILZ25.sim,BUY,63.33000,63.83310,993.8450,1381,1414,486.00
USOILZ25.sim,BUY,64.69000,64.46204,2193.3727,1438,1455,-514.00
USOILZ25.sim,BUY,64.66100,64.36759,1704.0787,1455,1457,-514.00
USOILZ25.sim,SELL,64.29000,64.65696,1362.5313,1457,1460,-514.00
USOILZ25.sim,SELL,64.56100,64.18278,1321.9741,1460,1467,486.00
USOILZ25.sim,SELL,64.20900,64.68798,1043.8824,1467,1470,-514.00
USOILZ25.sim,SELL,64.77800,65.36001,859.0927,1470,1489,-514.00
USOILZ25.sim,BUY,65.30100,65.02287,1797.7289,1489,1500,-514.00
USOILZ25.sim,BUY,65.05800,64.78715,1846.0410,1500,1505,-514.00
USOILZ25.sim,SELL,64.73900,65.07863,1472.2111,1506,1509,-514.00
USOILZ25.sim,SELL,64.82200,65.22166,1251.0782,1509,1511,-514.00
USOILZ25.sim,SELL,65.19100,65.63179,1134.3271,1511,1514,-514.00
USOILZ25.sim,BUY,65.86800,65.26860,834.1619,1518,1525,-514.00
USOILZ25.sim,BUY,65.26000,64.70491,900.7581,1525,1548,-514.00
USOILZ25.sim,SELL,64.85100,64.47545,1331.3765,1548,1552,486.00
USOILZ25.sim,SELL,63.16100,62.92697,2136.4844,1581,1584,486.00
USOILZ25.sim,SELL,63.07200,62.82340,2011.2368,1585,1592,486.00
USOILZ25.sim,SELL,62.93000,62.47925,1109.2639,1595,1601,486.00
USOILZ25.sim,SELL,62.59100,61.91039,734.6346,1604,1642,486.00
USOILZ25.sim,SELL,62.28800,61.67875,820.6786,1644,1650,486.00
USOILZ25.sim,SELL,61.88000,61.21399,750.7388,1652,1689,486.00
USOILZ25.sim,SELL,61.49000,60.94056,910.0212,1691,1700,486.00
USOILZ25.sim,SELL,60.60100,61.01779,1199.6568,1709,1728,-514.00
USOILZ25.sim,SELL,61.00000,61.21677,2306.5450,1728,1730,-514.00
USOILZ25.sim,BUY,60.97100,61.25759,1744.6491,1730,1733,486.00
USOILZ25.sim,BUY,61.13800,60.72007,1196.3668,1734,1735,-514.00
USOILZ25.sim,BUY,60.81000,61.29407,1032.8990,1735,1785,486.00
USOILZ25.sim,BUY,61.23200,61.78404,905.7322,1785,1789,486.00
USOILZ25.sim,BUY,61.87000,61.21573,764.2161,1789,1792,-514.00
USOILZ25.sim,BUY,61.66800,60.91675,665.5585,1792,1834,-514.00
USOILZ25.sim,SELL,61.37100,61.96407,843.0745,1834,1846,-514.00
USOILZ25.sim,BUY,61.97200,62.47352,996.9748,1846,1872,486.00
USOILZ25.sim,BUY,62.38800,62.73283,1449.9996,1874,1878,486.00
USOILZ25.sim,BUY,62.59000,62.21405,1329.9541,1879,1880,-514.00
USOILZ25.sim,BUY,62.34100,62.81669,1051.0993,1880,1884,486.00
USOILZ25.sim,BUY,62.77800,62.18779,847.1601,1884,1896,-514.00
USOILZ25.sim,SELL,62.17900,61.79726,1309.7860,1896,1902,486.00
USOILZ25.sim,SELL,62.09100,62.47511,1301.7195,1902,1911,-514.00
USOILZ25.sim,SELL,62.58200,62.26193,1562.1640,1911,1920,486.00
USOILZ25.sim,BUY,62.13000,62.59749,1069.5388,1920,1925,486.00
USOILZ25.sim,BUY,62.55100,62.10201,1113.6122,1925,1929,-514.00
USOILZ25.sim,BUY,62.27000,61.71231,896.5497,1929,1933,-514.00
USOILZ25.sim,SELL,61.53200,60.98202,909.1272,1936,1949,486.00
USOILZ25.sim,SELL,60.81000,60.47013,1471.1674,1962,1966,486.00
USOILZ25.sim,SELL,59.30200,58.99661,1637.2502,1989,1997,486.00
USOILZ25.sim,SELL,58.09200,58.75720,751.6567,2015,2060,-514.00
USOILZ25.sim,BUY,58.62200,58.14547,1049.2465,2061,2065,-514.00
USOILZ25.sim,BUY,57.96200,58.50899,914.0910,2065,2096,486.00
USOILZ25.sim,BUY,58.51200,58.18194,1514.8569,2096,2097,-514.00
USOILZ25.sim,BUY,58.24200,57.85461,1290.6925,2097,2108,-514.00
USOILZ25.sim,SELL,57.92200,57.46274,1088.7023,2108,2112,486.00
USOILZ25.sim,SELL,57.67200,57.09221,862.3870,2113,2114,486.00
USOILZ25.sim,SELL,56.79900,56.43570,1376.2692,2132,2142,486.00
USOILZ25.sim,SELL,56.68300,56.24628,1144.9082,2142,2145,486.00
USOILZ25.sim,SELL,56.40800,56.91099,994.0500,2147,2149,-514.00
USOILZ25.sim,SELL,56.90200,56.31287,848.7121,2149,2199,486.00
