symbol,side,entry,exit,size,opened_at,closed_at,pnl
USOILZ25.sim,SELL,62.68000,62.17200,984.2520,1,9,486.00
USOILZ25.sim,SELL,62.37000,61.89258,1047.2854,9,19,486.00
USOILZ25.sim,SELL,62.09000,61.58229,984.8081,22,25,486.00
USOILZ25.sim,SELL,61.82000,62.60731,635.0722,28,47,-514.00
USOILZ25.sim,BUY,62.68000,62.00613,741.9784,47,70,-514.00
USOILZ25.sim,BUY,62.38000,61.79597,856.1266,70,78,-514.00
USOILZ25.sim,SELL,61.94400,62.55362,820.1807,80,97,-514.00
USOILZ25.sim,SELL,62.63400,61.82835,620.6196,97,113,486.00
USOILZ25.sim,SELL,61.86400,62.35801,1012.1238,113,133,-514.00
USOILZ25.sim,BUY,62.43400,62.86471,1160.8712,133,142,486.00
USOILZ25.sim,BUY,62.77400,63.51350,676.1331,142,166,486.00
USOILZ25.sim,BUY,63.49500,64.15208,760.9397,166,205,486.00
USOILZ25.sim,BUY,64.39300,63.99382,1252.5631,218,226,-514.00
USOILZ25.sim,BUY,64.00400,63.61135,1273.3979,226,228,-514.00
USOILZ25.sim,SELL,63.83500,63.41326,1185.5678,231,233,486.00
USOILZ25.sim,SELL,63.40400,62.97489,1165.2071,239,248,486.00
USOILZ25.sim,SELL,63.18400,63.61186,1168.6139,250,253,-514.00
USOILZ25.sim,SELL,63.59400,64.09165,1004.7283,253,259,-514.00
USOILZ25.sim,BUY,63.94400,63.36913,869.7562,259,279,-514.00
USOILZ25.sim,BUY,63.62300,64.24649,801.9334,279,281,486.00
USOILZ25.sim,BUY,64.28400,65.02440,675.3092,281,332,486.00
USOILZ25.sim,BUY,64.85300,65.15071,1679.4890,335,338,486.00
USOILZ25.sim,BUY,64.50500,65.25597,665.8040,343,345,486.00
USOILZ25.sim,BUY,65.18400,64.31807,577.4139,345,363,-514.00
USOILZ25.sim,SELL,64.40300,63.71315,724.7934,366,371,486.00
USOILZ25.sim,SELL,63.79500,62.83312,519.8173,371,390,486.00
USOILZ25.sim,SELL,63.15400,62.42164,682.7208,390,412,486.00
USOILZ25.sim,SELL,62.03300,62.81482,639.5362,418,428,-514.00
USOILZ25.sim,SELL,62.79900,62.27733,958.4685,428,436,486.00
USOILZ25.sim,BUY,62.06000,62.81462,662.5832,436,452,486.00
USOILZ25.sim,BUY,62.74900,63.10295,1412.6148,452,454,486.00
