experiment,symbol,tf,pnl,trades,wins,win_rate,pf
E0033-US100Z25.sim-H4-N_A-5y,US100Z25.sim,H4,5303.3,34,19,0.5588235294117647,1.6499142156862745
E0034-US100Z25.sim-H4-N_A-3y,US100Z25.sim,H4,5303.3,34,19,0.5588235294117647,1.6499142156862745
E0031-US100Z25.sim-H4-N_A-5y,US100Z25.sim,H4,5016.459999999999,39,17,0.4358974358974359,1.4191560828877006
E0032-US100Z25.sim-H4-N_A-3y,US100Z25.sim,H4,5016.459999999999,39,17,0.4358974358974359,1.4191560828877006
E0035-US100Z25.sim-H4-N_A-5y,US100Z25.sim,H4,5016.459999999999,39,17,0.4358974358974359,1.4191560828877006
E0036-US100Z25.sim-H4-N_A-3y,US100Z25.sim,H4,5016.459999999999,39,17,0.4358974358974359,1.4191560828877006
E0021-US100Z25.sim-M30-N_A-5y,US100Z25.sim,M30,17068.91,165,86,0.5212121212121212,1.3971730733432615
E0022-US100Z25.sim-M30-N_A-3y,US100Z25.sim,M30,17068.91,165,86,0.5212121212121212,1.3971730733432615
E0019-US100Z25.sim-M30-N_A-5y,US100Z25.sim,M30,14545.519999999999,214,92,0.42990654205607476,1.219164657666345
E0020-US100Z25.sim-M30-N_A-3y,US100Z25.sim,M30,14545.519999999999,214,92,0.42990654205607476,1.219164657666345
E0023-US100Z25.sim-M30-N_A-5y,US100Z25.sim,M30,14545.519999999999,214,92,0.42990654205607476,1.219164657666345
E0024-US100Z25.sim-M30-N_A-3y,US100Z25.sim,M30,14545.519999999999,214,92,0.42990654205607476,1.219164657666345
E0099-USOILZ25.sim-H1-N_A-5y,USOILZ25.sim,H1,5120.25,106,60,0.5660377358490566,1.2165559972931823
E0100-USOILZ25.sim-H1-N_A-3y,USOILZ25.sim,H1,5120.25,106,60,0.5660377358490566,1.2165559972931823
E0025-US100Z25.sim-H1-N_A-5y,US100Z25.sim,H1,4313.65,118,51,0.4322033898305085,1.1183508011413519
E0026-US100Z25.sim-H1-N_A-3y,US100Z25.sim,H1,4313.65,118,51,0.4322033898305085,1.1183508011413519
E0029-US100Z25.sim-H1-N_A-5y,US100Z25.sim,H1,4313.65,118,51,0.4322033898305085,1.1183508011413519
E0030-US100Z25.sim-H1-N_A-3y,US100Z25.sim,H1,4313.65,118,51,0.4322033898305085,1.1183508011413519
E0027-US100Z25.sim-H1-N_A-5y,US100Z25.sim,H1,1938.6899999999996,90,45,0.5,1.0791948529411763
E0028-US100Z25.sim-H1-N_A-3y,US100Z25.sim,H1,1938.6899999999996,90,45,0.5,1.0791948529411763
E0067-XAUZ25.sim-H4-N_A-5y,XAUZ25.sim,H4,712.6199999999991,39,20,0.5128205128205128,1.0658005540166204
E0068-XAUZ25.sim-H4-N_A-3y,XAUZ25.sim,H4,712.6199999999991,39,20,0.5128205128205128,1.0658005540166204
E0071-XAUZ25.sim-H4-N_A-5y,XAUZ25.sim,H4,712.6199999999991,39,20,0.5128205128205128,1.0658005540166204
E0072-XAUZ25.sim-H4-N_A-3y,XAUZ25.sim,H4,712.6199999999991,39,20,0.5128205128205128,1.0658005540166204
E0069-XAUZ25.sim-H4-N_A-5y,XAUZ25.sim,H4,348.75,31,18,0.5806451612903226,1.0471841704718416
