symbol,tf,pnl,trades,wins,win_rate,pf
BTCX25.sim,H1,-55678.44,454.0,218.0,0.4801762114537445,0.6372554793678061
BTCX25.sim,H4,-20958.72,190.0,88.0,0.4631578947368421,0.6689278673608653
BTCX25.sim,M30,-69705.72,836.0,418.0,0.5,0.739437350478469
US100Z25.sim,H1,21131.979999999996,652.0,294.0,0.450920245398773,1.1085071270128162
US100Z25.sim,H4,30672.44,224.0,106.0,0.4732142857142857,1.4778234047856431
US100Z25.sim,M30,92319.89999999998,1186.0,540.0,0.45531197301854975,1.2627023197049716
US30Z25.sim,H1,-109777.22,1096.0,418.0,0.3813868613138686,0.6914123949663808
US30Z25.sim,H4,-38482.58,344.0,126.0,0.36627906976744184,0.6603126079657707
US30Z25.sim,M30,-129599.68,1792.0,730.0,0.40736607142857145,0.7678096527498787
US500Z25.sim,H1,-15932.420000000006,1114.0,494.0,0.44344703770197486,0.9493662719742585
US500Z25.sim,H4,-3869.7200000000007,336.0,148.0,0.44047619047619047,0.9590028952194977
US500Z25.sim,M30,-66591.32,2026.0,866.0,0.42744323790720634,0.8874386071670046
USOILZ25.sim,H1,15791.98,760.0,368.0,0.4842105263157895,1.078376776780751
USOILZ25.sim,H4,-7392.259999999998,224.0,96.0,0.42857142857142855,0.8857723246832195
USOILZ25.sim,M30,-47616.66,1410.0,612.0,0.4340425531914894,0.8839105058365758
XAUZ25.sim,H1,-64045.8,834.0,368.0,0.4412470023980815,0.7588818613056246
XAUZ25.sim,H4,3547.9799999999977,218.0,116.0,0.5321100917431193,1.0610641538660126
XAUZ25.sim,M30,-84251.64,1556.0,718.0,0.461439588688946,0.8236158774023363
